rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.75,0.051,0.095,0,0.045,0.89,0.775,0.829
0.338,0.1,0.154,0,0.048,0.839,0.78,0.809
0.264,0.157,0.197,0,0.082,0.825,0.787,0.806
0.469,0.115,0.185,0,0.059,0.857,0.778,0.815
0.645,0.076,0.136,0,0.044,0.85,0.757,0.801
0.132,0.345,0.191,0,0.136,0.811,0.806,0.809
0.717,0.124,0.211,0,0.056,0.852,0.794,0.822
0.298,0.183,0.226,0,0.085,0.836,0.803,0.819
0.194,0.32,0.242,0,0.136,0.804,0.804,0.804
0.662,0.317,0.429,0.028,0.154,0.883,0.831,0.856
0.403,0.207,0.274,0,0.112,0.837,0.81,0.823
0.588,0.041,0.076,0,0.026,0.861,0.772,0.814
0.714,0.17,0.275,0.006,0.128,0.898,0.823,0.859
0.256,0.388,0.309,0,0.179,0.826,0.808,0.817
0.33,0.137,0.193,0,0.067,0.842,0.791,0.816
0.356,0.242,0.288,0,0.108,0.832,0.794,0.813
0.303,0.093,0.142,0,0.051,0.833,0.797,0.815
0.636,0.066,0.119,0,0.036,0.88,0.775,0.824
0.418,0.39,0.403,0,0.172,0.819,0.827,0.823
0.422,0.149,0.22,0,0.08,0.794,0.797,0.795
0.338,0.248,0.286,0,0.137,0.841,0.797,0.818
0.467,0.151,0.228,0,0.067,0.84,0.784,0.811
0.563,0.173,0.265,0,0.083,0.862,0.817,0.839
0.348,0.274,0.306,0.04,0.113,0.771,0.796,0.783
0.259,0.241,0.25,0,0.099,0.808,0.811,0.809
0.356,0.134,0.195,0,0.067,0.847,0.78,0.813
0.366,0.313,0.337,0,0.116,0.724,0.794,0.757
0.516,0.257,0.343,0,0.14,0.838,0.808,0.823
0.375,0.022,0.042,0,0.013,0.847,0.766,0.804
0.605,0.07,0.125,0,0.036,0.892,0.763,0.822
0.404,0.297,0.342,0,0.134,0.813,0.799,0.806
0.683,0.109,0.189,0.001,0.076,0.867,0.796,0.83
0.374,0.295,0.33,0,0.113,0.828,0.817,0.823
0.323,0.241,0.276,0.05,0.136,0.834,0.823,0.828
0.531,0.23,0.321,0,0.1,0.844,0.828,0.836
0.431,0.12,0.188,0.004,0.069,0.865,0.784,0.822
