rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.7,0.066,0.121,0,0.078,0.892,0.799,0.843
0.432,0.152,0.225,0.017,0.094,0.851,0.807,0.828
0.357,0.237,0.285,0.021,0.122,0.829,0.794,0.811
0.494,0.159,0.241,0,0.095,0.868,0.813,0.839
0.742,0.103,0.181,0,0.068,0.862,0.787,0.823
0.117,0.472,0.187,0,0.19,0.804,0.819,0.812
0.783,0.186,0.3,0.003,0.112,0.864,0.814,0.838
0.248,0.185,0.212,0,0.1,0.79,0.816,0.803
0.23,0.397,0.291,0,0.19,0.808,0.824,0.816
0.5,0.322,0.392,0,0.157,0.874,0.839,0.856
0.354,0.252,0.295,0,0.12,0.847,0.822,0.835
0.647,0.064,0.116,0,0.063,0.881,0.791,0.834
0.683,0.197,0.306,0,0.093,0.879,0.834,0.856
0.327,0.455,0.38,0,0.198,0.836,0.817,0.826
0.392,0.184,0.251,0,0.088,0.858,0.806,0.831
0.496,0.29,0.366,0,0.141,0.847,0.833,0.84
0.382,0.15,0.216,0,0.09,0.841,0.815,0.827
0.727,0.059,0.11,0,0.05,0.883,0.786,0.832
0.319,0.44,0.37,0,0.203,0.818,0.837,0.828
0.474,0.236,0.315,0,0.136,0.786,0.83,0.807
0.362,0.332,0.346,0,0.177,0.851,0.818,0.834
0.457,0.198,0.276,0,0.108,0.847,0.814,0.83
0.515,0.247,0.333,0,0.134,0.87,0.83,0.85
0.335,0.338,0.336,0.045,0.179,0.782,0.814,0.797
0.245,0.291,0.266,0,0.134,0.825,0.819,0.822
0.347,0.158,0.217,0,0.097,0.863,0.798,0.829
0.317,0.44,0.368,0,0.207,0.71,0.818,0.76
0.431,0.303,0.356,0,0.173,0.836,0.817,0.826
0.5,0.05,0.091,0,0.041,0.873,0.792,0.831
0.632,0.097,0.168,0,0.059,0.907,0.795,0.848
0.342,0.346,0.344,0,0.173,0.811,0.832,0.821
0.829,0.145,0.246,0,0.103,0.9,0.809,0.852
0.362,0.345,0.353,0,0.157,0.822,0.83,0.826
0.392,0.327,0.357,0.051,0.211,0.84,0.849,0.844
0.516,0.338,0.409,0,0.168,0.858,0.863,0.86
0.369,0.153,0.216,0,0.082,0.83,0.788,0.809
0.323,0.212,0.256,0,0.101,0.863,0.825,0.844
0.338,0.108,0.164,0.006,0.08,0.825,0.807,0.816
0.591,0.116,0.194,0,0.064,0.891,0.795,0.841
0.391,0.402,0.396,0.049,0.206,0.836,0.829,0.833
0.444,0.078,0.133,0,0.039,0.841,0.786,0.813
0.439,0.26,0.326,0,0.146,0.831,0.829,0.83
1,0.04,0.077,0,0.033,0.914,0.789,0.847
0.358,0.193,0.251,0,0.107,0.819,0.832,0.826
0.483,0.137,0.214,0,0.067,0.835,0.815,0.825
0.265,0.114,0.16,0,0.075,0.762,0.813,0.786
0.438,0.415,0.426,0,0.225,0.835,0.842,0.839
0.369,0.381,0.375,0,0.189,0.83,0.828,0.829
0.152,0.13,0.14,0,0.082,0.808,0.812,0.81
0.417,0.333,0.371,0,0.157,0.837,0.822,0.829
0.417,0.269,0.327,0,0.12,0.811,0.82,0.815
0.439,0.374,0.404,0.048,0.157,0.883,0.858,0.871
0.412,0.312,0.355,0,0.148,0.796,0.816,0.806
0.592,0.166,0.259,0,0.081,0.84,0.8,0.819
0.364,0.462,0.408,0,0.207,0.808,0.826,0.817
0.392,0.284,0.329,0,0.169,0.833,0.812,0.822
0.246,0.407,0.307,0,0.215,0.821,0.831,0.826
0.394,0.394,0.394,0,0.224,0.841,0.844,0.843
0.457,0.186,0.264,0.017,0.103,0.827,0.811,0.819
0.698,0.119,0.203,0,0.055,0.857,0.803,0.83
0.397,0.335,0.363,0,0.16,0.815,0.811,0.813
0.219,0.18,0.197,0,0.089,0.799,0.789,0.794
0.463,0.235,0.312,0.017,0.122,0.784,0.832,0.807
0.345,0.095,0.148,0,0.051,0.713,0.784,0.747
0.383,0.113,0.175,0,0.068,0.841,0.823,0.832
0.357,0.117,0.177,0,0.089,0.84,0.816,0.828
0.316,0.145,0.199,0,0.056,0.801,0.805,0.803
0.371,0.42,0.394,0,0.228,0.828,0.841,0.835
0.331,0.198,0.248,0,0.112,0.824,0.823,0.823
0.481,0.189,0.271,0,0.094,0.853,0.807,0.829
0.373,0.223,0.279,0,0.14,0.836,0.811,0.823
0.27,0.458,0.34,0.057,0.28,0.825,0.842,0.833
0.415,0.118,0.184,0,0.059,0.799,0.787,0.793
0.299,0.205,0.243,0,0.127,0.824,0.792,0.808
0.5,0.114,0.186,0,0.042,0.829,0.792,0.81
0.34,0.189,0.243,0,0.099,0.832,0.787,0.809
0.591,0.178,0.274,0,0.099,0.84,0.822,0.831
0.263,0.4,0.317,0,0.178,0.817,0.837,0.827
0.327,0.459,0.382,0,0.244,0.84,0.832,0.836
0.265,0.294,0.279,0,0.152,0.815,0.816,0.815
0.341,0.206,0.257,0,0.115,0.841,0.823,0.832
0.365,0.22,0.274,0,0.103,0.813,0.808,0.811
0.409,0.246,0.307,0,0.117,0.841,0.83,0.836
0.529,0.224,0.314,0,0.13,0.854,0.822,0.838
0.404,0.112,0.175,0,0.069,0.856,0.8,0.827
0.623,0.189,0.291,0,0.108,0.852,0.816,0.834
0.318,0.268,0.291,0,0.132,0.818,0.81,0.814
0.516,0.204,0.293,0,0.095,0.855,0.803,0.828
0.437,0.421,0.429,0.049,0.208,0.833,0.841,0.837
0.667,0.112,0.192,0,0.069,0.89,0.796,0.841
0.305,0.264,0.283,0,0.141,0.844,0.835,0.839
0.251,0.307,0.276,0,0.181,0.809,0.833,0.821
0.519,0.171,0.257,0,0.095,0.844,0.82,0.832
0.452,0.066,0.116,0,0.034,0.855,0.79,0.821
0.265,0.487,0.344,0.06,0.218,0.832,0.844,0.838
0.352,0.184,0.242,0,0.128,0.829,0.806,0.817
0.51,0.218,0.305,0,0.121,0.865,0.827,0.845
0.275,0.158,0.201,0,0.117,0.838,0.814,0.826
0.133,0.562,0.216,0,0.157,0.792,0.805,0.799
0.173,0.525,0.261,0.015,0.244,0.84,0.82,0.83
0.41924,0.24415,0.2711,0.00455,0.12712,0.83543,0.81606,0.82522
