rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.089,0.157,0.001,0.074,0.91,0.815,0.86
0.419,0.183,0.255,0.024,0.11,0.856,0.778,0.815
0.343,0.212,0.262,0.014,0.108,0.831,0.785,0.807
0.457,0.155,0.231,0,0.091,0.873,0.804,0.837
0.677,0.076,0.137,0,0.041,0.845,0.759,0.799
0.147,0.458,0.223,0,0.189,0.814,0.813,0.814
0.696,0.173,0.277,0.003,0.101,0.866,0.814,0.839
0.454,0.083,0.141,0,0.049,0.76,0.798,0.778
0.232,0.458,0.308,0,0.194,0.809,0.825,0.817
0.515,0.379,0.436,0,0.169,0.882,0.845,0.863
0.486,0.308,0.377,0,0.186,0.856,0.827,0.841
0.647,0.083,0.147,0,0.061,0.898,0.825,0.86
0.746,0.176,0.285,0.007,0.136,0.887,0.83,0.857
0.316,0.489,0.384,0.019,0.218,0.834,0.817,0.826
0.361,0.144,0.206,0,0.075,0.859,0.785,0.82
0.326,0.355,0.34,0,0.178,0.846,0.846,0.846
0.461,0.167,0.246,0,0.102,0.843,0.813,0.828
0.773,0.063,0.116,0,0.057,0.88,0.695,0.777
0.274,0.386,0.32,0,0.182,0.812,0.83,0.821
0.457,0.174,0.252,0,0.107,0.784,0.814,0.799
0.352,0.229,0.278,0,0.125,0.841,0.789,0.814
0.467,0.259,0.333,0,0.133,0.856,0.814,0.835
0.602,0.217,0.319,0,0.134,0.881,0.834,0.857
0.263,0.298,0.28,0.033,0.142,0.769,0.807,0.788
0.241,0.332,0.279,0,0.192,0.829,0.829,0.829
0.347,0.162,0.221,0,0.086,0.861,0.791,0.824
0.37,0.432,0.398,0,0.213,0.717,0.82,0.765
0.536,0.368,0.436,0,0.187,0.846,0.836,0.841
0.562,0.045,0.083,0,0.034,0.864,0.781,0.82
0.579,0.103,0.175,0.001,0.075,0.908,0.79,0.845
0.316,0.508,0.39,0,0.236,0.819,0.853,0.836
0.756,0.119,0.205,0.001,0.079,0.895,0.805,0.848
0.411,0.39,0.4,0,0.164,0.828,0.831,0.829
0.455,0.369,0.408,0.072,0.239,0.832,0.841,0.836
0.469,0.27,0.343,0,0.118,0.845,0.846,0.845
0.646,0.207,0.313,0,0.102,0.867,0.807,0.836
0.446,0.27,0.336,0,0.119,0.853,0.822,0.837
0.338,0.104,0.159,0.01,0.081,0.834,0.801,0.817
0.591,0.164,0.256,0,0.08,0.894,0.82,0.855
0.462,0.419,0.44,0.057,0.223,0.839,0.819,0.829
0.806,0.144,0.245,0.001,0.089,0.887,0.816,0.85
0.545,0.318,0.401,0,0.157,0.842,0.818,0.83
0.889,0.05,0.094,0,0.045,0.933,0.785,0.853
0.385,0.191,0.255,0,0.111,0.815,0.823,0.819
0.433,0.165,0.239,0,0.069,0.835,0.821,0.828
0.235,0.121,0.16,0,0.069,0.764,0.818,0.79
