rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.75,0.059,0.109,0.0,0.044,0.887,0.791,0.836
0.568,0.128,0.209,0.0,0.067,0.856,0.789,0.821
0.486,0.136,0.213,0.003,0.087,0.833,0.742,0.785
0.506,0.08,0.139,0.0,0.046,0.863,0.78,0.819
0.677,0.051,0.095,0.0,0.033,0.857,0.762,0.807
0.176,0.428,0.249,0.0,0.19,0.812,0.801,0.806
0.783,0.072,0.132,0.0,0.04,0.854,0.805,0.829
0.305,0.114,0.166,0.0,0.059,0.807,0.813,0.81
0.333,0.345,0.339,0.0,0.179,0.823,0.821,0.822
0.654,0.251,0.363,0.02,0.133,0.872,0.814,0.842
0.375,0.227,0.283,0.0,0.123,0.849,0.819,0.834
0.824,0.028,0.054,0.0,0.021,0.874,0.772,0.82
0.746,0.142,0.239,0.002,0.093,0.884,0.831,0.857
0.529,0.333,0.408,0.018,0.173,0.837,0.806,0.821
0.577,0.116,0.193,0.001,0.066,0.862,0.808,0.834
0.459,0.31,0.37,0.0,0.157,0.842,0.829,0.835
0.434,0.117,0.184,0.0,0.073,0.836,0.804,0.82
0.727,0.047,0.088,0.0,0.031,0.887,0.783,0.832
0.614,0.344,0.441,0.0,0.173,0.834,0.845,0.84
0.621,0.134,0.221,0.0,0.066,0.797,0.81,0.803
0.408,0.275,0.329,0.0,0.162,0.846,0.805,0.825
0.587,0.128,0.21,0.0,0.073,0.846,0.794,0.819
0.612,0.131,0.215,0.0,0.072,0.867,0.821,0.843
0.46,0.315,0.374,0.035,0.143,0.796,0.821,0.808
0.336,0.33,0.333,0.0,0.155,0.81,0.82,0.815
0.436,0.102,0.165,0.0,0.06,0.854,0.786,0.819
0.419,0.292,0.344,0.0,0.135,0.806,0.808,0.807
0.569,0.242,0.34,0.0,0.141,0.839,0.805,0.822
0.812,0.04,0.077,0.0,0.029,0.883,0.787,0.832
0.816,0.072,0.133,0.0,0.042,0.894,0.786,0.837
0.482,0.253,0.332,0.0,0.141,0.824,0.827,0.826
0.659,0.071,0.129,0.0,0.052,0.878,0.778,0.825
0.46,0.342,0.393,0.0,0.17,0.823,0.833,0.828
0.519,0.219,0.308,0.02,0.143,0.86,0.843,0.851
0.578,0.208,0.306,0.0,0.102,0.85,0.827,0.838
0.538,0.107,0.178,0.0,0.066,0.87,0.799,0.833
0.546,0.171,0.26,0.0,0.095,0.857,0.8,0.828
0.515,0.088,0.151,0.001,0.046,0.833,0.79,0.811
0.568,0.08,0.14,0.0,0.039,0.874,0.789,0.83
0.471,0.309,0.373,0.034,0.178,0.836,0.81,0.823
0.556,0.035,0.067,0.0,0.018,0.843,0.775,0.808
0.553,0.171,0.262,0.0,0.092,0.831,0.811,0.821
0.889,0.024,0.047,0.0,0.022,0.908,0.78,0.839
0.376,0.112,0.172,0.0,0.06,0.811,0.803,0.807
0.45,0.065,0.113,0.0,0.039,0.835,0.791,0.812
0.412,0.087,0.143,0.0,0.045,0.786,0.802,0.794
0.524,0.224,0.313,0.012,0.111,0.839,0.832,0.836
0.491,0.24,0.322,0.0,0.131,0.841,0.818,0.829
0.161,0.138,0.149,0.0,0.075,0.806,0.811,0.808
0.508,0.288,0.368,0.0,0.157,0.846,0.824,0.835
0.528,0.214,0.305,0.0,0.113,0.832,0.828,0.83
0.598,0.26,0.362,0.0,0.133,0.869,0.851,0.86
0.508,0.234,0.321,0.0,0.104,0.829,0.818,0.823
0.653,0.105,0.18,0.0,0.055,0.848,0.796,0.821
0.567,0.269,0.365,0.0,0.134,0.832,0.828,0.83
0.545,0.196,0.289,0.009,0.109,0.836,0.804,0.82
0.383,0.526,0.443,0.0,0.247,0.852,0.848,0.85
0.438,0.395,0.415,0.0,0.224,0.831,0.842,0.836
0.642,0.152,0.245,0.0,0.065,0.801,0.797,0.799
0.767,0.085,0.153,0.0,0.042,0.864,0.8,0.831
0.472,0.279,0.351,0.0,0.128,0.835,0.818,0.826
0.506,0.194,0.28,0.005,0.089,0.814,0.798,0.806
0.565,0.132,0.214,0.001,0.073,0.795,0.796,0.795
0.491,0.053,0.095,0.0,0.023,0.785,0.778,0.782
0.596,0.102,0.174,0.0,0.052,0.845,0.804,0.824
0.471,0.096,0.159,0.0,0.062,0.835,0.792,0.813
0.411,0.119,0.184,0.0,0.05,0.807,0.792,0.799
0.521,0.278,0.363,0.0,0.144,0.829,0.825,0.827
