rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.6,0.109,0.185,0.004,0.099,0.907,0.837,0.871
0.514,0.126,0.202,0.0,0.076,0.851,0.797,0.823
0.421,0.164,0.236,0.0,0.084,0.832,0.789,0.81
0.432,0.103,0.167,0.0,0.071,0.853,0.79,0.82
0.839,0.065,0.121,0.0,0.033,0.874,0.761,0.813
0.184,0.409,0.254,0.0,0.164,0.796,0.794,0.795
0.63,0.104,0.178,0.0,0.066,0.852,0.801,0.826
0.44,0.158,0.233,0.008,0.103,0.86,0.849,0.854
0.179,0.546,0.27,0.0,0.208,0.809,0.833,0.821
0.646,0.331,0.438,0.032,0.171,0.886,0.845,0.865
0.438,0.285,0.345,0.0,0.142,0.852,0.829,0.84
0.706,0.041,0.078,0.0,0.027,0.87,0.786,0.826
0.587,0.118,0.196,0.002,0.077,0.854,0.821,0.838
0.338,0.426,0.377,0.0,0.198,0.839,0.807,0.822
0.557,0.109,0.183,0.001,0.064,0.858,0.804,0.83
0.533,0.239,0.33,0.0,0.113,0.837,0.809,0.823
0.5,0.165,0.248,0.0,0.098,0.842,0.812,0.826
0.818,0.054,0.101,0.0,0.031,0.875,0.769,0.819
0.53,0.283,0.369,0.0,0.182,0.826,0.834,0.83
0.586,0.16,0.252,0.0,0.082,0.8,0.811,0.806
0.319,0.33,0.325,0.0,0.18,0.842,0.812,0.827
0.522,0.235,0.324,0.0,0.126,0.856,0.824,0.839
0.66,0.121,0.205,0.0,0.068,0.866,0.805,0.834
0.268,0.397,0.32,0.039,0.201,0.768,0.837,0.801
0.321,0.361,0.34,0.0,0.168,0.834,0.83,0.832
0.485,0.112,0.182,0.0,0.059,0.847,0.786,0.815
0.464,0.318,0.377,0.0,0.144,0.797,0.815,0.806
0.575,0.262,0.36,0.0,0.142,0.84,0.822,0.831
0.375,0.025,0.047,0.0,0.025,0.865,0.787,0.824
0.763,0.064,0.119,0.0,0.041,0.892,0.778,0.831
0.285,0.47,0.355,0.0,0.253,0.816,0.856,0.836
0.756,0.062,0.115,0.0,0.044,0.874,0.776,0.822
0.417,0.342,0.376,0.0,0.15,0.816,0.825,0.82
0.667,0.261,0.375,0.024,0.157,0.886,0.847,0.866
0.57,0.225,0.322,0.0,0.109,0.843,0.832,0.837
0.677,0.121,0.206,0.0,0.081,0.854,0.785,0.818
0.385,0.275,0.321,0.0,0.141,0.855,0.83,0.843
0.426,0.09,0.149,0.001,0.071,0.832,0.777,0.803
0.523,0.096,0.163,0.0,0.058,0.876,0.791,0.831
0.484,0.311,0.378,0.0,0.162,0.837,0.815,0.826
0.583,0.149,0.237,0.018,0.147,0.91,0.846,0.877
0.528,0.175,0.263,0.0,0.096,0.835,0.802,0.818
0.667,0.038,0.072,0.0,0.039,0.903,0.806,0.852
0.477,0.126,0.2,0.0,0.06,0.815,0.8,0.807
0.4,0.122,0.188,0.0,0.068,0.836,0.802,0.819
0.324,0.099,0.152,0.0,0.062,0.771,0.805,0.788
0.465,0.247,0.323,0.026,0.14,0.839,0.825,0.832
0.532,0.206,0.297,0.0,0.11,0.835,0.817,0.826
0.161,0.182,0.171,0.0,0.105,0.805,0.816,0.811
0.497,0.279,0.358,0.0,0.144,0.846,0.821,0.834
0.444,0.34,0.386,0.0,0.134,0.819,0.836,0.827
0.439,0.302,0.358,0.0,0.117,0.838,0.848,0.843
0.446,0.287,0.35,0.0,0.132,0.814,0.822,0.818
0.551,0.255,0.348,0.0,0.15,0.844,0.828,0.836
0.396,0.362,0.378,0.0,0.182,0.82,0.825,0.822
0.517,0.244,0.332,0.0,0.13,0.834,0.801,0.817
0.339,0.447,0.386,0.026,0.206,0.839,0.842,0.841
0.362,0.406,0.383,0.0,0.186,0.849,0.854,0.851
0.556,0.162,0.251,0.0,0.074,0.831,0.813,0.822
0.674,0.175,0.278,0.0,0.072,0.862,0.818,0.84
0.355,0.365,0.36,0.0,0.17,0.818,0.816,0.817
0.455,0.213,0.29,0.0,0.092,0.809,0.795,0.802
0.444,0.16,0.235,0.0,0.092,0.775,0.803,0.789
0.436,0.063,0.111,0.0,0.027,0.775,0.775,0.775
0.404,0.086,0.142,0.0,0.051,0.84,0.795,0.817
0.414,0.108,0.171,0.0,0.07,0.836,0.805,0.82
0.505,0.117,0.19,0.0,0.053,0.822,0.795,0.808
