rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.1,0.286,0.148,0,0.118,0.846,0.827,0.836,0.4069
0.068,0.5,0.119,0,0.153,0.811,0.848,0.829,0.4144
0.057,0.8,0.107,0,0.132,0.791,0.873,0.83,0.42265
0.062,0.455,0.109,0,0.139,0.828,0.847,0.837,0.41025
0.161,0.417,0.233,0,0.179,0.831,0.88,0.855,0.4533
0.006,0.75,0.012,0,0.026,0.689,0.847,0.76,0.3494
0.152,0.636,0.246,0,0.35,0.839,0.897,0.867,0.5054
0.043,0.667,0.08,0,0.137,0.694,0.863,0.769,0.3865
0.015,0.75,0.03,0,0.108,0.765,0.871,0.814,0.39145
0.062,0.727,0.113,0,0.232,0.808,0.898,0.85,0.44845
0.028,0.4,0.052,0,0.088,0.775,0.837,0.805,0.3714
0.294,0.556,0.385,0,0.225,0.852,0.871,0.862,0.5093
0.381,0.828,0.522,0.095,0.505,0.823,0.926,0.871,0.62375
0.022,0.667,0.042,0,0.074,0.782,0.85,0.814,0.38325
0.072,0.636,0.13,0,0.243,0.812,0.862,0.836,0.4444
0.044,0.667,0.083,0,0.121,0.8,0.868,0.833,0.40955
0.039,0.429,0.072,0,0.071,0.821,0.895,0.856,0.3944
0.409,0.692,0.514,0.206,0.705,0.914,0.927,0.92,0.68745
0.014,0.5,0.027,0,0.045,0.741,0.832,0.784,0.3537
0.069,0.444,0.119,0,0.189,0.744,0.851,0.794,0.40485
0.019,0.5,0.036,0,0.068,0.788,0.842,0.814,0.37235
0.076,0.7,0.137,0,0.147,0.818,0.869,0.843,0.4328
0.019,0.25,0.036,0,0.055,0.773,0.837,0.804,0.35325
0.009,0.25,0.017,0,0.032,0.7,0.828,0.759,0.32635
0.026,0.875,0.05,0,0.089,0.737,0.845,0.787,0.38765
0.04,0.571,0.074,0,0.091,0.822,0.892,0.855,0.40555
0.019,0.833,0.037,0,0.098,0.661,0.815,0.73,0.3616
0.033,0.5,0.061,0,0.104,0.8,0.843,0.821,0.38805
0.062,0.1,0.077,0,0.056,0.858,0.882,0.87,0.3827
0.105,0.5,0.174,0,0.136,0.829,0.845,0.837,0.42705
0.031,0.6,0.059,0,0.107,0.744,0.844,0.791,0.38115
0.098,0.5,0.163,0,0.175,0.848,0.866,0.857,0.4403
0.031,0.5,0.058,0,0.112,0.732,0.833,0.779,0.37215
0.053,0.769,0.099,0,0.147,0.769,0.884,0.822,0.4191
0.062,0.667,0.114,0,0.219,0.794,0.894,0.841,0.43945
0.108,0.583,0.182,0,0.169,0.826,0.876,0.85,0.44475
0.038,0.417,0.07,0,0.129,0.807,0.845,0.826,0.39295
0.059,0.444,0.104,0,0.132,0.795,0.859,0.826,0.40275
0.114,0.625,0.192,0,0.133,0.827,0.857,0.842,0.43875
0.022,0.357,0.042,0,0.099,0.779,0.816,0.797,0.36595
0.139,0.455,0.213,0,0.187,0.819,0.874,0.846,0.4481
0.049,0.6,0.09,0,0.196,0.777,0.848,0.811,0.41405
0,0,0,0,0,0.869,0.846,0.857,0.3428
0.046,0.278,0.079,0,0.088,0.779,0.78,0.779,0.3612
0.05,0.429,0.09,0,0.13,0.779,0.836,0.807,0.39075
0.039,0.444,0.072,0,0.127,0.706,0.809,0.754,0.36555
0.065,0.923,0.121,0,0.243,0.752,0.883,0.812,0.447
0.036,0.8,0.069,0,0.172,0.763,0.867,0.812,0.4148
0.018,0.182,0.033,0,0.128,0.79,0.851,0.819,0.3698
