rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.2,0.174,0.186,0,0.087,0.837,0.83,0.834,
0.095,0.304,0.144,0,0.143,0.812,0.828,0.82,
0.057,0.348,0.098,0,0.131,0.785,0.827,0.806,
0.049,0.174,0.077,0,0.104,0.83,0.835,0.832,
0.129,0.174,0.148,0,0.105,0.816,0.828,0.822,
0.012,0.522,0.023,0,0.046,0.7,0.828,0.759,
0.109,0.217,0.145,0,0.102,0.802,0.827,0.814,
0.043,0.261,0.073,0,0.084,0.68,0.815,0.742,
0.02,0.348,0.038,0,0.082,0.762,0.825,0.792,
0.062,0.348,0.105,0,0.148,0.793,0.835,0.814,
0.069,0.435,0.12,0,0.145,0.779,0.831,0.804,
0.118,0.087,0.1,0,0.045,0.843,0.83,0.836,
0.079,0.217,0.116,0,0.094,0.745,0.832,0.786,
0.035,0.565,0.067,0,0.096,0.776,0.831,0.802,
0.072,0.304,0.117,0,0.131,0.811,0.828,0.82,
0.052,0.304,0.089,0,0.105,0.794,0.826,0.81,
0.079,0.261,0.121,0,0.105,0.808,0.835,0.821,
0.091,0.087,0.089,0,0.043,0.849,0.842,0.845,
0.032,0.391,0.058,0,0.106,0.742,0.821,0.78,
0.069,0.348,0.115,0,0.153,0.741,0.832,0.784,
0.052,0.478,0.093,0,0.128,0.785,0.834,0.809,
0.076,0.304,0.122,0,0.118,0.801,0.831,0.816,
0.058,0.261,0.095,0,0.11,0.777,0.828,0.802,
0.027,0.261,0.049,0,0.089,0.703,0.822,0.758,
0.036,0.435,0.067,0,0.106,0.734,0.821,0.775,
0.059,0.261,0.097,0,0.113,0.819,0.833,0.826,
0.034,0.391,0.062,0,0.127,0.667,0.818,0.735,
0.052,0.348,0.091,0,0.164,0.792,0.827,0.809,
0.188,0.13,0.154,0,0.089,0.846,0.834,0.84,
0.158,0.261,0.197,0,0.143,0.84,0.835,0.837,
0.041,0.348,0.074,0,0.113,0.742,0.822,0.78,
0.146,0.261,0.188,0,0.12,0.844,0.838,0.841,
0.043,0.304,0.075,0,0.117,0.733,0.825,0.777,
0.042,0.348,0.075,0,0.111,0.743,0.82,0.78,
0.055,0.304,0.093,0,0.122,0.775,0.829,0.801,
0.092,0.261,0.136,0,0.109,0.81,0.828,0.819,
0.054,0.304,0.092,0,0.117,0.805,0.829,0.817,
0.059,0.174,0.088,0,0.072,0.792,0.832,0.812,
0.136,0.261,0.179,0,0.141,0.822,0.834,0.828,
0.031,0.304,0.056,0,0.081,0.777,0.82,0.798,
0.139,0.217,0.169,0,0.122,0.816,0.83,0.823,
0.065,0.348,0.11,0,0.12,0.791,0.832,0.811,
0.111,0.043,0.062,0,0.023,0.848,0.828,0.838,
0.073,0.348,0.121,0,0.134,0.778,0.823,0.8,
