rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.35,0.368,0.359,0,0.297,0.89,0.889,0.889,
0.122,0.243,0.162,0,0.15,0.826,0.829,0.827,
0.179,0.543,0.269,0,0.276,0.816,0.87,0.842,
0.062,0.2,0.094,0,0.144,0.809,0.762,0.785,
0.452,0.519,0.483,0.17,0.403,0.891,0.892,0.891,
0.04,0.851,0.076,0,0.141,0.718,0.847,0.777,
0.217,0.833,0.345,0.084,0.495,0.851,0.922,0.885,
0.17,0.522,0.257,0,0.2,0.709,0.88,0.786,
0.053,0.84,0.1,0.011,0.177,0.777,0.875,0.823,
0.123,1,0.219,0.035,0.343,0.841,0.935,0.886,
0.035,0.385,0.064,0,0.196,0.792,0.836,0.814,
0.176,0.375,0.24,0,0.445,0.858,0.869,0.863,
0.365,0.821,0.505,0.097,0.53,0.821,0.92,0.867,
0.057,0.724,0.106,0,0.177,0.783,0.844,0.813,
0.093,0.45,0.154,0,0.267,0.831,0.874,0.852,
0.104,0.538,0.174,0,0.238,0.821,0.855,0.838,
0.197,0.395,0.263,0,0.284,0.827,0.847,0.836,
0.545,0.857,0.667,0.232,0.811,0.926,0.945,0.936,
0.102,0.829,0.181,0.025,0.294,0.77,0.873,0.818,
0.172,0.435,0.247,0,0.254,0.749,0.837,0.79,
0.061,0.619,0.111,0,0.188,0.803,0.84,0.821,
0.141,0.765,0.239,0,0.314,0.835,0.9,0.866,
0.155,0.4,0.224,0,0.211,0.806,0.861,0.833,
0.134,0.638,0.221,0.035,0.292,0.729,0.845,0.783,
0.084,0.639,0.148,0,0.213,0.755,0.867,0.807,
0.248,0.543,0.34,0,0.351,0.86,0.877,0.868,
0.053,1,0.1,0.03,0.34,0.675,0.864,0.758,
0.059,0.6,0.107,0,0.199,0.804,0.884,0.842,
0.25,0.5,0.333,0,0.558,0.872,0.923,0.897,
0.342,0.31,0.325,0,0.209,0.879,0.877,0.878,
0.093,0.857,0.168,0.027,0.269,0.777,0.906,0.836,
0.463,0.514,0.487,0,0.331,0.878,0.912,0.895,
0.043,0.636,0.08,0,0.22,0.781,0.886,0.83,
0.201,0.844,0.325,0.056,0.409,0.775,0.889,0.828,
0.078,0.667,0.14,0,0.132,0.794,0.878,0.834,
0.169,0.688,0.272,0.082,0.426,0.837,0.903,0.869,
0.046,0.333,0.081,0,0.203,0.821,0.835,0.828,
0.176,0.387,0.242,0,0.264,0.815,0.886,0.849,
0.318,0.412,0.359,0,0.209,0.871,0.878,0.874,
0.044,0.455,0.081,0,0.147,0.775,0.799,0.787,
0.111,0.364,0.17,0,0.255,0.817,0.884,0.849,
0.138,0.548,0.221,0,0.231,0.805,0.868,0.835,
0.444,0.143,0.216,0,0.197,0.897,0.819,0.857,
0.028,0.2,0.048,0,0.118,0.777,0.793,0.785,
0.15,0.6,0.24,0,0.306,0.816,0.878,0.846,
0.147,0.357,0.208,0,0.181,0.737,0.852,0.79,
0.092,0.607,0.16,0,0.284,0.764,0.854,0.807,
0.086,0.76,0.154,0.032,0.252,0.785,0.882,0.831,
0.071,0.138,0.094,0,0.091,0.784,0.772,0.778,
0.128,0.727,0.218,0,0.311,0.813,0.863,0.837,
0.153,0.647,0.247,0,0.219,0.776,0.863,0.817,
0.023,1,0.044,0,0.163,0.74,0.863,0.797,
0.119,0.42,0.185,0,0.191,0.761,0.857,0.806,
0.224,0.344,0.272,0,0.197,0.861,0.887,0.874,
0.05,0.533,0.091,0,0.212,0.737,0.848,0.789,
0.028,0.2,0.049,0,0.096,0.784,0.792,0.788,
0.02,0.7,0.039,0,0.143,0.751,0.862,0.803,
0.175,0.528,0.263,0,0.225,0.783,0.856,0.818,
0.21,0.654,0.318,0,0.272,0.779,0.891,0.831,
0.326,0.438,0.373,0,0.176,0.819,0.884,0.851,
0.037,0.381,0.068,0,0.146,0.777,0.814,0.795,
0.045,0.5,0.082,0,0.223,0.768,0.868,0.815,
0.065,0.583,0.117,0,0.27,0.739,0.876,0.802,
0.127,0.35,0.187,0,0.204,0.677,0.832,0.746,
0.17,0.364,0.232,0,0.237,0.826,0.864,0.845,
0.2,0.483,0.283,0,0.294,0.816,0.878,0.846,
0.053,0.417,0.093,0,0.229,0.763,0.846,0.802,
0.058,0.452,0.103,0,0.152,0.775,0.85,0.811,
0.099,0.48,0.164,0,0.27,0.787,0.848,0.816,
0.177,0.452,0.255,0,0.227,0.844,0.867,0.855,
0.071,0.429,0.122,0,0.18,0.808,0.851,0.829,
0.066,0.909,0.123,0,0.244,0.782,0.885,0.83,
0.169,0.234,0.196,0,0.108,0.79,0.851,0.82,
0.082,0.647,0.146,0,0.267,0.81,0.874,0.841,
0.2,0.286,0.235,0,0.154,0.78,0.84,0.809,
0.1,0.667,0.174,0,0.318,0.823,0.883,0.852,
0.121,0.5,0.195,0,0.246,0.821,0.882,0.851,
0.043,1,0.082,0,0.187,0.774,0.896,0.831,
0.07,0.561,0.125,0.015,0.251,0.802,0.857,0.828,
0.126,0.638,0.211,0,0.269,0.802,0.857,0.828,
0.049,0.333,0.085,0,0.241,0.801,0.817,0.809,
0.154,0.571,0.242,0,0.37,0.823,0.867,0.844,
0.174,0.625,0.272,0,0.208,0.818,0.865,0.841,
0.058,0.75,0.107,0,0.313,0.809,0.904,0.854,
0.07,0.19,0.103,0,0.202,0.819,0.829,0.824,
0.145,0.556,0.23,0,0.309,0.829,0.885,0.856,
0.041,0.571,0.077,0,0.188,0.77,0.875,0.819,
0.183,0.486,0.266,0,0.301,0.85,0.82,0.835,
0.047,0.417,0.084,0,0.123,0.795,0.835,0.814,
0.5,0.375,0.429,0.086,0.3,0.895,0.896,0.895,
0.109,0.463,0.177,0,0.221,0.809,0.84,0.824,
0.025,0.778,0.049,0,0.113,0.745,0.858,0.797,
0.143,0.289,0.191,0,0.172,0.826,0.841,0.833,
0.419,0.317,0.361,0,0.234,0.856,0.87,0.863,
0.02,0.875,0.038,0,0.106,0.74,0.873,0.801,
0.133,0.368,0.196,0,0.209,0.805,0.84,0.822,
0.135,0.433,0.206,0,0.195,0.795,0.818,0.807,
0.125,0.5,0.2,0,0.227,0.819,0.882,0.849,
0.027,0.778,0.052,0,0.091,0.749,0.854,0.798,
0.025,0.947,0.049,0.006,0.164,0.778,0.873,0.823,
0.14156,0.54398,0.19565,0.01023,0.2449,0.80129,0.8634,0.8305,0.45561
