rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.15,0.136,0.143,0,0.127,0.854,0.821,0.837,
0.081,0.316,0.129,0,0.123,0.819,0.846,0.832,
0.021,0.429,0.041,0,0.075,0.776,0.819,0.797,
0.062,0.357,0.105,0,0.169,0.83,0.866,0.847,
0,0,0,0,0,0.807,0.762,0.784,
0.019,0.655,0.037,0,0.07,0.711,0.855,0.776,
0.022,0.167,0.038,0,0.06,0.812,0.871,0.84,
0,0,0,0,0,0.676,0.855,0.755,
0.003,0.333,0.005,0,0.012,0.755,0.824,0.788,
0.046,0.4,0.083,0,0.109,0.801,0.848,0.824,
0.028,0.286,0.051,0,0.095,0.776,0.823,0.799,
0.353,0.207,0.261,0,0.167,0.859,0.834,0.846,
0,0,0,0,0,0.744,0.85,0.794,
0.008,0.429,0.016,0,0.035,0.766,0.852,0.807,
0,0,0,0,0,0.806,0.836,0.821,
0.015,0.286,0.028,0,0.053,0.792,0.835,0.813,
0.039,0.231,0.067,0,0.117,0.801,0.842,0.821,
0.045,0.143,0.069,0,0.058,0.86,0.881,0.87,
0,0,0,0,0,0.743,0.781,0.761,
0.026,0.25,0.047,0,0.066,0.74,0.838,0.786,
0,0,0,0,0,0.775,0.763,0.769,
0.011,0.2,0.021,0,0.043,0.78,0.794,0.787,
0.019,0.5,0.037,0,0.068,0.774,0.833,0.802,
0.022,0.357,0.042,0,0.081,0.703,0.834,0.763,
0.018,0.385,0.035,0,0.078,0.74,0.843,0.788,
0.089,0.474,0.15,0,0.201,0.827,0.865,0.845,
0.023,0.75,0.044,0,0.074,0.664,0.858,0.749,
0,0,0,0,0,0.782,0.838,0.809,
0.062,0.031,0.042,0,0.016,0.857,0.839,0.847,
0.105,0.154,0.125,0,0.098,0.847,0.823,0.835,
0.14,0.844,0.24,0.043,0.424,0.783,0.9,0.837,
0.098,0.5,0.163,0,0.277,0.837,0.882,0.859,
0.086,0.412,0.142,0,0.172,0.757,0.825,0.789,
0,0,0,0,0,0.737,0.841,0.785,
0.062,0.571,0.113,0,0.195,0.779,0.853,0.814,
0.031,0.25,0.055,0,0.076,0.802,0.846,0.824,
0.015,0.2,0.029,0,0.045,0.795,0.818,0.806,
0.015,0.167,0.027,0,0.04,0.783,0.847,0.814,
0.295,0.317,0.306,0,0.153,0.839,0.854,0.847,
0.027,0.545,0.051,0,0.092,0.776,0.846,0.809,
0.111,0.4,0.174,0,0.247,0.824,0.884,0.853,
0.041,0.294,0.071,0,0.074,0.791,0.83,0.81,
0,0,0,0,0,0.853,0.83,0.841,
0.018,0.25,0.034,0,0.092,0.777,0.852,0.813,
0.017,0.111,0.029,0,0.081,0.793,0.867,0.828,
0.01,0.111,0.018,0,0.034,0.723,0.846,0.779,
0.054,0.345,0.093,0,0.172,0.764,0.819,0.791,
0.032,0.333,0.058,0,0.075,0.769,0.837,0.802,
0.018,0.222,0.033,0,0.032,0.786,0.796,0.791,
0.027,0.417,0.05,0,0.107,0.796,0.862,0.828,
0.111,0.552,0.185,0,0.235,0.762,0.84,0.799,
0.038,0.556,0.071,0,0.156,0.749,0.84,0.792,
0.017,0.231,0.032,0,0.037,0.75,0.834,0.79,
0.041,0.095,0.057,0,0,0.824,0.812,0.818,
0.009,0.5,0.018,0,0.025,0.716,0.835,0.771,
0.007,0.25,0.014,0,0,0.777,0.871,0.822,
0.035,0.545,0.065,0,0.158,0.756,0.847,0.799,
0.062,0.455,0.11,0,0.142,0.767,0.835,0.8,
0.037,0.273,0.065,0,0.084,0.756,0.826,0.789,
0.07,0.115,0.087,0,0.035,0.773,0.774,0.774,
0.037,0.32,0.067,0,0.092,0.767,0.829,0.797,
0.067,0.375,0.114,0,0.124,0.782,0.823,0.802,
0.056,0.316,0.094,0,0.096,0.741,0.837,0.786,
0.036,0.091,0.052,0,0.02,0.679,0.826,0.745,
0.043,0.125,0.063,0,0.055,0.806,0.814,0.81,
0.057,0.444,0.101,0,0.103,0.809,0.851,0.829,
0.158,0.319,0.211,0,0.155,0.78,0.833,0.806,
0.004,0.2,0.008,0,0.018,0.758,0.804,0.78,
0.058,0.389,0.101,0,0.19,0.767,0.816,0.791,
0.101,0.32,0.154,0,0.132,0.829,0.863,0.846,
0.032,0.333,0.058,0,0.067,0.788,0.839,0.812,
0.01,0.429,0.019,0,0.052,0.762,0.823,0.791,
0.077,0.278,0.12,0,0.185,0.785,0.855,0.818,
0,0,0,0,0,0.78,0.781,0.78,
0.44,0.629,0.518,0,0.28,0.853,0.884,0.868,
0.06,0.429,0.105,0,0.133,0.803,0.815,0.809,
0.015,0.2,0.028,0,0.048,0.787,0.846,0.816,
0.014,0.385,0.028,0,0.044,0.755,0.841,0.796,
0.018,0.857,0.036,0,0.053,0.768,0.84,0.802,
