rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.3,0.375,0.333,0,0.393,0.852,0.826,0.839,
0.054,0.235,0.088,0,0.111,0.803,0.826,0.814,
0.064,0.429,0.112,0,0.153,0.795,0.845,0.819,
0,0,0,0,0,0,0,0,
0.419,0.448,0.433,0.098,0.273,0.884,0.88,0.882,
0.02,0.667,0.038,0.003,0.074,0.715,0.851,0.777,
0.152,0.438,0.226,0,0.264,0.819,0.865,0.842,
0.142,0.417,0.212,0,0.138,0.711,0.858,0.778,
0.081,0.711,0.145,0.024,0.267,0.785,0.85,0.816,
0.277,0.75,0.404,0,0.316,0.867,0.907,0.886,
0.118,0.486,0.19,0,0.228,0.807,0.845,0.826,
0.412,0.212,0.28,0,0.219,0.878,0.842,0.86,
0,0,0,0,0,0,0,0,
0.038,0.667,0.072,0.008,0.154,0.787,0.858,0.821,
0.072,0.438,0.124,0,0.112,0.832,0.87,0.85,
0.03,0.4,0.055,0,0.173,0.787,0.834,0.81,
0.026,0.286,0.048,0,0.076,0.815,0.859,0.836,
0.5,0.786,0.611,0.227,0.731,0.925,0.944,0.934,
0.056,0.889,0.106,0.016,0.208,0.758,0.88,0.815,
0.052,0.75,0.097,0,0.298,0.732,0.859,0.791,
0.023,0.385,0.044,0,0.057,0.773,0.795,0.784,
0.076,0.412,0.128,0,0.145,0.792,0.83,0.811,
0.146,0.441,0.219,0,0.142,0.812,0.829,0.821,
0.143,0.681,0.236,0.027,0.294,0.731,0.864,0.792,
0.033,0.45,0.061,0,0.112,0.735,0.829,0.779,
0.04,0.364,0.071,0,0.1,0.815,0.848,0.831,
0.064,0.567,0.115,0,0.185,0.672,0.8,0.731,
0.065,0.625,0.118,0,0.199,0.802,0.869,0.834,
0.188,0.088,0.12,0,0.052,0.865,0.856,0.861,
0.211,0.229,0.219,0,0.142,0.841,0.839,0.84,
0.104,0.87,0.185,0.035,0.375,0.778,0.895,0.832,
0.171,0.304,0.219,0,0.161,0.862,0.874,0.868,
0.067,0.647,0.122,0.046,0.278,0.775,0.891,0.829,
0.016,0.176,0.029,0,0.022,0.748,0.787,0.767,
0.203,0.667,0.311,0,0.227,0.809,0.862,0.835,
0.123,0.727,0.211,0,0.208,0.816,0.897,0.855,
0.169,0.489,0.251,0,0.202,0.833,0.841,0.837,
0.044,0.176,0.071,0,0.111,0.793,0.791,0.792,
0.068,0.231,0.105,0,0.067,0.82,0.857,0.838,
0.027,0.333,0.049,0,0.09,0.769,0.825,0.796,
0.139,0.294,0.189,0,0.131,0.812,0.859,0.835,
0.13,0.533,0.209,0,0.186,0.802,0.864,0.832,
0.222,0.118,0.154,0,0.061,0.861,0.847,0.854,
0.073,0.4,0.124,0,0.163,0.788,0.81,0.799,
0.15,0.281,0.196,0,0.166,0.807,0.855,0.83,
0.039,0.444,0.072,0,0.127,0.706,0.809,0.754,
0.065,0.923,0.121,0,0.243,0.752,0.883,0.812,
0.09,0.571,0.156,0,0.216,0.789,0.832,0.81,
0.062,0.5,0.111,0,0.154,0.789,0.851,0.819,
0.091,0.63,0.159,0,0.238,0.803,0.849,0.825,
0.069,0.333,0.115,0,0.116,0.742,0.8,0.77,
0,0,0,0,0,0,0,0,
0,0,0,0,0,0.733,0.726,0.729,
0.204,0.323,0.25,0,0.111,0.858,0.882,0.87,
0.05,0.552,0.091,0,0.185,0.727,0.851,0.784,
0.014,0.118,0.025,0,0,0.78,0.783,0.781,
0.052,0.643,0.097,0,0.129,0.78,0.866,0.821,
0.037,0.333,0.067,0,0.079,0.761,0.834,0.796,
0.148,0.667,0.242,0,0.186,0.769,0.891,0.826,
0.302,0.394,0.342,0,0.099,0.816,0.874,0.844,
0.009,0.25,0.018,0,0,0.758,0.773,0.765,
0.056,0.667,0.104,0,0.142,0.768,0.86,0.812,
0.037,0.364,0.067,0,0.126,0.73,0.816,0.77,
0.036,0.286,0.065,0,0.092,0.672,0.86,0.754,
0.085,0.211,0.121,0,0.095,0.803,0.832,0.817,
0.1,0.368,0.157,0,0.163,0.797,0.835,0.816,
0.032,0.25,0.056,0,0,0.788,0.835,0.811,
0.017,0.5,0.032,0,0.066,0.773,0.861,0.814,
0.025,0.273,0.045,0,0,0.772,0.809,0.79,
0.177,0.483,0.259,0,0.206,0.828,0.843,0.836,
0.063,0.533,0.113,0,0.115,0.806,0.869,0.836,
0.036,0.786,0.069,0,0.134,0.768,0.858,0.81,
0.154,0.278,0.198,0,0.11,0.798,0.853,0.825,
0.045,0.462,0.082,0,0.209,0.801,0.832,0.816,
0.16,0.364,0.222,0,0.23,0.783,0.862,0.82,
0.1,0.667,0.174,0,0.306,0.822,0.886,0.853,
0.182,0.4,0.25,0,0.239,0.806,0.823,0.814,
0.04,0.452,0.073,0,0.106,0.772,0.855,0.811,
0.067,0.524,0.119,0.014,0.193,0.799,0.84,0.819,
0.084,0.455,0.142,0,0.152,0.797,0.843,0.819,
0.049,0.333,0.085,0,0.132,0.806,0.833,0.819,
0.048,0.333,0.084,0,0,0.8,0.846,0.823,
0.035,0.25,0.061,0,0.08,0.776,0.826,0.8,
0.067,0.7,0.123,0,0.182,0.805,0.869,0.836,
0.123,0.318,0.177,0,0.176,0.819,0.836,0.828,
0.232,0.34,0.276,0,0.143,0.815,0.841,0.828,
0.036,0.538,0.067,0,0.132,0.762,0.857,0.807,
0,0,0,0,0,0.787,0.699,0.74,
0.052,0.423,0.092,0,0.119,0.794,0.827,0.81,
0.222,0.4,0.286,0,0.207,0.871,0.871,0.871,
0.115,0.426,0.181,0,0.179,0.811,0.837,0.824,
0.093,0.565,0.16,0,0.144,0.767,0.856,0.809,
0.221,0.354,0.272,0,0.233,0.829,0.861,0.845,
0.065,0.25,0.103,0,0.144,0.819,0.86,0.839,
0.039,0.824,0.075,0,0.162,0.74,0.825,0.78,
0.181,0.388,0.247,0,0.182,0.816,0.848,0.832,
0,0,0,0,0,0,0,0,
0.15,0.353,0.211,0,0.139,0.822,0.865,0.843,
0.01,0.588,0.019,0,0.038,0.73,0.811,0.768,
0.027,0.864,0.051,0,0.133,0.765,0.85,0.806,
0.10001,0.43123,0.14114,0.00498,0.15156,0.76043,0.81107,0.78436,0.399344
