rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.15,0.3,0.2,0,0.146,0.823,0.84,0.831,
0.041,0.3,0.071,0,0.13,0.79,0.824,0.807,
0.029,0.4,0.053,0,0.092,0.766,0.819,0.791,
0.012,0.1,0.022,0,0.062,0.802,0.825,0.813,
0.097,0.3,0.146,0,0.177,0.802,0.833,0.818,
0.004,0.4,0.008,0,0.017,0.688,0.824,0.75,
0.043,0.2,0.071,0,0.084,0.787,0.834,0.81,
0.007,0.1,0.013,0,0.022,0.669,0.813,0.734,
0.01,0.4,0.02,0,0.052,0.743,0.821,0.78,
0.023,0.3,0.043,0,0.095,0.77,0.824,0.796,
0.028,0.4,0.052,0,0.115,0.759,0.828,0.792,
0,0,0,0,0,0.821,0.824,0.822,
0.032,0.2,0.055,0,0.072,0.731,0.822,0.774,
0.011,0.4,0.021,0,0.045,0.751,0.819,0.783,
0.031,0.3,0.056,0,0.112,0.791,0.826,0.808,
0.022,0.3,0.041,0,0.073,0.773,0.821,0.796,
0.053,0.4,0.093,0,0.126,0.789,0.83,0.809,
0.091,0.2,0.125,0,0.096,0.826,0.831,0.828,
0.011,0.3,0.02,0,0.058,0.726,0.816,0.768,
0.026,0.3,0.048,0,0.1,0.725,0.822,0.771,
0.023,0.5,0.045,0,0.066,0.764,0.82,0.791,
0.033,0.3,0.059,0,0.088,0.782,0.824,0.803,
0.029,0.3,0.053,0,0.105,0.764,0.837,0.799,
0.013,0.3,0.026,0,0.062,0.689,0.818,0.748,
0.018,0.5,0.035,0,0.058,0.721,0.814,0.764,
0.04,0.4,0.072,0,0.137,0.795,0.823,0.809,
0.011,0.3,0.022,0,0.057,0.658,0.814,0.728,
0.026,0.4,0.049,0,0.087,0.773,0.825,0.798,
0.062,0.1,0.077,0,0.051,0.826,0.831,0.829,
0.053,0.2,0.083,0,0.126,0.818,0.835,0.827,
0.021,0.4,0.039,0,0.055,0.728,0.818,0.77,
0.073,0.3,0.118,0,0.122,0.814,0.838,0.826,
0.018,0.3,0.035,0,0.07,0.721,0.818,0.766,
0.021,0.4,0.04,0,0.072,0.727,0.814,0.768,
0.023,0.3,0.043,0,0.075,0.757,0.826,0.79,
0.046,0.3,0.08,0,0.1,0.787,0.831,0.808,
0.038,0.5,0.071,0,0.116,0.787,0.828,0.807,
0.015,0.1,0.026,0,0.033,0.773,0.825,0.798,
0.045,0.2,0.074,0,0.123,0.798,0.835,0.816,
0.018,0.4,0.034,0,0.065,0.757,0.819,0.787,
0.083,0.3,0.13,0,0.126,0.799,0.834,0.816,
0.033,0.4,0.06,0,0.096,0.776,0.829,0.801,
0,0,0,0,0,0.832,0.83,0.831,
0.018,0.2,0.034,0,0.087,0.762,0.825,0.792,
0.067,0.4,0.114,0,0.15,0.779,0.823,0.8,
0.02,0.2,0.036,0,0.095,0.71,0.817,0.76,
0.011,0.2,0.021,0,0.037,0.732,0.811,0.77,
0.018,0.4,0.034,0,0.067,0.748,0.827,0.785,
0.027,0.3,0.049,0,0.082,0.773,0.833,0.802,
0.027,0.5,0.051,0,0.079,0.768,0.816,0.791,
0.021,0.3,0.039,0,0.083,0.732,0.823,0.775,
0.023,0.3,0.042,0,0.074,0.725,0.825,0.772,
0.023,0.4,0.043,0,0.078,0.727,0.824,0.773,
0.041,0.2,0.068,0,0.079,0.79,0.826,0.808,
0.009,0.3,0.018,0,0.046,0.705,0.822,0.759,
0.028,0.4,0.052,0,0.091,0.765,0.821,0.792,
0.009,0.3,0.017,0,0.052,0.73,0.82,0.773,
0.019,0.3,0.035,0,0.064,0.745,0.817,0.78,
0.025,0.2,0.044,0,0.062,0.739,0.815,0.775,
0.07,0.3,0.113,0,0.163,0.757,0.819,0.786,
0.009,0.2,0.018,0,0.051,0.739,0.814,0.775,
0.022,0.4,0.043,0,0.084,0.744,0.817,0.779,
0.056,0.6,0.102,0,0.167,0.725,0.837,0.777,
0.018,0.1,0.031,0,0.039,0.662,0.816,0.731,
0.021,0.1,0.035,0,0.083,0.79,0.826,0.808,
0.029,0.2,0.05,0,0.097,0.784,0.825,0.804,
0.032,0.3,0.057,0,0.1,0.739,0.818,0.777,
0.017,0.4,0.032,0,0.08,0.756,0.814,0.784,
0.033,0.4,0.061,0,0.11,0.751,0.83,0.789,
0.038,0.3,0.067,0,0.094,0.792,0.83,0.81,
0.04,0.5,0.074,0,0.121,0.775,0.823,0.798,
0.013,0.4,0.025,0,0.05,0.75,0.82,0.783,
0.046,0.3,0.08,0,0.115,0.756,0.822,0.788,
0.03,0.4,0.056,0,0.092,0.782,0.823,0.802,
0.06,0.3,0.1,0,0.132,0.765,0.826,0.794,
0.04,0.4,0.073,0,0.111,0.785,0.823,0.803,
0.045,0.3,0.079,0,0.142,0.778,0.827,0.802,
0.009,0.3,0.017,0,0.047,0.737,0.822,0.777,
0.015,0.5,0.03,0,0.049,0.75,0.816,0.781,
0.013,0.3,0.024,0,0.064,0.761,0.82,0.789,
0.037,0.3,0.065,0,0.123,0.778,0.823,0.8,
0.038,0.4,0.07,0,0.132,0.745,0.828,0.785,
0.017,0.2,0.032,0,0.054,0.76,0.824,0.79,
0.029,0.3,0.053,0,0.109,0.777,0.827,0.802,
0.053,0.3,0.09,0,0.108,0.792,0.834,0.812,
0.043,0.3,0.076,0,0.101,0.773,0.827,0.799,
0.015,0.3,0.029,0,0.087,0.728,0.812,0.768,
0.032,0.3,0.058,0,0.116,0.794,0.83,0.812,
0.014,0.3,0.027,0,0.073,0.743,0.824,0.781,
0.083,0.3,0.13,0,0.127,0.823,0.844,0.833,
0.023,0.4,0.043,0,0.079,0.77,0.822,0.796,
0.014,0.4,0.028,0,0.052,0.729,0.823,0.773,
0.039,0.3,0.069,0,0.099,0.774,0.824,0.798,
0.032,0.1,0.049,0,0.044,0.801,0.832,0.816,
0.008,0.3,0.016,0,0.044,0.718,0.822,0.767,
0.029,0.3,0.052,0,0.083,0.772,0.828,0.799,
0.031,0.3,0.057,0,0.11,0.757,0.825,0.79,
0.037,0.3,0.067,0,0.116,0.783,0.831,0.806,
0.005,0.5,0.009,0,0.016,0.719,0.808,0.761,
0.006,0.4,0.011,0,0.028,0.733,0.821,0.774,
0.0309,0.31,0.05324,0,0.08482,0.76055,0.82404,0.79067,0.360925
