rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.5,0.263,0.345,0,0.322,0.886,0.842,0.863,
0.149,0.275,0.193,0,0.155,0.837,0.846,0.841,
0.15,0.404,0.219,0,0.211,0.8,0.845,0.822,
0.21,0.37,0.268,0,0.225,0.848,0.851,0.85,
0.548,0.378,0.447,0,0.252,0.877,0.864,0.871,
0.04,0.851,0.076,0,0.141,0.718,0.847,0.777,
0.522,0.453,0.485,0,0.285,0.862,0.884,0.873,
0.128,0.621,0.212,0,0.241,0.703,0.858,0.773,
0.078,0.721,0.141,0.024,0.277,0.786,0.856,0.819,
0.292,0.809,0.429,0,0.368,0.872,0.917,0.894,
0.062,0.36,0.107,0,0.19,0.792,0.824,0.808,
0.471,0.308,0.372,0,0.374,0.887,0.858,0.872,
0.302,0.388,0.339,0,0.309,0.791,0.871,0.829,
0.101,0.822,0.18,0,0.277,0.808,0.877,0.841,
0.196,0.373,0.257,0,0.197,0.846,0.857,0.852,
0.163,0.71,0.265,0,0.333,0.805,0.868,0.836,
0.197,0.395,0.263,0,0.234,0.833,0.865,0.849,
0.636,0.275,0.384,0.078,0.305,0.91,0.907,0.909,
0.151,0.811,0.254,0.032,0.359,0.773,0.871,0.819,
0.147,0.327,0.202,0,0.199,0.753,0.844,0.796,
0.061,0.591,0.111,0,0.172,0.8,0.838,0.818,
0.304,0.538,0.389,0,0.297,0.85,0.882,0.866,
0.165,0.486,0.246,0,0.221,0.81,0.84,0.824,
0.116,0.531,0.19,0.028,0.26,0.725,0.854,0.784,
0.066,0.391,0.113,0,0.159,0.746,0.834,0.788,
0.178,0.429,0.252,0,0.276,0.847,0.864,0.855,
0.14,0.725,0.234,0.039,0.367,0.692,0.827,0.753,
0.203,0.608,0.304,0,0.266,0.822,0.876,0.848,
0.25,0.093,0.136,0,0.109,0.883,0.853,0.867,
0.237,0.191,0.212,0,0.146,0.855,0.845,0.85,
0.202,0.812,0.324,0.042,0.448,0.775,0.877,0.823,
0.366,0.288,0.323,0,0.215,0.878,0.872,0.875,
0.049,0.667,0.091,0.021,0.274,0.782,0.894,0.834,
0.175,0.717,0.281,0.03,0.324,0.769,0.883,0.822,
0.133,0.567,0.215,0,0.142,0.803,0.874,0.837,
0.277,0.45,0.343,0.053,0.327,0.833,0.866,0.849,
0.185,0.5,0.27,0,0.257,0.822,0.842,0.832,
0.118,0.2,0.148,0,0.148,0.817,0.846,0.831,
0.295,0.394,0.338,0,0.221,0.864,0.869,0.867,
0.067,0.395,0.114,0,0.148,0.785,0.794,0.789,
0.111,0.098,0.104,0,0.089,0.805,0.827,0.816,
0.211,0.578,0.31,0,0.305,0.809,0.864,0.836,
0.444,0.308,0.364,0,0.465,0.87,0.709,0.782,
0.119,0.52,0.194,0.033,0.229,0.793,0.819,0.806,
0.167,0.385,0.233,0,0.207,0.82,0.845,0.832,
0.088,0.29,0.135,0,0.188,0.74,0.832,0.783,
0.103,0.613,0.176,0,0.22,0.761,0.839,0.798,
0.086,0.633,0.151,0,0.209,0.774,0.837,0.804,
0.062,0.159,0.09,0,0.136,0.787,0.792,0.79,
0.118,0.55,0.194,0,0.235,0.793,0.826,0.809,
0.174,0.658,0.275,0,0.252,0.768,0.863,0.813,
0.076,0.769,0.138,0,0.164,0.783,0.856,0.818,
0.102,0.391,0.161,0,0.169,0.76,0.852,0.804,
0.224,0.344,0.272,0,0.197,0.856,0.871,0.863,
0.072,0.489,0.125,0,0.22,0.727,0.834,0.777,
0.098,0.28,0.145,0,0.23,0.802,0.84,0.821,
0.035,0.8,0.067,0,0.079,0.756,0.83,0.791,
0.113,0.514,0.185,0,0.186,0.788,0.865,0.824,
0.21,0.654,0.318,0,0.272,0.779,0.891,0.831,
0.302,0.394,0.342,0,0.171,0.815,0.874,0.844,
0.023,0.333,0.044,0,0.108,0.766,0.807,0.786,
0.09,0.333,0.142,0,0.149,0.768,0.831,0.799,
0.148,0.32,0.203,0.031,0.277,0.749,0.825,0.785,
0.127,0.184,0.151,0,0.107,0.688,0.806,0.742,
0.277,0.236,0.255,0,0.167,0.825,0.845,0.835,
0.243,0.321,0.276,0,0.199,0.81,0.853,0.831,
0.116,0.367,0.176,0,0.214,0.806,0.845,0.825,
0.079,0.594,0.14,0,0.148,0.793,0.871,0.83,
0.107,0.464,0.174,0,0.237,0.788,0.85,0.818,
0.228,0.462,0.305,0,0.222,0.843,0.852,0.847,
0.151,0.463,0.228,0,0.187,0.802,0.826,0.814,
0.118,0.837,0.207,0.033,0.347,0.791,0.89,0.838,
0.154,0.213,0.179,0,0.088,0.79,0.833,0.811,
0.172,0.5,0.256,0,0.24,0.807,0.845,0.825,
0.32,0.296,0.308,0,0.202,0.794,0.861,0.826,
0.14,0.412,0.209,0,0.274,0.812,0.864,0.837,
0.197,0.433,0.271,0,0.239,0.821,0.845,0.833,
0.077,0.675,0.138,0,0.187,0.778,0.858,0.816,
0.034,0.458,0.063,0,0.118,0.783,0.809,0.796,
0.105,0.532,0.175,0,0.23,0.8,0.851,0.825,
0.049,0.308,0.084,0,0.231,0.809,0.837,0.823,
0.144,0.556,0.229,0,0.384,0.822,0.86,0.84,
0.174,0.588,0.268,0,0.234,0.823,0.88,0.85,
0.183,0.475,0.264,0,0.216,0.813,0.869,0.84,
0.035,0.087,0.05,0,0.093,0.822,0.821,0.822,
