rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.15,0.13,0.14,0,0.12,0.854,0.822,0.837,
0.081,0.375,0.133,0,0.138,0.815,0.827,0.821,
0.021,0.429,0.041,0,0.075,0.76,0.802,0.781,
0.123,0.278,0.171,0,0.126,0.838,0.84,0.839,
0.097,0.12,0.107,0,0.058,0.826,0.813,0.82,
0.019,0.655,0.037,0,0.07,0.711,0.855,0.776,
0.022,0.167,0.038,0,0.06,0.811,0.87,0.839,
0.035,0.455,0.066,0,0.081,0.694,0.814,0.749,
0.01,0.333,0.02,0,0.049,0.758,0.818,0.787,
0.038,0.217,0.065,0,0.113,0.8,0.812,0.806,
0.056,0.216,0.088,0,0.085,0.784,0.818,0.801,
0,0,0,0,0,0.833,0.84,0.836,
0.032,0.095,0.048,0,0.039,0.766,0.781,0.773,
0.019,0.538,0.037,0,0.052,0.772,0.839,0.805,
0.031,0.375,0.057,0,0.118,0.816,0.839,0.827,
0.148,0.408,0.217,0,0.186,0.813,0.85,0.831,
0,0,0,0,0,0.8,0.773,0.786,
0.182,0.364,0.242,0,0.164,0.862,0.847,0.854,
0.018,0.263,0.033,0,0,0.767,0.801,0.783,
0.078,0.243,0.118,0,0.113,0.747,0.819,0.782,
0,0,0,0,0,0.775,0.764,0.77,
0.054,0.357,0.094,0,0.116,0.811,0.85,0.83,
0.019,0.5,0.037,0,0.068,0.771,0.852,0.81,
0.004,0.25,0.009,0,0.061,0.698,0.778,0.736,
0.051,0.483,0.092,0,0.103,0.755,0.867,0.807,
0.149,0.312,0.201,0,0.192,0.836,0.828,0.832,
0.023,0.462,0.043,0,0.091,0.666,0.837,0.742,
0.007,0.333,0.013,0,0.028,0.781,0.809,0.795,
0.062,0.143,0.087,0,0.081,0.849,0.892,0.87,
0.053,0.087,0.066,0,0.072,0.851,0.833,0.842,
0.104,0.87,0.185,0.035,0.375,0.778,0.895,0.832,
0.122,0.385,0.185,0,0.157,0.836,0.854,0.845,
0.086,0.359,0.139,0,0.137,0.749,0.827,0.786,
0.005,0.333,0.01,0,0.022,0.735,0.812,0.771,
0.117,0.417,0.183,0,0.171,0.792,0.841,0.816,
