rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.55,0.407,0.468,0.166,0.381,0.925,0.884,0.904
0.311,0.14,0.193,0,0.084,0.845,0.8,0.822
0.421,0.296,0.348,0.022,0.165,0.833,0.838,0.835
0.494,0.077,0.134,0,0.045,0.866,0.785,0.824
0.71,0.089,0.159,0,0.063,0.885,0.778,0.828
0.212,0.485,0.295,0,0.227,0.791,0.803,0.797
0.304,0.609,0.406,0,0.452,0.868,0.922,0.895
0.248,0.327,0.282,0,0.166,0.727,0.848,0.783
0.348,0.489,0.407,0.028,0.238,0.834,0.835,0.835
0.1,0.812,0.178,0,0.269,0.837,0.918,0.876
0.375,0.309,0.339,0,0.162,0.844,0.831,0.838
0.824,0.032,0.062,0,0.026,0.882,0.772,0.823
0.619,0.109,0.186,0,0.056,0.851,0.812,0.831
0.542,0.355,0.429,0,0.185,0.84,0.815,0.828
0.546,0.122,0.199,0,0.071,0.857,0.797,0.826
0.541,0.225,0.317,0,0.112,0.838,0.809,0.823
0.263,0.233,0.247,0,0.157,0.851,0.859,0.855
0.682,0.112,0.192,0,0.087,0.903,0.827,0.863
0.425,0.401,0.412,0,0.204,0.807,0.839,0.823
0.534,0.222,0.314,0.016,0.135,0.806,0.827,0.816
0.7,0.182,0.289,0,0.091,0.851,0.806,0.828
0.62,0.113,0.191,0,0.069,0.844,0.794,0.818
0.641,0.148,0.241,0,0.078,0.864,0.822,0.842
0.393,0.571,0.466,0.087,0.302,0.818,0.859,0.838
0.266,0.392,0.317,0,0.211,0.802,0.84,0.821
0.525,0.095,0.161,0,0.054,0.855,0.784,0.818
0.257,0.602,0.36,0.036,0.287,0.707,0.851,0.772
0.314,0.432,0.364,0.038,0.223,0.84,0.868,0.854
0.625,0.028,0.053,0,0.02,0.863,0.775,0.817
0.816,0.065,0.12,0,0.046,0.91,0.765,0.831
0.114,0.537,0.188,0,0.281,0.778,0.888,0.829
0.732,0.095,0.169,0,0.067,0.886,0.794,0.837
0.27,0.688,0.388,0,0.289,0.829,0.891,0.859
0.603,0.406,0.485,0.079,0.228,0.878,0.858,0.868
0.258,0.6,0.361,0,0.253,0.839,0.904,0.87
0.554,0.444,0.493,0,0.237,0.893,0.882,0.887
0.431,0.273,0.334,0,0.145,0.862,0.825,0.843
0.368,0.373,0.37,0.055,0.19,0.834,0.86,0.847
0.455,0.187,0.265,0,0.115,0.891,0.827,0.858
0.409,0.505,0.452,0.065,0.236,0.843,0.848,0.845
0.472,0.052,0.094,0,0.035,0.838,0.783,0.809
0.528,0.247,0.337,0,0.131,0.845,0.828,0.836
0.889,0.211,0.34,0.027,0.24,0.967,0.839,0.898
0.431,0.128,0.198,0.003,0.069,0.812,0.8,0.806
0.383,0.104,0.164,0,0.061,0.84,0.799,0.819
0.402,0.092,0.149,0,0.041,0.798,0.805,0.801
0.459,0.299,0.362,0.022,0.177,0.843,0.838,0.841
0.572,0.255,0.352,0,0.139,0.84,0.827,0.833
0.08,0.184,0.112,0,0.113,0.799,0.826,0.812
0.588,0.237,0.338,0,0.122,0.839,0.816,0.828
0.083,0.545,0.145,0,0.17,0.789,0.897,0.839
0.485,0.34,0.4,0.043,0.134,0.868,0.834,0.851
0.175,0.463,0.254,0,0.181,0.782,0.863,0.82
0.694,0.103,0.18,0,0.057,0.842,0.804,0.823
0.601,0.323,0.42,0,0.161,0.826,0.832,0.829
0.413,0.298,0.346,0,0.178,0.847,0.83,0.838
0.148,0.739,0.246,0.021,0.302,0.804,0.867,0.834
0.263,0.627,0.37,0,0.259,0.82,0.89,0.854
0.642,0.101,0.174,0.001,0.06,0.827,0.809,0.818
0.837,0.106,0.188,0,0.039,0.87,0.806,0.837
0.271,0.523,0.357,0,0.212,0.822,0.864,0.843
0.348,0.31,0.328,0,0.146,0.811,0.825,0.818
0.259,0.378,0.308,0.048,0.182,0.768,0.865,0.814
0.073,0.167,0.101,0,0.181,0.706,0.83,0.763
0.277,0.31,0.292,0,0.23,0.836,0.861,0.849
0.129,0.6,0.212,0,0.341,0.83,0.919,0.873
0.095,0.321,0.146,0,0.214,0.799,0.861,0.829
0.338,0.384,0.359,0,0.186,0.817,0.841,0.829
0.256,0.383,0.307,0.057,0.305,0.82,0.869,0.844
0.418,0.344,0.377,0,0.222,0.863,0.853,0.858
0.413,0.11,0.173,0,0.058,0.823,0.788,0.805
0.49,0.355,0.412,0.023,0.187,0.839,0.824,0.831
0.215,0.333,0.262,0,0.192,0.8,0.872,0.834
0.358,0.259,0.301,0,0.145,0.825,0.808,0.816
0.34,0.279,0.306,0,0.147,0.811,0.865,0.837
0.1,1,0.182,0,0.451,0.829,0.923,0.874
0.561,0.088,0.152,0,0.05,0.842,0.787,0.814
0.369,0.489,0.42,0.026,0.232,0.828,0.853,0.84
0.621,0.268,0.374,0,0.153,0.84,0.807,0.823
0.328,0.228,0.269,0,0.126,0.817,0.805,0.811
0.085,0.5,0.146,0,0.291,0.827,0.906,0.865
0.365,0.222,0.276,0,0.109,0.812,0.817,0.814
0.461,0.203,0.282,0,0.105,0.84,0.818,0.829
0.5,0.366,0.423,0,0.194,0.853,0.858,0.855
0.632,0.14,0.229,0,0.089,0.855,0.813,0.833
0.435,0.323,0.37,0,0.204,0.842,0.851,0.847
0.256,0.439,0.324,0,0.215,0.816,0.86,0.838
0.484,0.141,0.218,0,0.095,0.854,0.799,0.826
0.676,0.293,0.409,0,0.141,0.835,0.823,0.829
0.75,0.079,0.143,0,0.06,0.875,0.775,0.822
0.224,0.382,0.283,0,0.177,0.832,0.849,0.84
0.251,0.402,0.309,0,0.181,0.801,0.842,0.821
0.623,0.109,0.185,0,0.065,0.846,0.802,0.823
0.677,0.058,0.108,0,0.035,0.847,0.777,0.811
0.344,0.554,0.424,0,0.229,0.831,0.845,0.838
0.476,0.143,0.22,0,0.092,0.829,0.797,0.813
0.677,0.132,0.22,0,0.064,0.857,0.809,0.832
0.113,0.6,0.189,0,0.281,0.816,0.904,0.858
0.313,0.407,0.354,0,0.166,0.8,0.797,0.798
0.358,0.67,0.466,0,0.278,0.86,0.836,0.848
0.42504,0.31333,0.28019,0.00863,0.16407,0.83527,0.83431,0.83378
