context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision 
We will implement native lazy loading for the images on the storefront.

* Add `loading=""lazy""` to all `<img>` tags for images in product listings (category, search, related products, upsells, cross-sells, new products, homepage listings)
* Add `loading=""lazy""` to all `<img>` tags for images in CMS content.
* The product detail page (main image and gallery images) will NOT have lazy loading, since those are in the viewport and necessary right away.
* All other images outside the storefront (e.g. backend) will NOT have lazy loading.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision 
The `autoload` parameter will be set to `false` for `OneToOneAssociationField` & `ManyToOneAssociationField` associations by default.

This change will prevent the unnecessary loading of associated data unless explicitly requested.

**Consequences:**

*   **Improved Performance:** SQL queries will be faster, API payloads smaller, and application hydration/processing reduced.
*   **Backward Incompatibility:** Existing applications that rely on `autoload=true` behavior for these associations will need to be updated to explicitly set `autoload=true` in their models if the associated data is still required by default.
*   **Increased Development Effort for Specific Use Cases:** Developers will need to explicitly load associated data when it is needed, potentially adding a minor overhead to specific queries where the data is always required. This can be achieved through methods like `select_related()` or `prefetch_related()` in ORMs, or by explicitly joining in raw SQL.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision 
We have decided to change the structure of the ADRs. We will use two levels to sort the ADRs.

### Numbering
All ADRs get a number as prefix. The counting of the numbers starts with 0001 and is continuous. If ADRs are added, the current highest number is continued. So if the last ADR had the number 0030, the next ADR gets the number 0031.

### Grouping
ADRs are grouped into folders for different areas. However, these folders are not nested. We use the following folders:
- `General` for general topics
- `Architecture` for general architecture topics
- `Integration` for topics regarding the integration of other systems
- `Frontend` for topics regarding the frontend
- `Backend` for topics regarding the backend
- `DevOps` for topics regarding DevOps

### Structure
An ADR always follows the following structure:
```
<Group>/<Number>-<Headline>.md
```

### Example
`General/0001-record-architecture-decisions.md`","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision 
We will continue to use our Component Factory with Vue 2 for the administration.

**Reasoning for the decision:**
*   The current Component Factory, despite its limitations, provides a robust and proven mechanism for plugin extensibility in the administration.
*   The explored native Vue 3 approach, while promising in theory, presented significant technical challenges, particularly in merging component data and providing full access to original component data within the `sw-block` system.
*   Resolving these challenges would necessitate reliance on unstable internal Vue logic, which introduces a high risk of breakage with future Vue updates, making the solution not update-safe or maintainable.
*   The effort and risk associated with making the native Vue 3 approach work reliably outweigh the benefits it would offer over the current system at this time.
*   Sticking with the current Vue 2 Component Factory ensures stability, maintainability, and compatibility with the existing plugin ecosystem, avoiding disruptive changes to plugin developers.

**Implications:**
*   We will continue to operate under the known limitations of the current Component Factory, such as not being able to fully leverage the Vue ecosystem's tools (e.g., linting, static analysis) without custom modifications.
*   Performance benefits from precompilation and a smoother Vue upgrade path will not be realized with this decision.
*   Further research and evaluation of alternative plugin architectures might be necessary in the future, possibly after significant changes in Vue or the availability of more suitable native extension patterns.
*   The team will continue to focus on optimizing the existing Vue 2 Component Factory within its current constraints.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
We will change the technical changelog to use a fragment-based approach, also known as ""news fragments"", ""changelog fragments"" or ""towncrier fragments"".

This approach consists of:
1.  **Multiple files for change entries**: Instead of having a single monolithic changelog file, each change entry will be stored in a separate, small file (a ""fragment"").
2.  **Fragment types**: Each fragment file will be named according to the type of change it represents (e.g., `bugfix`, `feature`, `breaking`, `deprecate`, `improvement`, `internal`, `security`).
3.  **Unique file names**: Each fragment file will have a unique identifier (e.g., based on a random string or a timestamp) to prevent conflicts.
4.  **Automatic aggregation**: A dedicated tool (e.g., Towncrier, or a custom script) will be used to aggregate these fragments into a single, structured changelog file when a new release is prepared.
5.  **Release-specific changelogs**: The aggregated changelog will typically be generated for a specific release version, making it clear which changes belong to which release.

**Workflow:**
1.  **During development**: When a developer makes a change that needs to be documented in the changelog, they will create a new fragment file in a designated directory (e.g., `changelog.d/`). The file name will reflect the type of change and have a unique identifier (e.g., `changelog.d/1234.feature`). The content of the file will be the changelog entry itself.
2.  **Code Review**: The changelog fragment will be reviewed along with the code changes.
3.  **Release preparation**: When a new release is planned, the maintainer will run the aggregation tool. The tool will collect all fragments, categorize them by type, and format them into a coherent changelog file (e.g., `CHANGELOG.md`). After generation, the fragments will typically be removed or moved to an archived state.
4.  **Release**: The generated changelog file will be committed as part of the release process.

This approach will eliminate merge conflicts, clearly associate changes with specific release types, and streamline the documentation of technical changes for a trunk-based development model.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision 
We will introduce `DelayAction` with a `Job` in the Backend. This `Job` will contain the full state (data and rules) of the current flow instance, including all related business objects, events, and their associated data.

**Key aspects of this decision:**

1.  **Job as a Snapshot:**
    *   When a `DelayAction` is triggered, the entire current state of the flow instance, including all relevant business objects, the complete event data that triggered the initial action, and the ruleset applicable at that moment, will be serialized and stored within a `Job` object.
    *   This `Job` will act as an immutable snapshot of the flow's context at the point of delay.

2.  **Delayed Execution:**
    *   The `Job` will be scheduled to be executed after the specified delay.
    *   Upon execution, the `Job` will deserialize the stored state.

3.  **Re-evaluation of Rules:**
    *   When the `Job` executes, the rules engine will **re-evaluate** the rules using the **restored state from the `Job`**.
    *   This ensures that even if external data or rules have changed in the interim, the delayed action proceeds based on the conditions and data that were present when the delay was initiated.
    *   If a rule no longer exists or has fundamentally changed in a way that makes the stored state invalid, the system should log an error or handle it gracefully (e.g., by skipping that specific rule or action, depending on the desired error handling strategy).

4.  **Handling Outdated Data:**
    *   The primary mechanism for addressing outdated data is the snapshotting of the *entire relevant context* into the `Job`. This means the data *used for the delayed action* will be exactly what was present at the time of the delay.
    *   If, however, the *intention* is for the delayed action to operate on the *latest* data *at the time of execution*, this approach would need modification (e.g., including pointers to fetch fresh data within the job, but this introduces complexity and potential for different outcomes). For the initial implementation, the snapshot approach is preferred to ensure deterministic execution based on the delayed state.

5.  **Implications:**
    *   **Data Size:** The size of the `Job` object could become significant if the state to be captured is very large. We need to consider potential performance and storage implications.
    *   **Serialization:** A robust serialization mechanism for the entire flow state will be required.
    *   **Error Handling:** Clear error handling strategies for deserialization failures or cases where rules/data become fundamentally incompatible during the delay period are essential.
    *   **Idempotency:** Consider if the delayed actions need to be idempotent, as a `Job` might be retried.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
We will integrate the app system into the shopware platform and deprecate the plugin.
Starting with Shopware 6.4.0.0 the app system will be part of the platform.
The plugin itself will be deprecated with Shopware 6.4.0.0 and will not be maintained any more.
After a transition phase of 3 months, it will be marked as ""end of life"" (EoL) and removed from the store page.
This gives our partners enough time to adapt their infrastructure without loosing revenue due to this change.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision
We'll refactor the existing architecture to introduce a single generic `EventStorer` interface. This interface will be responsible for handling the storage of events, regardless of their specific type or the values they contain. The core idea is to move away from individual `FlowStorer` implementations for each scalar value and consolidate the storage logic.

Key changes:
1.  **Unified `EventStorer` Interface:** A single interface `EventStorer` will be defined. It will likely include methods for storing an event and potentially for defining criteria for storage (e.g., `canStore(Event event)`).
2.  **No More Dedicated `FlowStorer` Interfaces:** The individual `FlowStorer` interfaces that currently identify if an event's data should be stored will be removed. The logic for determining if an event needs storage will be encapsulated within the `EventStorer` implementation or passed in as a configuration.
3.  **Generic Storage Logic:** The `EventStorer` implementation will be designed to handle various event types and their scalar values generically. This might involve using reflection, polymorphic dispatch, or a strategy pattern to determine how to extract and store relevant data from an event.
4.  **Configuration for Storage Criteria:** Instead of hardcoding storage identification in interfaces, the criteria for which events (or parts of events) should be stored will be configurable. This could be done through:
    *   A set of rules passed to the `EventStorer`.
    *   Annotations on event classes.
    *   A declarative configuration file.
5.  **Simplified Plugin Integration:** Plugins will no longer need to implement multiple `FlowStorer` interfaces or deal with specific storage logic for each scalar type. They can simply interact with the generic `EventStorer` to store events, and the `EventStorer` will handle the underlying details based on its configuration.
6.  **Reduced Boilerplate:** This approach will significantly reduce boilerplate code when adding new storer implementations or when plugins need to bypass storage for certain events. Developers will only need to interact with the single `EventStorer` interface.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision 
We have decided to replace the existing editor with the At.js-based editor. This decision is based on a thorough evaluation
of several alternatives, weighing their pros and cons against our specific requirements for a new text editor.

The At.js-based editor offers the following key advantages:

*   **Ease of Maintenance:** Its clear architecture and well-documented API make it significantly easier to maintain and
    debug compared to the previous solution.
*   **Feature Set:** It provides a robust set of basic WYSIWYG functionalities, addressing the numerous low-level bugs
    present in the old editor.
*   **Flexibility and Extensibility:** The At.js framework is highly extensible, allowing us to easily add custom
    features and integrations as our needs evolve. This is a crucial factor for a flexible administration panel.
*   **Stability:** Early testing indicates greater stability and fewer unexpected behaviors compared to the previous
    editor.

While other options were considered (e.g., TinyMCE, CKEditor), the At.js-based editor struck the best balance
between our requirements for maintainability, features, flexibility, and stability, without introducing excessive
complexity or licensing concerns.

**Workflow for Implementation:**
1.  **Integration:** The At.js-based editor will be integrated into the administration panel, replacing the existing
    `sw-text-editor` component.
2.  **Configuration:** Default configurations will be established to provide a good out-of-the-box experience while
    allowing for further customization.
3.  **Migration:** A plan for migrating existing content from the old editor format to the new editor format will be
    developed and executed. This may involve data transformations to ensure content integrity and proper rendering.
4.  **Testing:** Comprehensive testing will be conducted across various browsers and devices to ensure full
    functionality and address any potential regressions.
5.  **Documentation:** Internal documentation will be updated to reflect the change in editor technology and usage
    guidelines for developers.

This decision marks a significant step towards improving the user experience and maintainability of the administration
panel.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
The default salutation for unspecified cases will be set to ""not_specified"" in Shopware 6. This ensures that a salutation is always provided, even when the customer or administrator has not explicitly specified one.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
