rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.55,0.128,0.208,0.01,0.119,0.898,0.832,0.864
0.351,0.195,0.251,0,0.124,0.844,0.811,0.827
0.286,0.288,0.287,0,0.157,0.835,0.817,0.826
0.58,0.187,0.283,0,0.104,0.884,0.818,0.85
0.71,0.066,0.121,0,0.045,0.854,0.772,0.811
0.216,0.518,0.304,0,0.234,0.82,0.821,0.821
0.652,0.337,0.444,0.092,0.296,0.873,0.858,0.865
0.383,0.175,0.24,0,0.075,0.796,0.819,0.807
0.346,0.436,0.386,0.023,0.226,0.834,0.833,0.833
0.231,0.857,0.364,0,0.419,0.866,0.929,0.896
0.208,0.469,0.288,0,0.239,0.83,0.855,0.842
0.588,0.102,0.174,0,0.093,0.881,0.813,0.846
0.619,0.411,0.494,0.13,0.323,0.902,0.887,0.895
0.452,0.45,0.451,0,0.228,0.843,0.819,0.831
0.464,0.223,0.301,0,0.136,0.862,0.84,0.851
0.378,0.305,0.338,0,0.14,0.845,0.837,0.841
0.197,0.357,0.254,0,0.231,0.841,0.861,0.851
0.682,0.227,0.341,0,0.214,0.919,0.867,0.892
0.491,0.553,0.52,0.064,0.278,0.819,0.857,0.838
0.474,0.257,0.333,0,0.141,0.803,0.832,0.817
0.446,0.356,0.396,0,0.172,0.841,0.804,0.822
0.543,0.455,0.495,0,0.296,0.872,0.861,0.866
0.495,0.208,0.293,0,0.102,0.858,0.82,0.838
0.451,0.396,0.422,0.067,0.208,0.807,0.841,0.824
0.266,0.376,0.312,0,0.203,0.778,0.833,0.805
0.495,0.131,0.207,0,0.083,0.869,0.784,0.825
0.294,0.542,0.381,0,0.245,0.699,0.836,0.761
0.438,0.372,0.402,0,0.19,0.847,0.846,0.846
0.5,0.042,0.078,0,0.037,0.873,0.727,0.793
0.789,0.089,0.16,0,0.06,0.902,0.783,0.838
0.181,0.538,0.271,0,0.246,0.797,0.873,0.833
0.585,0.222,0.322,0.029,0.16,0.89,0.859,0.875
0.325,0.671,0.438,0.046,0.254,0.833,0.885,0.858
0.513,0.234,0.322,0.033,0.139,0.845,0.835,0.84
0.508,0.337,0.405,0.029,0.168,0.85,0.86,0.855
0.554,0.343,0.424,0,0.182,0.869,0.874,0.872
0.377,0.228,0.284,0,0.129,0.853,0.829,0.841
0.338,0.14,0.198,0.017,0.097,0.833,0.833,0.833
0.568,0.137,0.221,0,0.065,0.89,0.81,0.848
0.489,0.379,0.427,0.069,0.202,0.844,0.837,0.84
0.306,0.089,0.138,0,0.062,0.841,0.801,0.821
0.423,0.193,0.265,0,0.119,0.838,0.816,0.827
1,0.034,0.066,0,0.032,0.903,0.796,0.846
0.413,0.079,0.132,0,0.052,0.807,0.8,0.803
0.45,0.092,0.152,0,0.06,0.836,0.808,0.821
0.225,0.146,0.177,0,0.094,0.763,0.829,0.795
0.362,0.335,0.348,0,0.175,0.838,0.829,0.833
0.514,0.336,0.406,0,0.177,0.849,0.815,0.831
0.259,0.161,0.199,0,0.09,0.815,0.804,0.81
0.348,0.533,0.421,0,0.276,0.834,0.869,0.851
0.528,0.295,0.378,0,0.143,0.822,0.819,0.821
0.523,0.296,0.378,0.045,0.148,0.867,0.857,0.862
0.475,0.24,0.319,0,0.094,0.819,0.815,0.817
0.551,0.203,0.297,0,0.115,0.852,0.828,0.84
0.393,0.523,0.448,0,0.244,0.845,0.854,0.849
0.28,0.301,0.29,0,0.182,0.832,0.831,0.831
0.107,0.725,0.187,0.019,0.319,0.797,0.882,0.837
0.394,0.504,0.442,0,0.262,0.83,0.869,0.849
0.333,0.3,0.316,0,0.216,0.864,0.848,0.856
0.837,0.171,0.283,0,0.102,0.877,0.833,0.855
0.154,0.6,0.245,0,0.229,0.824,0.868,0.845
0.567,0.26,0.356,0.011,0.116,0.823,0.821,0.822
0.444,0.286,0.348,0.025,0.151,0.792,0.833,0.812
0.473,0.061,0.109,0,0.018,0.724,0.787,0.754
0.319,0.25,0.28,0,0.143,0.85,0.866,0.858
0.486,0.14,0.217,0,0.08,0.829,0.799,0.814
0.147,0.286,0.194,0,0.133,0.81,0.798,0.804
0.254,0.598,0.357,0,0.285,0.811,0.868,0.839
0.479,0.162,0.243,0,0.08,0.839,0.817,0.828
0.532,0.194,0.284,0,0.11,0.861,0.826,0.843
0.373,0.32,0.344,0,0.179,0.843,0.845,0.844
0.382,0.492,0.43,0.04,0.249,0.836,0.844,0.84
