rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.22,0.329,0.05,0.208,0.914,0.837,0.874
0.473,0.143,0.219,0.005,0.085,0.85,0.792,0.82
0.464,0.196,0.276,0,0.11,0.829,0.809,0.819
0.432,0.248,0.315,0.032,0.136,0.881,0.845,0.862
0.774,0.235,0.361,0,0.152,0.896,0.837,0.865
0.227,0.495,0.312,0,0.232,0.82,0.818,0.819
0.717,0.317,0.44,0.033,0.151,0.897,0.873,0.885
0.376,0.146,0.21,0,0.059,0.806,0.818,0.812
0.197,0.614,0.298,0,0.247,0.828,0.834,0.831
0.638,0.399,0.491,0.049,0.207,0.89,0.855,0.872
0.486,0.414,0.447,0,0.241,0.859,0.858,0.858
0.706,0.075,0.136,0,0.06,0.88,0.811,0.844
0.683,0.137,0.229,0,0.064,0.847,0.821,0.834
0.232,0.62,0.337,0.018,0.272,0.829,0.859,0.844
0.505,0.104,0.173,0,0.061,0.87,0.811,0.84
0.474,0.413,0.441,0,0.201,0.847,0.84,0.843
0.329,0.245,0.281,0,0.176,0.846,0.86,0.853
0.727,0.047,0.088,0,0.045,0.893,0.692,0.78
0.288,0.594,0.388,0.045,0.314,0.794,0.86,0.826
0.414,0.318,0.36,0,0.192,0.779,0.842,0.809
0.554,0.258,0.352,0,0.148,0.84,0.792,0.816
0.522,0.129,0.207,0,0.074,0.851,0.791,0.82
0.602,0.149,0.239,0,0.097,0.864,0.814,0.838
0.522,0.461,0.49,0.099,0.231,0.82,0.855,0.837
0.186,0.329,0.238,0,0.228,0.796,0.843,0.819
0.376,0.178,0.242,0,0.129,0.858,0.814,0.835
0.57,0.167,0.258,0,0.077,0.809,0.817,0.813
0.209,0.451,0.286,0,0.204,0.839,0.878,0.858
0.5,0.105,0.174,0,0.081,0.888,0.843,0.865
0.842,0.068,0.125,0,0.044,0.897,0.771,0.829
0.114,0.512,0.186,0.04,0.282,0.783,0.871,0.825
0.78,0.083,0.151,0,0.064,0.884,0.783,0.83
0.362,0.578,0.445,0.105,0.295,0.849,0.886,0.867
0.661,0.298,0.411,0.044,0.16,0.868,0.842,0.854
0.648,0.171,0.271,0,0.095,0.844,0.835,0.839
0.492,0.234,0.317,0,0.115,0.859,0.838,0.848
0.392,0.252,0.307,0,0.124,0.862,0.832,0.847
0.397,0.115,0.178,0,0.084,0.836,0.818,0.827
0.25,0.149,0.186,0,0.053,0.879,0.808,0.842
0.44,0.46,0.45,0.045,0.231,0.837,0.835,0.836
1,0.261,0.414,0.065,0.268,0.949,0.844,0.893
0.488,0.248,0.329,0,0.137,0.843,0.82,0.832
0.889,0.216,0.348,0.03,0.23,0.955,0.863,0.907
0.477,0.148,0.226,0,0.065,0.813,0.797,0.805
0.5,0.136,0.214,0,0.069,0.837,0.819,0.828
0.225,0.162,0.189,0,0.108,0.754,0.821,0.786
0.227,0.689,0.341,0,0.286,0.808,0.859,0.833
0.599,0.198,0.298,0,0.099,0.828,0.81,0.819
0.009,0.5,0.018,0,0.137,0.771,0.818,0.793
0.214,0.548,0.308,0,0.279,0.836,0.869,0.852
0.375,0.378,0.376,0,0.193,0.813,0.847,0.83
0.318,0.273,0.294,0.041,0.143,0.805,0.845,0.824
0.362,0.303,0.33,0,0.125,0.809,0.834,0.822
0.347,0.378,0.362,0,0.206,0.853,0.871,0.862
0.361,0.535,0.431,0.036,0.251,0.841,0.855,0.848
0.427,0.339,0.378,0,0.201,0.838,0.831,0.835
0.316,0.727,0.44,0.027,0.306,0.849,0.875,0.862
0.156,0.61,0.249,0,0.285,0.797,0.864,0.829
0.457,0.199,0.277,0.017,0.11,0.84,0.812,0.826
0.488,0.362,0.416,0,0.145,0.868,0.878,0.873
0.136,0.604,0.221,0,0.28,0.831,0.869,0.849
0.382,0.253,0.304,0.02,0.13,0.809,0.817,0.813
0.528,0.182,0.27,0,0.087,0.796,0.773,0.784
0.2,0.25,0.222,0,0.147,0.735,0.805,0.769
0.383,0.085,0.139,0,0.06,0.84,0.805,0.822
