rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.7,0.035,0.066,0,0.028,0.889,0.783,0.833
0.541,0.134,0.215,0.005,0.069,0.86,0.787,0.822
0.45,0.179,0.256,0.007,0.098,0.831,0.786,0.808
0.531,0.164,0.251,0,0.101,0.876,0.817,0.845
0.871,0.06,0.112,0,0.034,0.862,0.742,0.798
0.217,0.432,0.289,0,0.208,0.82,0.816,0.818
0.804,0.236,0.365,0.013,0.151,0.891,0.851,0.87
0.518,0.157,0.241,0.004,0.089,0.838,0.845,0.841
0.462,0.464,0.463,0.052,0.227,0.845,0.839,0.842
0.654,0.294,0.406,0.024,0.149,0.877,0.812,0.843
0.458,0.22,0.297,0,0.133,0.851,0.819,0.835
0.765,0.055,0.103,0,0.031,0.887,0.801,0.842
0.651,0.108,0.185,0,0.065,0.857,0.823,0.84
0.436,0.436,0.436,0.035,0.25,0.848,0.819,0.833
0.649,0.125,0.209,0.001,0.071,0.871,0.801,0.835
0.533,0.247,0.338,0,0.13,0.839,0.772,0.804
0.408,0.2,0.268,0,0.13,0.851,0.83,0.841
0.909,0.062,0.116,0,0.049,0.897,0.744,0.813
0.667,0.367,0.473,0.017,0.179,0.836,0.844,0.84
0.595,0.159,0.251,0,0.09,0.792,0.806,0.799
0.427,0.338,0.378,0,0.18,0.845,0.821,0.833
0.696,0.147,0.243,0,0.071,0.854,0.806,0.829
0.68,0.188,0.294,0,0.101,0.867,0.806,0.836
0.549,0.363,0.437,0.082,0.209,0.831,0.841,0.836
0.318,0.339,0.328,0,0.168,0.81,0.826,0.818
0.475,0.121,0.192,0,0.072,0.856,0.779,0.816
0.453,0.455,0.454,0.051,0.21,0.802,0.825,0.813
0.431,0.365,0.395,0,0.181,0.85,0.843,0.847
0.625,0.037,0.069,0,0.021,0.87,0.784,0.825
0.789,0.047,0.088,0,0.023,0.893,0.775,0.83
0.528,0.33,0.406,0,0.198,0.846,0.835,0.841
0.683,0.088,0.156,0,0.065,0.885,0.77,0.823
0.479,0.506,0.492,0.046,0.218,0.837,0.862,0.849
0.587,0.368,0.452,0.068,0.187,0.886,0.85,0.867
0.5,0.279,0.359,0,0.128,0.846,0.824,0.835
0.615,0.25,0.356,0.022,0.19,0.887,0.846,0.866
0.423,0.15,0.222,0,0.085,0.859,0.807,0.832
0.529,0.125,0.202,0.004,0.07,0.844,0.808,0.826
0.614,0.101,0.173,0,0.041,0.886,0.739,0.806
0.538,0.368,0.437,0.035,0.221,0.85,0.833,0.842
0.611,0.056,0.102,0,0.041,0.843,0.772,0.806
0.553,0.218,0.313,0.012,0.126,0.831,0.809,0.82
0.889,0.037,0.072,0,0.044,0.917,0.791,0.849
0.495,0.15,0.231,0,0.064,0.816,0.774,0.795
0.417,0.124,0.191,0,0.072,0.843,0.823,0.833
