rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.7,0.135,0.226,0.004,0.095,0.917,0.837,0.876
0.405,0.169,0.239,0,0.099,0.86,0.819,0.839
0.514,0.222,0.31,0.012,0.129,0.835,0.804,0.819
0.605,0.151,0.242,0,0.097,0.878,0.794,0.834
0.742,0.084,0.151,0,0.052,0.865,0.767,0.813
0.167,0.508,0.251,0,0.229,0.823,0.821,0.822
0.717,0.199,0.311,0.004,0.122,0.87,0.835,0.852
0.397,0.224,0.286,0,0.107,0.787,0.819,0.802
0.232,0.597,0.335,0.026,0.249,0.827,0.845,0.836
0.508,0.493,0.5,0.056,0.228,0.872,0.865,0.868
0.361,0.323,0.341,0,0.192,0.852,0.841,0.846
0.706,0.086,0.153,0,0.06,0.89,0.821,0.854
0.571,0.24,0.338,0,0.144,0.843,0.851,0.847
0.466,0.499,0.482,0,0.251,0.849,0.844,0.846
0.526,0.223,0.313,0,0.138,0.876,0.83,0.852
0.496,0.313,0.384,0,0.168,0.839,0.834,0.836
0.355,0.2,0.256,0,0.119,0.847,0.84,0.843
0.773,0.081,0.147,0,0.065,0.902,0.814,0.856
0.46,0.585,0.515,0,0.28,0.819,0.86,0.839
0.466,0.303,0.367,0,0.178,0.782,0.837,0.808
0.474,0.374,0.418,0,0.193,0.856,0.816,0.836
0.609,0.19,0.29,0,0.102,0.855,0.805,0.829
0.67,0.24,0.353,0,0.145,0.884,0.842,0.862
0.308,0.507,0.383,0.058,0.286,0.764,0.86,0.809
0.241,0.371,0.292,0,0.176,0.828,0.843,0.835
0.515,0.141,0.222,0,0.088,0.859,0.798,0.827
0.389,0.585,0.467,0.033,0.265,0.73,0.835,0.779
0.392,0.441,0.415,0,0.263,0.846,0.87,0.858
0.438,0.072,0.124,0,0.076,0.883,0.827,0.854
0.789,0.089,0.16,0,0.058,0.92,0.803,0.858
0.373,0.341,0.356,0,0.22,0.817,0.835,0.826
0.732,0.12,0.206,0.001,0.084,0.891,0.798,0.842
0.325,0.609,0.424,0,0.306,0.82,0.876,0.847
0.497,0.322,0.391,0,0.155,0.864,0.842,0.853
0.492,0.377,0.427,0,0.178,0.847,0.857,0.852
0.554,0.237,0.332,0,0.139,0.887,0.833,0.859
0.331,0.5,0.398,0,0.288,0.859,0.862,0.861
0.382,0.193,0.256,0.029,0.147,0.831,0.842,0.836
0.614,0.148,0.238,0,0.082,0.873,0.805,0.838
0.436,0.483,0.458,0.053,0.252,0.842,0.84,0.841
0.361,0.081,0.132,0,0.055,0.837,0.796,0.816
0.528,0.227,0.318,0,0.135,0.835,0.817,0.826
0.889,0.053,0.1,0,0.053,0.92,0.811,0.862
0.33,0.252,0.286,0,0.125,0.819,0.84,0.829
0.45,0.101,0.165,0,0.063,0.842,0.806,0.824
0.569,0.188,0.282,0.013,0.126,0.865,0.846,0.856
0.389,0.426,0.407,0,0.209,0.844,0.853,0.848
0.559,0.368,0.444,0.023,0.171,0.837,0.827,0.832
0.116,0.144,0.129,0,0.07,0.804,0.815,0.81
0.556,0.443,0.493,0,0.216,0.858,0.847,0.852
0.583,0.29,0.387,0,0.141,0.839,0.832,0.835
0.439,0.349,0.389,0.034,0.184,0.826,0.854,0.84
0.384,0.332,0.356,0,0.142,0.813,0.834,0.823
0.673,0.113,0.194,0,0.061,0.84,0.802,0.82
0.47,0.503,0.486,0,0.25,0.847,0.846,0.847
0.455,0.245,0.319,0,0.143,0.842,0.774,0.807
0.304,0.724,0.429,0.028,0.389,0.828,0.874,0.85
0.35,0.475,0.403,0,0.25,0.836,0.866,0.851
0.531,0.183,0.272,0.013,0.112,0.832,0.833,0.832
0.791,0.217,0.34,0,0.111,0.878,0.817,0.847
0.355,0.551,0.432,0,0.266,0.859,0.872,0.865
0.326,0.299,0.312,0,0.155,0.799,0.827,0.813
0.398,0.287,0.333,0.022,0.139,0.785,0.842,0.813
0.455,0.108,0.175,0,0.058,0.827,0.792,0.809
0.468,0.151,0.228,0,0.094,0.843,0.83,0.836
0.286,0.357,0.317,0,0.208,0.832,0.873,0.852
0.337,0.205,0.255,0,0.107,0.814,0.821,0.818
0.388,0.487,0.432,0,0.242,0.824,0.852,0.837
0.347,0.273,0.305,0,0.162,0.83,0.842,0.836
0.481,0.221,0.303,0,0.108,0.855,0.833,0.844
0.302,0.392,0.341,0,0.217,0.817,0.834,0.825
0.299,0.583,0.396,0.074,0.331,0.834,0.873,0.853
0.446,0.105,0.171,0,0.064,0.809,0.81,0.809
0.396,0.18,0.248,0,0.1,0.823,0.744,0.782
0.5,0.101,0.168,0,0.037,0.813,0.797,0.805
0.31,0.326,0.318,0,0.211,0.841,0.852,0.846
0.621,0.216,0.32,0,0.096,0.868,0.834,0.851
