rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.181,0.283,0.015,0.174,0.918,0.849,0.883
0.378,0.23,0.286,0.047,0.136,0.863,0.838,0.85
0.371,0.338,0.354,0.026,0.169,0.831,0.833,0.832
0.617,0.203,0.306,0.01,0.128,0.884,0.83,0.856
0.645,0.143,0.234,0,0.091,0.875,0.822,0.848
0.108,0.694,0.187,0,0.229,0.799,0.841,0.82
0.717,0.485,0.579,0.131,0.336,0.894,0.903,0.899
0.213,0.395,0.276,0,0.212,0.767,0.856,0.809
0.144,0.864,0.247,0.023,0.316,0.809,0.876,0.841
0.231,0.769,0.355,0.05,0.343,0.866,0.894,0.88
0.333,0.527,0.409,0,0.331,0.851,0.866,0.858
0.529,0.31,0.391,0,0.28,0.907,0.872,0.889
0.587,0.287,0.385,0,0.164,0.844,0.859,0.852
0.226,0.654,0.336,0.034,0.311,0.83,0.875,0.852
0.474,0.357,0.407,0.044,0.239,0.88,0.843,0.861
0.37,0.5,0.426,0,0.281,0.841,0.867,0.854
0.355,0.237,0.284,0,0.147,0.848,0.853,0.85
0.5,0.087,0.149,0,0.077,0.889,0.739,0.807
0.2,0.633,0.304,0,0.25,0.796,0.873,0.833
0.362,0.365,0.364,0,0.215,0.778,0.849,0.812
0.347,0.597,0.439,0,0.287,0.846,0.845,0.845
0.402,0.474,0.435,0,0.251,0.864,0.858,0.861
0.65,0.392,0.489,0.064,0.224,0.89,0.862,0.876
0.228,0.63,0.334,0.059,0.314,0.787,0.889,0.835
0.201,0.433,0.274,0,0.197,0.795,0.849,0.821
0.327,0.282,0.303,0,0.166,0.867,0.83,0.849
0.306,0.638,0.413,0.039,0.345,0.746,0.842,0.791
0.353,0.316,0.333,0,0.218,0.851,0.803,0.826
0.5,0.091,0.154,0,0.09,0.878,0.832,0.854
0.737,0.112,0.195,0,0.07,0.888,0.805,0.844
0.15,0.547,0.236,0,0.267,0.791,0.867,0.827
0.683,0.133,0.223,0,0.09,0.89,0.791,0.837
0.233,0.603,0.336,0,0.272,0.82,0.871,0.845
0.503,0.519,0.511,0.092,0.285,0.883,0.872,0.878
0.5,0.383,0.434,0,0.161,0.85,0.863,0.856
0.646,0.344,0.449,0.04,0.193,0.886,0.848,0.867
0.223,0.392,0.284,0,0.232,0.85,0.86,0.855
0.368,0.266,0.309,0.042,0.176,0.842,0.857,0.849
0.545,0.253,0.345,0,0.128,0.896,0.854,0.875
0.444,0.441,0.442,0.034,0.264,0.843,0.837,0.84
1,0.261,0.414,0.065,0.268,0.949,0.844,0.893
0.472,0.365,0.411,0,0.2,0.835,0.833,0.834
0.778,0.14,0.237,0.008,0.162,0.943,0.858,0.899
0.339,0.27,0.301,0,0.101,0.821,0.769,0.794
0.283,0.279,0.281,0,0.173,0.84,0.866,0.853
0.186,0.176,0.181,0,0.099,0.749,0.848,0.796
0.254,0.627,0.362,0,0.267,0.815,0.865,0.839
0.482,0.401,0.438,0.022,0.209,0.837,0.837,0.837
0.036,0.364,0.065,0,0.138,0.792,0.855,0.823
0.38,0.555,0.451,0,0.259,0.853,0.856,0.854
0.354,0.468,0.403,0,0.217,0.816,0.847,0.831
0.265,0.449,0.333,0.068,0.304,0.809,0.873,0.84
0.215,0.427,0.286,0,0.169,0.807,0.846,0.826
0.429,0.259,0.323,0,0.154,0.853,0.849,0.851
0.346,0.587,0.435,0.022,0.3,0.848,0.855,0.852
0.189,0.409,0.258,0,0.218,0.823,0.846,0.834
0.18,0.667,0.283,0.035,0.309,0.817,0.871,0.843
0.269,0.581,0.368,0,0.272,0.833,0.875,0.854
