rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.6,0.141,0.229,0.016,0.132,0.92,0.854,0.886
0.338,0.174,0.229,0.0,0.111,0.855,0.828,0.841
0.393,0.312,0.348,0.0,0.16,0.833,0.837,0.835
0.469,0.245,0.322,0.0,0.155,0.885,0.849,0.867
0.548,0.133,0.214,0.0,0.082,0.875,0.837,0.855
0.106,0.51,0.175,0.0,0.204,0.737,0.817,0.775
0.652,0.265,0.377,0.031,0.17,0.865,0.853,0.859
0.227,0.252,0.239,0.0,0.119,0.723,0.83,0.773
0.121,0.527,0.197,0.0,0.195,0.794,0.853,0.822
0.346,0.652,0.452,0.043,0.3,0.883,0.908,0.895
0.326,0.297,0.311,0.0,0.181,0.842,0.841,0.842
0.588,0.057,0.104,0.0,0.036,0.889,0.815,0.851
0.54,0.214,0.306,0.0,0.097,0.833,0.856,0.844
0.232,0.586,0.332,0.0,0.246,0.832,0.859,0.845
0.464,0.209,0.288,0.0,0.128,0.867,0.823,0.844
0.363,0.371,0.367,0.0,0.173,0.848,0.854,0.851
0.329,0.325,0.327,0.0,0.177,0.851,0.874,0.862
0.773,0.163,0.27,0.009,0.166,0.93,0.866,0.897
0.274,0.578,0.371,0.0,0.299,0.796,0.867,0.83
0.25,0.33,0.284,0.0,0.164,0.76,0.839,0.797
0.418,0.406,0.412,0.051,0.229,0.844,0.83,0.837
0.446,0.273,0.339,0.0,0.16,0.851,0.837,0.843
0.573,0.262,0.36,0.016,0.118,0.857,0.835,0.845
0.259,0.446,0.328,0.026,0.202,0.754,0.853,0.8
0.175,0.397,0.243,0.0,0.18,0.771,0.843,0.805
0.416,0.202,0.272,0.0,0.125,0.866,0.821,0.843
0.313,0.464,0.374,0.0,0.214,0.736,0.824,0.777
0.418,0.52,0.464,0.057,0.282,0.848,0.876,0.862
0.438,0.06,0.106,0.0,0.046,0.873,0.808,0.839
0.737,0.156,0.258,0.007,0.118,0.923,0.823,0.871
0.238,0.541,0.331,0.0,0.277,0.786,0.87,0.826
