rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.093,0.163,0.0,0.093,0.905,0.834,0.868
0.284,0.149,0.195,0.019,0.095,0.852,0.831,0.842
0.357,0.403,0.379,0.0,0.189,0.826,0.85,0.838
0.358,0.181,0.241,0.0,0.118,0.876,0.837,0.856
0.774,0.153,0.255,0.0,0.09,0.883,0.83,0.855
0.125,0.521,0.201,0.0,0.208,0.806,0.823,0.815
0.739,0.217,0.335,0.006,0.127,0.871,0.841,0.856
0.277,0.247,0.261,0.0,0.108,0.721,0.831,0.772
0.212,0.472,0.293,0.018,0.232,0.8,0.837,0.818
0.323,0.583,0.416,0.047,0.287,0.876,0.903,0.889
0.34,0.358,0.349,0.0,0.199,0.849,0.841,0.845
0.647,0.071,0.129,0.0,0.057,0.891,0.821,0.855
0.524,0.26,0.347,0.0,0.117,0.85,0.855,0.852
0.226,0.532,0.317,0.016,0.246,0.834,0.852,0.843
0.485,0.244,0.324,0.0,0.139,0.862,0.834,0.848
0.444,0.361,0.399,0.0,0.183,0.849,0.848,0.848
0.395,0.273,0.323,0.0,0.185,0.844,0.851,0.847
0.682,0.121,0.205,0.003,0.124,0.91,0.829,0.867
0.302,0.528,0.384,0.0,0.247,0.789,0.853,0.82
0.345,0.305,0.324,0.0,0.149,0.781,0.841,0.81
0.315,0.438,0.366,0.0,0.218,0.845,0.845,0.845
0.348,0.283,0.312,0.0,0.161,0.856,0.857,0.856
0.534,0.252,0.343,0.0,0.126,0.866,0.844,0.855
0.335,0.452,0.385,0.037,0.217,0.758,0.851,0.802
0.212,0.392,0.275,0.0,0.235,0.777,0.839,0.807
0.406,0.191,0.259,0.0,0.092,0.863,0.83,0.846
0.272,0.474,0.345,0.0,0.257,0.736,0.821,0.776
0.412,0.447,0.429,0.075,0.273,0.847,0.86,0.854
0.375,0.068,0.115,0.0,0.073,0.88,0.837,0.858
0.605,0.131,0.215,0.004,0.102,0.908,0.824,0.864
0.358,0.527,0.426,0.0,0.242,0.798,0.86,0.828
0.707,0.182,0.29,0.008,0.111,0.905,0.848,0.876
0.239,0.609,0.344,0.0,0.301,0.809,0.877,0.841
0.354,0.45,0.396,0.055,0.243,0.805,0.858,0.831
0.43,0.399,0.414,0.045,0.204,0.844,0.868,0.855
0.523,0.243,0.332,0.0,0.143,0.887,0.848,0.867
0.308,0.296,0.302,0.0,0.184,0.849,0.846,0.848
0.324,0.186,0.237,0.043,0.146,0.826,0.842,0.834
0.614,0.142,0.231,0.0,0.059,0.891,0.814,0.851
0.436,0.439,0.437,0.048,0.272,0.836,0.838,0.837
0.278,0.093,0.14,0.0,0.067,0.846,0.821,0.833
0.382,0.254,0.305,0.0,0.134,0.83,0.837,0.834
1.0,0.059,0.111,0.0,0.055,0.926,0.81,0.864
0.266,0.232,0.248,0.0,0.132,0.818,0.852,0.835
0.417,0.207,0.276,0.0,0.093,0.842,0.842,0.842
0.186,0.162,0.174,0.0,0.119,0.747,0.843,0.792
0.362,0.406,0.383,0.0,0.173,0.82,0.846,0.833
0.419,0.431,0.425,0.0,0.211,0.836,0.833,0.834
0.143,0.32,0.198,0.0,0.177,0.803,0.849,0.825
0.449,0.488,0.468,0.0,0.239,0.843,0.856,0.85
0.375,0.307,0.337,0.0,0.156,0.809,0.834,0.822
0.409,0.362,0.384,0.0,0.145,0.817,0.857,0.836
0.322,0.329,0.326,0.0,0.146,0.778,0.837,0.806
0.612,0.229,0.333,0.0,0.12,0.844,0.835,0.839
0.293,0.497,0.369,0.0,0.247,0.79,0.837,0.813
0.399,0.324,0.357,0.0,0.194,0.84,0.839,0.839
0.212,0.603,0.313,0.032,0.257,0.823,0.865,0.843
0.356,0.479,0.409,0.0,0.23,0.844,0.869,0.856
0.432,0.259,0.324,0.023,0.119,0.8,0.843,0.821
0.651,0.237,0.348,0.0,0.102,0.878,0.865,0.872
0.285,0.424,0.341,0.0,0.219,0.809,0.834,0.822
0.219,0.287,0.248,0.031,0.156,0.79,0.822,0.805
0.426,0.346,0.382,0.045,0.165,0.773,0.846,0.808
0.2,0.111,0.143,0.0,0.078,0.69,0.803,0.742
0.34,0.151,0.209,0.0,0.11,0.842,0.844,0.843
0.286,0.136,0.184,0.0,0.103,0.846,0.841,0.844
0.305,0.259,0.28,0.0,0.134,0.786,0.825,0.805
0.271,0.374,0.314,0.0,0.197,0.811,0.841,0.826
0.314,0.325,0.319,0.0,0.182,0.828,0.856,0.842
0.557,0.172,0.263,0.0,0.107,0.853,0.82,0.836
0.278,0.297,0.287,0.0,0.178,0.834,0.838,0.836
0.299,0.599,0.399,0.03,0.29,0.83,0.868,0.848
0.431,0.189,0.263,0.0,0.112,0.801,0.827,0.814
0.313,0.311,0.312,0.0,0.174,0.833,0.827,0.83
0.46,0.204,0.282,0.0,0.074,0.818,0.829,0.823
0.29,0.345,0.315,0.0,0.201,0.844,0.851,0.847
0.439,0.21,0.284,0.0,0.119,0.838,0.826,0.832
0.323,0.582,0.415,0.0,0.249,0.81,0.865,0.837
0.22,0.5,0.306,0.029,0.268,0.829,0.854,0.841
0.239,0.264,0.251,0.0,0.144,0.819,0.827,0.823
0.317,0.252,0.281,0.0,0.152,0.84,0.835,0.838
0.375,0.3,0.333,0.0,0.164,0.805,0.834,0.819
0.443,0.325,0.375,0.0,0.193,0.848,0.851,0.849
0.413,0.305,0.351,0.0,0.183,0.854,0.853,0.853
0.351,0.116,0.175,0.0,0.091,0.858,0.828,0.843
0.42,0.252,0.315,0.0,0.132,0.837,0.827,0.832
0.287,0.361,0.32,0.067,0.222,0.812,0.829,0.82
0.462,0.214,0.293,0.0,0.112,0.854,0.824,0.838
0.502,0.461,0.481,0.0,0.255,0.834,0.846,0.84
0.528,0.123,0.199,0.0,0.085,0.888,0.81,0.847
0.293,0.359,0.323,0.0,0.192,0.839,0.853,0.846
0.251,0.432,0.317,0.0,0.187,0.799,0.85,0.824
0.506,0.203,0.29,0.0,0.104,0.848,0.829,0.838
0.516,0.121,0.196,0.0,0.064,0.867,0.811,0.838
0.249,0.578,0.348,0.018,0.238,0.789,0.853,0.82
0.324,0.293,0.308,0.0,0.188,0.838,0.856,0.847
0.427,0.304,0.355,0.0,0.148,0.867,0.859,0.863
0.425,0.288,0.343,0.0,0.156,0.847,0.863,0.855
0.096,0.62,0.167,0.0,0.188,0.776,0.844,0.808
0.172,0.672,0.274,0.0,0.269,0.824,0.854,0.839
