rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.55,0.145,0.229,0.021,0.146,0.918,0.858,0.887
0.311,0.242,0.272,0.0,0.16,0.855,0.84,0.847
0.286,0.339,0.31,0.0,0.174,0.824,0.829,0.827
0.481,0.3,0.37,0.0,0.169,0.888,0.856,0.871
0.677,0.157,0.255,0.0,0.086,0.873,0.827,0.85
0.09,0.562,0.155,0.0,0.188,0.762,0.823,0.792
0.804,0.301,0.438,0.023,0.188,0.873,0.859,0.866
0.255,0.277,0.266,0.0,0.113,0.76,0.83,0.794
0.096,0.613,0.166,0.0,0.189,0.794,0.849,0.821
0.269,0.761,0.398,0.064,0.382,0.873,0.902,0.887
0.368,0.331,0.349,0.0,0.189,0.849,0.845,0.847
0.706,0.072,0.13,0.0,0.06,0.888,0.81,0.847
0.587,0.201,0.3,0.0,0.094,0.85,0.832,0.841
0.185,0.548,0.277,0.0,0.232,0.828,0.86,0.844
0.33,0.296,0.312,0.0,0.18,0.858,0.841,0.849
0.311,0.483,0.378,0.0,0.223,0.841,0.851,0.846
0.25,0.292,0.27,0.0,0.172,0.846,0.861,0.854
0.682,0.146,0.24,0.009,0.143,0.922,0.842,0.88
0.235,0.568,0.333,0.0,0.275,0.791,0.86,0.824
0.371,0.321,0.344,0.0,0.195,0.79,0.844,0.816
0.31,0.377,0.34,0.0,0.19,0.85,0.835,0.842
0.293,0.3,0.297,0.0,0.154,0.855,0.848,0.851
0.553,0.305,0.393,0.0,0.156,0.871,0.858,0.865
0.134,0.612,0.22,0.044,0.296,0.758,0.877,0.813
0.197,0.458,0.276,0.0,0.23,0.773,0.842,0.806
0.257,0.248,0.252,0.0,0.145,0.86,0.843,0.851
0.343,0.433,0.383,0.043,0.208,0.778,0.824,0.801
0.32,0.533,0.4,0.062,0.314,0.846,0.877,0.861
0.312,0.078,0.125,0.0,0.089,0.882,0.843,0.862
0.553,0.167,0.256,0.012,0.119,0.9,0.833,0.865
0.135,0.565,0.218,0.0,0.278,0.792,0.875,0.831
0.634,0.241,0.349,0.0,0.164,0.899,0.849,0.873
0.221,0.45,0.296,0.0,0.201,0.822,0.865,0.843
0.312,0.437,0.364,0.069,0.241,0.812,0.864,0.837
0.469,0.414,0.44,0.0,0.181,0.843,0.865,0.854
0.431,0.283,0.341,0.0,0.203,0.884,0.863,0.873
0.223,0.403,0.287,0.0,0.225,0.849,0.868,0.859
0.265,0.191,0.222,0.0,0.119,0.831,0.841,0.836
0.568,0.187,0.281,0.0,0.092,0.899,0.845,0.871
0.329,0.493,0.395,0.051,0.266,0.833,0.844,0.839
1.0,0.252,0.402,0.057,0.253,0.95,0.842,0.893
0.398,0.398,0.398,0.0,0.191,0.841,0.851,0.846
0.889,0.093,0.168,0.0,0.092,0.93,0.84,0.882
0.284,0.233,0.256,0.0,0.12,0.819,0.844,0.831
0.25,0.441,0.319,0.0,0.178,0.838,0.857,0.848
0.167,0.177,0.172,0.0,0.127,0.751,0.843,0.794
0.357,0.475,0.407,0.0,0.198,0.825,0.849,0.837
0.365,0.391,0.378,0.026,0.193,0.835,0.841,0.838
0.045,0.217,0.074,0.0,0.107,0.79,0.844,0.816
0.321,0.488,0.387,0.022,0.212,0.853,0.874,0.864
0.361,0.423,0.39,0.0,0.201,0.811,0.844,0.827
0.318,0.433,0.367,0.0,0.205,0.808,0.868,0.837
0.203,0.419,0.274,0.0,0.169,0.797,0.848,0.822
0.469,0.404,0.434,0.0,0.241,0.848,0.86,0.854
0.302,0.53,0.385,0.0,0.238,0.81,0.844,0.827
0.301,0.35,0.323,0.0,0.187,0.832,0.837,0.834
0.212,0.603,0.313,0.0,0.294,0.821,0.867,0.843
0.275,0.677,0.391,0.0,0.276,0.827,0.879,0.852
0.37,0.429,0.397,0.0,0.237,0.815,0.865,0.84
0.465,0.29,0.357,0.0,0.165,0.868,0.861,0.864
0.178,0.422,0.25,0.0,0.204,0.804,0.824,0.814
0.152,0.3,0.201,0.0,0.146,0.787,0.826,0.806
0.278,0.323,0.299,0.0,0.136,0.772,0.836,0.803
0.2,0.169,0.183,0.0,0.131,0.72,0.823,0.768
0.362,0.193,0.252,0.0,0.118,0.846,0.852,0.849
0.3,0.212,0.249,0.0,0.154,0.843,0.823,0.833
0.463,0.254,0.328,0.0,0.118,0.814,0.825,0.819
0.287,0.486,0.361,0.0,0.276,0.826,0.853,0.839
0.289,0.278,0.283,0.0,0.172,0.823,0.847,0.835
0.506,0.231,0.317,0.0,0.144,0.859,0.83,0.844
0.222,0.289,0.251,0.0,0.163,0.819,0.824,0.822
0.178,0.72,0.285,0.019,0.306,0.808,0.869,0.838
0.231,0.231,0.231,0.0,0.149,0.806,0.831,0.818
0.321,0.285,0.302,0.0,0.157,0.829,0.826,0.828
0.38,0.284,0.325,0.0,0.184,0.823,0.861,0.842
0.18,0.353,0.238,0.0,0.203,0.838,0.853,0.845
0.364,0.182,0.242,0.0,0.106,0.832,0.835,0.834
0.269,0.556,0.362,0.0,0.243,0.815,0.859,0.836
0.22,0.585,0.32,0.0,0.264,0.83,0.866,0.848
0.248,0.335,0.285,0.0,0.162,0.817,0.832,0.824
0.415,0.23,0.296,0.0,0.131,0.839,0.822,0.83
0.298,0.242,0.267,0.0,0.133,0.801,0.824,0.812
0.217,0.347,0.267,0.0,0.172,0.84,0.855,0.848
0.385,0.374,0.379,0.0,0.209,0.855,0.854,0.855
0.404,0.258,0.315,0.0,0.168,0.871,0.852,0.862
0.391,0.267,0.318,0.0,0.141,0.838,0.838,0.838
0.221,0.333,0.265,0.0,0.175,0.804,0.837,0.82
0.398,0.247,0.305,0.0,0.127,0.851,0.822,0.836
0.399,0.44,0.419,0.0,0.198,0.826,0.84,0.833
0.528,0.174,0.262,0.0,0.123,0.891,0.851,0.871
0.138,0.304,0.19,0.0,0.153,0.827,0.841,0.834
0.226,0.538,0.318,0.0,0.263,0.799,0.853,0.825
0.429,0.149,0.221,0.0,0.076,0.845,0.819,0.832
0.452,0.133,0.206,0.0,0.084,0.868,0.835,0.851
0.204,0.529,0.294,0.0,0.222,0.79,0.853,0.82
0.305,0.368,0.333,0.0,0.225,0.833,0.853,0.843
0.396,0.204,0.27,0.0,0.099,0.853,0.837,0.845
0.275,0.367,0.314,0.0,0.227,0.839,0.857,0.848
0.087,0.583,0.151,0.0,0.171,0.786,0.837,0.811
0.183,0.658,0.286,0.0,0.276,0.834,0.849,0.841
