context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision

We will implement native lazy loading for images in the Storefront using the `loading` attribute provided by modern browsers. This approach will allow us to leverage the browser's built-in support for lazy loading without relying on third-party extensions like ""lazysizes"". 

**Reasons for the decision:**
1. **Browser Support:** Native lazy loading is now widely supported across most modern browsers, as confirmed by resources like caniuse.com.
2. **Performance Improvement:** Lazy loading will improve the user experience by reducing page load time and decreasing unnecessary network requests for images that are not immediately visible.
3. **Simplicity:** Using the native `loading=""lazy""` attribute simplifies the implementation process by removing dependencies on external libraries, which also minimizes maintenance overhead.
4. **Future-proof:** Native lazy loading aligns with web standards and is likely to receive continued browser support and enhancements.

Implementation tasks will include:
- Updating the relevant image tags in the Storefront templates to include the `loading=""lazy""` attribute.
- Testing across supported browsers to ensure functionality and fallback behavior.
- Measuring performance improvements and validating against defined performance goals. 

If any compatibility issues arise in specific use cases or browsers that do not support the feature, fallback mechanisms can be evaluated and implemented as needed.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision

We will set the default value of the `autoload` parameter for `OneToOneAssociationField` and `ManyToOneAssociationField` associations to `false`. This ensures that associations are not automatically loaded unless explicitly required by the application logic.

### Rationale:

1. **Performance Optimization**:
   - Prevent unnecessary SQL joins, reducing query complexity and execution time.
   - Avoid hydrating and processing unused data within the application, improving overall performance.

2. **API Efficiency**:
   - Reduces the size of API payloads by excluding unused associated data.

3. **Explicit Data Loading**:
   - Developers will have finer control over which associations are loaded by specifying them explicitly when necessary. This makes the data retrieval process more intentional and aligned with the application's requirements.

4. **Backward Compatibility**:
   - While the change in default behavior might require adjustments for some legacy implementations, the improvement in performance and efficiency justifies the decision.
   - Clear documentation and migration guidelines will be provided to ensure developers can easily update their codebases if needed.

By adopting this approach, we aim to strike a balance between flexibility for developers and maximizing performance for the application.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision

Implement a tagging and indexing system for ADRs along with a chronological ordering mechanism.

1. **Tagging System**:
   - Assign tags/labels to each ADR (e.g., ""Database"", ""Frontend"", ""Security"", etc.).
   - Tags will allow users to easily filter and locate ADRs related to specific topics or areas.

2. **Index Page**:
   - Create a central ADR index file that lists all ADRs.
   - The index will include the ADR number, title, tags, and date of creation.
   - The list will be presented in reverse chronological order by default so users can easily find and read the latest ADRs.

3. **Search Optimization**:
   - Provide a search functionality that allows users to search ADRs based on keywords or tags.
   - Resolve duplicate matches by including context (like folder/area) alongside titles in the search results.

4. **Git Blame Alternative**:
   - For users looking for the latest ADRs, the index file solves the primary challenge as the reverse chronological list provides the newest ADRs without requiring shell/IDE usage.

5. **Alternative Folder Structure**:
   - Keep the existing area-based folder structure for easy case 3 usage but augment it with the central index and tagging to support cases 1 and 2 effectively.

This multi-pronged approach balances the current folder structure benefits while ensuring an easier and more user-friendly system for locating and reading ADRs based on different needs.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision

Given the challenges and limitations identified with the tested approach utilizing native Vue tools and the Composition API, we will **continue using the current plugin extension system based on the Component Factory** while integrating selective improvements to address some of its drawbacks without fully transitioning to the proposed architecture. Specifically, this decision includes:

1. **Incremental Improvements to the Current System**:
   - Explore ways to compile Vue components at build time instead of runtime where feasible, to improve performance and simplify the workflow.
   - Investigate mechanisms to enhance the developer experience, such as providing better tooling for static analysis, template linting, and debugging within the constraints of the existing system.

2. **Avoiding Non-Update-Safe Use of Vue Internals**:
   - Reevaluate the reliance on internal Vue logic for extensibility as proposed in the new approach since it risks breaking with every Vue update. Instead, stick to public APIs and documented methods to ensure compatibility and maintainability.

3. **Hybrid Approach for Component Extensibility**:
   - Retain the flexibility of the current Component Factory system for plugin developers to extend and customize components but experiment with integrating smaller, native Vue 3 components where the performance and static analysis gains outweigh the development overhead.

4. **Revisit the Architecture in the Future**:
   - Postpone a complete overhaul of the plugin extension system until future Vue releases or significant enhancements in tooling allow for a more seamless transition to native Vue-based extensions without introducing excessive complexity or risks.

This hybrid, incremental approach aims to address known issues with the current system while avoiding the critical feasibility challenges revealed during testing with the new Vue 3-based approach.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision

Adopt a workflow where changelogs and upgrade information are written as individual files associated with each feature, fix, or improvement. This approach decouples the changelog from version numbering and avoids centralized editing of a single changelog file, thus minimizing merge conflicts.

---

### Rationale:
1. **Avoid Merge Conflicts**: By creating individual changelog files for each change, developers work in isolation without causing changes to a centralized file. Merge conflicts in a single file are eliminated.
   
2. **Decoupling from Fixed Version Number**: Each changelog file can be created at the time of development or pull request creation and later aggregated into a release changelog, reducing uncertainty around version numbers.

3. **Synchronize with Ticket States**: Changelog files can include metadata (e.g., Jira ticket number), ensuring clear linkage between changes in the codebase and the state of issues in the task management system.

4. **Trunk-Based Development Friendly**: Fits well with trunk-based development practice, as developers can commit individual changelog files immediately after implementing a change on a feature branch or directly to the trunk.

---

### Implementation:

1. **Changelog Directory Structure**: Create a dedicated folder (e.g., `changelog/unreleased/`) in the repository where developers add individual markdown files for each changelog entry.

2. **File Naming Convention**: Use a consistent naming scheme such as `<ticket-id>_<brief-description>.md` to easily identify files.

3. **Release Aggregator Tool**: Develop or adopt a script/tool (e.g., Python, Node.js) to automatically compile individual changelog files into a single release-level changelog at the point of creating a new release.

4. **Metadata Templates**: Provide a simple markdown template for developers to follow, containing fields like:
   - Description of the change
   - Issue/Ticket ID
   - Contributor name(optional)
   - Any breaking changes or upgrade notes
   
5. **Process Updates**: Update development guidelines to include the creation of changelog files as part of the pull request workflow.

---

### Consequences:
- Developers will need to adhere to the new workflow, which might require some initial training.
- The tool to aggregate changelog files should be maintained to ensure smooth integration with the release process.
- Changelogs will be clearer, easier to manage, and more aligned with trunk-based development practices.

This decision establishes a scalable and developer-friendly solution to the challenges posed by the current changelog process.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision

To address the issues related to outdated data and rules after a delay in `DelayAction`, we will implement a centralized mechanism that ensures data consistency and rule re-evaluation at the time the delayed action is executed. The solution comprises the following components:

### Key Decisions:
#### 1. Snapshot of Data at Delay Initiation
When an action is delayed, we will take a snapshot of the relevant data at the time of delay initiation. This snapshot will be stored in a secure and accessible location (e.g., a database or cache). 

- The snapshot allows the delayed action to always operate on the original data state even if updates occur during the delay.
- This strategy mitigates the risk of data inconsistencies due to changes during the delay period.

#### 2. Rule Re-Evaluation at Execution Time
Before executing a delayed action, the system will automatically re-evaluate the rules based on the most recent state of the system.

- At the time of execution, the rules associated with the delayed action will be fetched dynamically from the rule repository or rule engine.
- If the rule no longer exists (e.g., rules have been deleted or updated), the system will log this and gracefully skip the execution of the delayed action.

#### 3. Dependency Injection for Rules and Data
We will use dependency injection to load the latest rules and data dynamically into the delayed action execution workflow. By decoupling the rules and data from the original action, we enable flexibility and maintain robustness.

#### 4. Expiration Mechanism for Rules/Data
To ensure actions don’t operate on invalid or irrelevant rules/data:
- Each delay will be capped with a maximum expiration time.
- If the delay exceeds the expiration threshold, the system will invalidate the action and log an appropriate warning or error message.

#### 5. Optimized Event Handling
Events with outdated or updated data will include metadata to indicate the freshness of the event details. This metadata will aid in determining whether additional updates or reloading of the snapshot is needed prior to execution.

#### Summary:
- **Improve reliability:** Storing snapshots prevents old or inconsistent data issues.
- **Ensure adaptability:** Rules are dynamically retrieved/re-evaluated, allowing the system to adapt to changes over time.
- **Built-in safeguards:** Introduce expiration limits for delays to avoid processing invalid rules/data.

#### Timeline:
This decision will be implemented iteratively:
1. **Phase 1:** Snapshot implementation and dynamic rule fetching (2 sprints).
2. **Phase 2:** Metadata enhancements to events and expiration mechanism (1 sprint).","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision

The app system will be integrated directly into the Shopware platform as a core feature instead of remaining as a standalone plugin.

### Rationale:
1. **Stability and Reliability**: Integrating the app system into the core of Shopware sends a clear signal to partners, app manufacturers, and users that the system is stable and a critical part of the platform's architecture.
2. **Streamlined Workflow**: Aligning the app system with the Shopware 6 release cycle and upgrade process ensures that partners and app manufacturers can build and maintain apps with confidence in platform compatibility.
3. **Improved User Experience**: Users will no longer need to install an additional plugin to access the app system, simplifying onboarding and reducing the likelihood of errors or incompatibilities.
4. **Consistency Across Environments**: A core integration ensures a consistent extension mechanism for both cloud and on-prem environments without added complexity.

This decision reinforces the maturity and importance of the app system in the Shopware ecosystem while aligning its lifecycle with the rest of the platform for greater adoption and usability.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision

### Adopt a Unified FlowStorer Interface with Configurable Rules

### Rationale:
To simplify the interaction with `FlowStorer` implementations and reduce boilerplate code when adding new storers or bypassing certain events, we will consolidate the various existing interfaces into a single unified `FlowStorer` interface. This will allow for standardized behavior and enable configurable rules to determine whether event data should be stored or skipped.

### Key Points:

1. **Unified Interface:** Replace individual storer interfaces with one generic base interface, e.g., `FlowStorer<T>`. This interface will define core methods for storing scalar values and optionally restoring them.

2. **Configurable Rules:** Introduce a mechanism, such as predicates or configuration-based policies, to manage whether specific events should be stored. Plugins can override these rules without directly modifying the storer implementation.

3. **Reduced Boilerplate:** By consolidating logic into the unified interface and centralizing configuration options, there will be less repetition across different storer implementations, making it easier to add new storers.

4. **Future Scalability:** The unified interface and rule-based approach will provide a consistent foundation for future extensions, supporting both scalar and complex data storage requirements.

---

### Implementation Plan:

1. **Interface Design:** Develop a `FlowStorer` interface with core methods like:
    - `store(EventData data)`
    - `restore(String key)` (optional, for storers with restore logic)
    - `shouldStore(EventData data)` 

2. **Policy Framework:** Introduce a pluggable policy framework where rules for storage can be defined and configured (e.g., via dependency injection or config files).

3. **Migration:** Refactor existing `FlowStorer` implementations to use the unified interface. Verify compatibility by writing tests that ensure storers maintain their existing functionality.

4. **Plugin Integration:** Provide a clear API or extension point for plugins to customize `shouldStore` logic or storage behavior.

This approach eliminates redundancy, improves maintainability, and enhances the flexibility of `FlowStorer` implementations both for developers and plugin users.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision

We will replace the current `sw-text-editor` in the administration with a new text editor by integrating a widely-used, stable, and well-supported library, such as [TinyMCE](https://www.tiny.cloud/) or [Quill](https://quilljs.com/). Both libraries are open-source and offer excellent maintainability, extensibility, and a rich set of features for WYSIWYG text editing.

---

### Rationale:
1. **Ease of Maintenance**: Transitioning to a widely used and actively supported library reduces the technical debt and effort required for maintenance.
2. **Feature Set**: Libraries such as TinyMCE and Quill come with existing, robust WYSIWYG features that address common needs without requiring custom development.
3. **Extensibility**: Both libraries provide an API for customization and extension, allowing developers to integrate additional features as necessary.
4. **Stability**: Using a proven, community-supported library minimizes the risk of bugs or unexpected behavior, improving reliability for end-users.
5. **Documentation and Community**: These libraries are backed by strong communities and comprehensive documentation, ensuring that future developers can easily understand and work with the system.

---

### Implementation Steps:
1. Evaluate and select the best library based on:
   - Fit for the feature requirements.
   - Active development and community support.
   - Performance in the current administration system's environment.
2. Replace the existing `sw-text-editor` with the chosen library.
3. Perform integration testing to ensure stability and compatibility with existing workflows.
4. Provide documentation for future developers on using and extending the new text editor. 

---

### Consequences:
- **Positive**:
  - Reduced maintenance overhead.
  - Improved user experience with a stable and feature-rich editor.
  - Easier to introduce new functionality in the future.
- **Negative**:
  - Initial learning curve for developers unfamiliar with the chosen library.
  - Migration effort to replace the old editor with the new solution.

This approach addresses the immediate issues with the current `sw-text-editor` while providing a scalable solution for future needs.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
We have decided to implement ""not_specified"" as the default salutation in Shopware 6 for cases where no salutation is provided by the customer or administrator. This change ensures inclusivity and consistency in the handling of unspecified salutations throughout the platform. The system will now default to ""not_specified"" when a salutation is missing, avoiding assumptions about gender or titles, and aligning with modern inclusive practices.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
