rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.064,0.117,0.0,0.066,0.908,0.809,0.855
0.392,0.17,0.237,0.012,0.106,0.846,0.811,0.828
0.393,0.252,0.307,0.0,0.132,0.829,0.819,0.824
0.481,0.146,0.224,0.0,0.08,0.877,0.817,0.846
0.806,0.067,0.124,0.0,0.04,0.874,0.782,0.826
0.186,0.46,0.265,0.011,0.2,0.763,0.801,0.781
0.674,0.178,0.282,0.005,0.092,0.863,0.831,0.846
0.369,0.176,0.238,0.0,0.084,0.804,0.809,0.806
0.331,0.434,0.375,0.018,0.199,0.829,0.825,0.827
0.346,0.672,0.457,0.072,0.365,0.883,0.914,0.898
0.41,0.292,0.341,0.0,0.174,0.837,0.829,0.833
0.706,0.043,0.082,0.0,0.037,0.883,0.803,0.841
0.825,0.211,0.337,0.01,0.142,0.9,0.846,0.872
0.422,0.413,0.418,0.026,0.224,0.838,0.83,0.834
0.402,0.167,0.236,0.0,0.108,0.856,0.818,0.837
0.504,0.245,0.33,0.0,0.125,0.845,0.729,0.782
0.316,0.273,0.293,0.0,0.164,0.846,0.854,0.85
0.545,0.286,0.375,0.099,0.292,0.93,0.895,0.912
0.379,0.434,0.404,0.0,0.213,0.807,0.841,0.824
0.466,0.238,0.315,0.0,0.128,0.792,0.825,0.808
0.498,0.286,0.364,0.0,0.158,0.851,0.813,0.832
0.359,0.297,0.325,0.0,0.168,0.85,0.854,0.852
0.67,0.129,0.217,0.0,0.075,0.867,0.824,0.845
0.152,0.576,0.24,0.024,0.232,0.738,0.877,0.801
0.372,0.314,0.341,0.0,0.155,0.817,0.817,0.817
0.515,0.115,0.188,0.0,0.067,0.864,0.806,0.834
0.343,0.529,0.416,0.022,0.24,0.704,0.833,0.763
0.51,0.335,0.404,0.0,0.194,0.847,0.831,0.839
0.438,0.062,0.109,0.0,0.058,0.885,0.832,0.858
0.816,0.072,0.133,0.0,0.052,0.885,0.787,0.833
0.472,0.427,0.448,0.0,0.194,0.807,0.84,0.823
0.61,0.207,0.309,0.0,0.153,0.9,0.865,0.882
0.196,0.542,0.288,0.068,0.239,0.812,0.88,0.845
0.28,0.477,0.353,0.053,0.237,0.793,0.858,0.824
0.602,0.238,0.341,0.0,0.121,0.854,0.837,0.846
0.585,0.241,0.341,0.021,0.122,0.877,0.838,0.857
0.523,0.261,0.348,0.0,0.152,0.867,0.83,0.848
0.368,0.108,0.167,0.0,0.073,0.829,0.812,0.821
0.682,0.074,0.133,0.0,0.032,0.862,0.796,0.828
0.44,0.334,0.38,0.032,0.179,0.837,0.832,0.834
0.528,0.072,0.127,0.0,0.035,0.84,0.786,0.812
0.472,0.207,0.288,0.0,0.104,0.836,0.815,0.825
1.0,0.084,0.155,0.0,0.079,0.945,0.832,0.885
0.404,0.183,0.251,0.0,0.091,0.818,0.819,0.818
0.45,0.115,0.184,0.0,0.056,0.837,0.812,0.824
0.324,0.08,0.128,0.0,0.044,0.763,0.806,0.784
0.514,0.304,0.382,0.024,0.171,0.852,0.843,0.847
0.586,0.319,0.413,0.018,0.164,0.84,0.821,0.83
