context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision  
We will implement native lazy loading for images and thumbnails inside the Storefront by using the `loading=""lazy""` attribute.  

This approach is based on the following considerations:  
1. Native lazy loading support is now widely available in modern browsers, as verified through compatibility checks such as ""Can I Use.""  
2. Relying on native lazy loading avoids the need for integrating third-party libraries like ""lazysizes,"" simplifying implementation and reducing dependencies.  
3. Native lazy loading is more performant in terms of resource usage since it is built into the browser, allowing it to optimize based on its internals.  

### Implementation steps:  
1. Update the image and thumbnail rendering logic in the Storefront to include the `loading=""lazy""` attribute for all non-critical images.
2. Exclude specific images (e.g., above-the-fold hero images) that should load immediately for a better user experience. These should explicitly use `loading=""eager""`.  
3. Ensure appropriate fallback behavior for older browsers that do not support native lazy loading, though their usage is diminishing.  
4. Test the feature in various browsers and under different network conditions to validate performance improvements and identify any edge cases.  

This decision ensures modern and efficient image handling while maintaining simplicity and leveraging built-in browser features.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision 
The `autoload` parameter of `OneToOneAssociationField` and `ManyToOneAssociationField` will be deprecated and default behavior will be changed to `autoload = false`. 

Specifically:
1. All future uses of these association fields will require explicit queries to load referenced data, eliminating unnecessary automatic data loading.
2. Developers will have to explicitly specify and control the data that needs to be loaded, improving application and database performance.
3. Existing codebases relying on `autoload = true` will need to be migrated to explicitly fetch associated data where necessary.
4. This decision will reduce unintended joins, unnecessary data hydration, and overly large API payloads, addressing the performance bottleneck.

This change ensures greater control over data access and encourages developers to optimize associations properly rather than relying on implicit data loading.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision  
We will enhance the organization of ADRs by introducing a supplementary index file in the root ADR directory. This index file will address the challenges posed by the current folder-based organization and improve the usability for different search scenarios. The index will operate as follows:

1. **Chronological Order**: The index file will list all ADRs in reverse chronological order (most recent first), allowing users to easily browse and read the latest ADRs without navigating the folder structure or relying on Git history.

2. **Headlines & Links**: Each entry in the index will include the ADR headline and a link to the corresponding file. This will make it easy to locate a specific ADR by its title or topic.

3. **Tags**: To improve discoverability for case 3 (searching by area), the index will include tags or categories alongside each ADR that indicate the area it belongs to (e.g., ""Database"", ""Security"", ""Infrastructure""). This will make it easier to cross-reference ADRs across different folders.

4. **Automated Updates**: To ensure the index remains up-to-date, we will script an automated process (or a Git pre-commit hook) that updates the index file whenever a new ADR is added or an existing one is modified. Developers will not need to manually maintain the index.

5. **Searchable Format**: The index will be stored in a simple markdown format or another easily searchable, readable format, ensuring compatibility with any text editor and web-based viewers like GitHub.

By adding this index file, we aim to retain the benefits of the existing folder structure for case 3 while significantly improving readability, usability, and discoverability for cases 1 and 2.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision 
We will discontinue the evaluation and development of the proposed Vue 3-based plugin extension system that relies on native Vue tools. Instead, we will retain and improve the current Component Factory-based plugin system.

### Rationale:
1. **Addressing Vue Compiler Limitations**: The proposed approach faced significant challenges due to Vue's compiler optimizations, which made it difficult to merge and manipulate data in a way that aligns with our extensibility goals for plugin developers.
   
2. **Stability Concerns**: The need to rely on internal, non-public Vue logic to overcome these challenges poses a high risk of fragility. Any updates to Vue could break the proposed implementation, compromising long-term maintainability.

3. **Developer Experience**: While the proposed system provided better static analysis and performance on paper, the complexity and unpredictability of its implementation would negatively impact developer experience, especially for plugin developers who need consistent and reliable extensibility mechanisms.

4. **Performance and Compatibility**: Transitioning to the new system without ensuring complete and reliable data accessibility for plugins diminishes the value of the extensibility and could hamper performance gains expected from adopting native Vue tooling.

### Next Steps:
- Retain the current Component Factory-based system but actively address its limitations:
  - Explore opportunities for partial pre-compilation to improve performance.
  - Investigate integrating Vue tools carefully within the existing factory-based approach to gain some benefits of linting, static analysis, and modern Vue features without a complete paradigm shift.
  - Optimize the runtime performance issues associated with Twig.JS template compilation.
  
- Reevaluate and iterate on the use of Vue 3 for future extensibility solutions, but only after addressing the identified challenges and ensuring compatibility, stability, and extensibility.

This decision prioritizes stability, extensibility, and developer experience while mitigating the risks and challenges posed by the proposed approach.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision  
We will adopt a ""changelog entry per change"" approach to improve compatibility with trunk-based development and eliminate merge conflicts. 

### Implementation:
1. Each technical change that requires a changelog entry will be accompanied by a new changelog file. This file will be:
   - Created as part of the branch or pull request containing the change.
   - Placed in a dedicated `changelog/` directory within the repository.
   - Named using a unique identifier, such as the Jira issue number or commit hash, to avoid naming collisions (e.g., `changelog/JIRA-1234.md`).

2. Each changelog file will:
   - Contain the necessary details about the change, including the description, affected areas, upgrade instructions if applicable, and any breaking changes.
   - Omit assigning a specific release version, as the version will be determined during the actual release process.

3. When a release is being prepared:
   - All changelog entries in the `changelog/` directory will be consolidated into the unified changelog for the release.
   - A script will assist with automating this process, ensuring entries are formatted and grouped consistently.

4. Benefits of this approach:
   - **Merge conflicts are avoided** because each change has its own individual changelog file.
   - **Uncertainty about release versions is reduced**, as the version assignment occurs during release preparation rather than during development.
   - **Alignment between Jira and code is ensured**, as the changelog entry creation becomes a part of completing the development and review process.

This process will provide clearer organization, streamline trunk-based development, and maintain an accurate release history with minimal friction for contributors.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision  
We will implement a mechanism to capture and store the relevant state of data and rules at the moment the delay is initialized to ensure consistent execution after the delay.

### Approach:
1. **Data Snapshot for Event Context**:  
   - When the action is delayed, take a snapshot of the data associated with the event context at that specific moment.  
   - Store this snapshot alongside the delayed action in an immutable store to ensure it remains unchanged during the delay period.  
   - The snapshot will be used to restore the exact state of the data when the delayed action is executed.

2. **Rule Evaluation State**:  
   - Capture the rules associated with the delayed action at the moment the delay is applied (e.g., their configuration or definitions).  
   - Store these rules as part of the delayed action metadata. If rules are dynamically sourced or updated during execution, ensure the rules associated with the snapshot are stored in a retrievable form (e.g., a versioned rules registry).  
   - Upon execution of the delayed action, re-evaluate the rules utilizing the captured rules and restored data snapshot.

3. **Fallback Mechanism for Missing or Changed Rules**:  
   - If the originally associated rules no longer exist when the action is executed, log a warning or error indicating the discrepancy.  
   - Optionally allow configuration to define fallback handling (e.g., skipping rule evaluation or applying default behavior).

### Benefits:  
- This approach ensures that delayed actions execute with the same context and rules as originally intended, maintaining consistency and correctness.  
- By storing discrete snapshots of data and rules, we avoid reliance on mutable or runtime-driven states that may change unpredictably during the delay period.  
- The immutable store ensures transparency in the processing of delayed actions and simplifies debugging.  

### Trade-offs:
- This decision introduces additional storage and processing overhead for capturing and maintaining snapshots of data and rules.  
- Dependency on the availability of a reliable storage system for snapshots and rule versions.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
The app system will be integrated directly into the Shopware platform as a first-class citizen, moving it out of its current status as a standalone plugin. 

### Rationale:
- By integrating the app system into the core platform, we signal to our partners and developers that it has reached a level of maturity and stability they can rely upon for long-term development.
- Integration with the Shopware 6 release cycle ensures that app manufacturers benefit from platform upgrades in a predictable and structured manner without having to manage a separate plugin lifecycle.
- Users will no longer need to install and configure an additional plugin to leverage apps, reducing barriers to entry and improving overall user experience.
- This approach aligns with the vision of providing a seamless and consistent experience across both cloud and on-prem environments, as apps are supported natively in the platform.

The migration process will ensure backward compatibility to allow existing app users to transition smoothly without interruptions. Following this integration, further improvements and adjustments to the app system will adhere to the regular platform development and release workflow.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision  
We will refactor the `FlowStorer` implementations to consolidate their functionality into a single, generic interface for scalar value storage and restoration logic. This unified interface will reduce boilerplate code and streamline the process of adding new storer implementations or bypassing certain events for plugins.

Key changes:  
1. Introduce a single generic `FlowStorer` interface with clearly defined methods for storing and restoring data.  
2. Decouple the identification logic for whether event data should be stored from individual storer classes by creating a shared, reusable mechanism for event filtering or bypass.  
3. Refactor all existing `FlowStorer` implementations to conform to the unified interface, ensuring consistent behavior across all storers.  
4. Reduce redundancy by reusing common logic in shared components or utility classes.  

By consolidating the logic, we make it easier for developers to extend functionality and enable plugins to interact with the storer system seamlessly. This decision aligns with reducing complexity, improving transparency, and encouraging modularity within the system.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision  
We will replace the current sw-text-editor in the administration with a third-party text editor library that meets the following criteria:  
1. **Easy to Maintain**: The chosen library should have clear documentation, an active development community, and a modular architecture to simplify debugging and updates.  
2. **Feature Set**: The editor should provide robust WYSIWYG features, such as formatting, hyperlinking, image embedding, and list management, with stable behavior.  
3. **Flexibility**: The editor needs to be customizable and extensible, allowing us to add features unique to our administration interface if required.  
4. **Stability**: The editor should have a proven track record of reliability, reducing low-level bugs and edge case issues encountered in the current implementation.

After assessing the available libraries, we will integrate the chosen third-party editor into the administration system. The first steps will involve evaluating potential options, conducting trials, and collecting feedback from developers and users. This approach will enable us to deliver a robust and maintainable solution while mitigating the challenges of the existing sw-text-editor system.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision  
Update the default salutation within the Shopware 6 platform to ""not_specified"" for cases where the salutation is not provided by the customer or administrator. 

This decision promotes inclusivity by avoiding assumptions about gender or preferred titles and ensures a consistent approach to handling unspecified salutations across the platform. The change will be implemented in all relevant areas of the platform, including customer profiles, order details, and administrative interfaces.

Additionally:
1. The documentation will be updated to inform users and developers about the default ""not_specified"" salutation.
2. Any existing logic relying on presumed salutations will be reviewed and modified to account for the possibility of ""not_specified.""
3. Testing will be conducted to ensure that the change does not break existing functionality and complies with the inclusivity goal.
4. Communication will be made to stakeholders to explain the rationale for the change and its implications. 

By making ""not_specified"" the default, Shopware strengthens its commitment to inclusiveness and respects a diverse range of customer identities.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
