rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.7,0.068,0.124,0.0,0.052,0.898,0.806,0.849
0.243,0.146,0.183,0.0,0.079,0.852,0.836,0.844
0.507,0.258,0.342,0.023,0.151,0.835,0.825,0.83
0.568,0.158,0.247,0.0,0.082,0.873,0.812,0.841
0.71,0.089,0.158,0.0,0.054,0.864,0.79,0.826
0.155,0.497,0.237,0.009,0.203,0.812,0.816,0.814
0.761,0.192,0.307,0.004,0.128,0.867,0.835,0.851
0.298,0.266,0.281,0.0,0.12,0.772,0.83,0.8
0.22,0.5,0.305,0.0,0.201,0.815,0.838,0.826
0.515,0.401,0.451,0.0,0.218,0.88,0.871,0.876
0.382,0.244,0.298,0.0,0.14,0.845,0.826,0.835
0.706,0.058,0.107,0.0,0.043,0.881,0.798,0.837
0.746,0.163,0.268,0.003,0.109,0.886,0.835,0.859
0.411,0.439,0.425,0.0,0.218,0.843,0.838,0.84
0.474,0.178,0.258,0.0,0.099,0.87,0.818,0.843
0.511,0.247,0.333,0.0,0.117,0.845,0.819,0.832
0.434,0.182,0.257,0.0,0.11,0.847,0.838,0.842
0.682,0.109,0.187,0.001,0.093,0.906,0.816,0.859
0.425,0.531,0.472,0.0,0.245,0.808,0.854,0.83
0.483,0.217,0.299,0.0,0.129,0.798,0.825,0.812
0.549,0.302,0.39,0.0,0.172,0.859,0.824,0.841
0.511,0.218,0.305,0.0,0.131,0.851,0.818,0.834
0.65,0.182,0.284,0.004,0.089,0.875,0.826,0.85
0.321,0.453,0.376,0.057,0.223,0.791,0.848,0.819
0.339,0.325,0.332,0.0,0.166,0.815,0.821,0.818
0.436,0.137,0.208,0.0,0.082,0.87,0.813,0.84
0.37,0.395,0.382,0.0,0.187,0.791,0.814,0.803
0.569,0.314,0.405,0.0,0.168,0.843,0.837,0.84
0.5,0.041,0.077,0.0,0.038,0.871,0.799,0.834
0.737,0.082,0.148,0.0,0.05,0.897,0.783,0.836
0.389,0.481,0.43,0.0,0.243,0.799,0.85,0.824
0.829,0.11,0.194,0.0,0.068,0.892,0.812,0.85
0.319,0.477,0.382,0.0,0.18,0.838,0.869,0.853
0.423,0.314,0.36,0.075,0.199,0.813,0.839,0.826
0.586,0.315,0.41,0.025,0.174,0.86,0.854,0.857
0.523,0.256,0.343,0.03,0.175,0.884,0.83,0.856
0.423,0.248,0.312,0.0,0.131,0.864,0.821,0.842
0.382,0.149,0.215,0.012,0.121,0.836,0.824,0.83
0.614,0.112,0.189,0.0,0.048,0.882,0.804,0.842
0.516,0.451,0.481,0.066,0.262,0.847,0.841,0.844
0.5,0.102,0.169,0.0,0.064,0.85,0.814,0.832
0.496,0.23,0.314,0.0,0.122,0.842,0.827,0.834
0.889,0.027,0.052,0.0,0.028,0.891,0.766,0.824
0.422,0.125,0.193,0.0,0.064,0.815,0.809,0.812
0.483,0.161,0.242,0.0,0.085,0.845,0.83,0.837
0.304,0.128,0.18,0.0,0.062,0.757,0.815,0.785
0.476,0.379,0.422,0.0,0.171,0.848,0.849,0.848
0.59,0.291,0.39,0.014,0.148,0.839,0.815,0.827
0.062,0.2,0.095,0.0,0.106,0.8,0.852,0.825
0.583,0.259,0.359,0.0,0.13,0.845,0.822,0.834
0.604,0.243,0.347,0.0,0.105,0.824,0.825,0.825
0.538,0.269,0.359,0.018,0.125,0.834,0.839,0.836
0.452,0.253,0.325,0.0,0.118,0.818,0.82,0.819
0.551,0.181,0.273,0.0,0.111,0.837,0.836,0.836
0.389,0.439,0.413,0.0,0.223,0.816,0.835,0.825
0.49,0.227,0.31,0.0,0.125,0.833,0.797,0.814
0.258,0.408,0.316,0.0,0.195,0.822,0.841,0.831
0.344,0.364,0.354,0.0,0.207,0.84,0.857,0.848
0.444,0.176,0.252,0.012,0.09,0.831,0.82,0.825
0.628,0.233,0.34,0.0,0.137,0.866,0.844,0.855
0.435,0.358,0.392,0.0,0.162,0.83,0.833,0.831
0.331,0.282,0.305,0.0,0.14,0.811,0.813,0.812
0.472,0.246,0.324,0.02,0.125,0.784,0.843,0.813
0.309,0.129,0.182,0.0,0.059,0.762,0.801,0.781
0.362,0.084,0.137,0.0,0.06,0.832,0.816,0.824
0.4,0.134,0.201,0.0,0.086,0.833,0.814,0.823
0.253,0.207,0.227,0.0,0.114,0.822,0.83,0.826
0.421,0.321,0.364,0.0,0.181,0.831,0.836,0.833
0.421,0.206,0.277,0.0,0.116,0.823,0.823,0.823
0.608,0.117,0.196,0.0,0.07,0.851,0.807,0.829
0.357,0.157,0.218,0.0,0.105,0.827,0.794,0.81
0.382,0.54,0.447,0.051,0.287,0.836,0.839,0.837
0.338,0.115,0.171,0.0,0.081,0.798,0.816,0.807
0.373,0.254,0.302,0.0,0.14,0.828,0.819,0.824
0.54,0.123,0.2,0.0,0.057,0.809,0.816,0.813
0.4,0.191,0.259,0.0,0.124,0.847,0.825,0.836
0.576,0.16,0.25,0.0,0.098,0.841,0.79,0.814
0.409,0.504,0.451,0.04,0.239,0.843,0.865,0.854
0.446,0.463,0.455,0.0,0.231,0.845,0.811,0.827
