context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision 
## Decision

* Implement native lazy loading for images in the Storefront by adding the `loading=""lazy""` attribute to img elements where appropriate.
* Utilize native browser support for lazy loading instead of relying on third-party libraries like ""lazysizes"" to reduce dependency on external code and improve performance.
* This will enable images to load only when they are near the viewport, decreasing initial page load time and improving perceived performance for users.
* For browsers that do not support native lazy loading, a fallback solution will not be implemented at this time, as modern browser support is sufficient and legacy support is deemed unnecessary for this use case.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision 
## Decision

To improve application performance and reduce unnecessary data transfer, the `autoload` parameter in the `OneToOneAssociationField` and `ManyToOneAssociationField` associations will be deprecated and eventually removed in a future version. 

Instead of relying on `autoload = true`, developers should explicitly load associations when needed using the DAL search criteria. This ensures only the required associations are loaded, avoiding unnecessary overhead during queries, hydration, and API payload processing.

By implementing this change:
- SQL queries will be more efficient as they won't include unnecessary joins.
- Application performance will improve due to reduced hydration and data processing workload.
- API payloads will be smaller and more efficient.

This change emphasizes better handling of associations by encouraging explicit usage, leading to cleaner, more performant applications. Documentation will be updated to guide developers on adapting their code and explicitly loading associations as needed.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision 
## Decision

We will implement a hybrid structure to address the different search approaches:

1. **Centralized Index File**  
   A central ADR index file will be created at the root directory for the project. This file will list all ADRs in chronological order (most recent first) with their respective titles and links to their location within the folder structure. This will address case 2 (reading the latest ADRs) and simplify navigation.

2. **Folder Structure by Areas**  
   The existing folder structure grouped by areas will remain in place. This structure will address case 3 (finding ADRs for a specific area) and provide focused access to ADRs.

3. **Search-friendly Metadata in ADR Files**  
   Each ADR file will include additional metadata fields at the top (e.g., tags, last updated timestamp, area, etc.). The metadata will allow users to search for ADRs easily using simple text search tools or future improvements, such as a search script.

This approach provides flexibility across all use cases without disrupting the existing workflow or creating unnecessary overhead. The `adr` tool may include optional subcommands or helpers in the future to facilitate access to this index or automate updates to it.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision 
## Decision
We will not pursue the new approach using native Vue components and the Composition API for our administration plugin extension system.

The main reasons for this decision are:

1. **Complexity of Data Merging**: The new approach faced significant challenges in merging component data because of Vue's compiler optimizations. These optimizations made passing and exposing all component data to the plugin developers challenging and unreliable.

2. **Reliance on Internal Vue Logic**: To fully realize the proposed system, we would need to use internal and potentially unsupported Vue logic to make data accessible in the desired way. This approach is not future-proof, as changes to Vue in future updates may easily break our implementation.

3. **Maintenance Risk**: Using internal Vue mechanics would create a high maintenance burden, making future updates to Vue much riskier and expensive to manage, potentially outweighing the benefits of the new system.

Given these drawbacks, we will continue using the current plugin extension system based on our Component Factory until a more suitable and feasible solution can be identified for extending Vue components. We acknowledge the current system's limitations but prioritize stability, update safety, and maintainability over the potential gains of the new approach. Additionally, we may continue exploring advancements in Vue or other alternatives to improve our extensibility model in the future.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision 
## Decision

We will adopt a new workflow for writing technical changelogs using individual changelog files for each change rather than a single file.

### Key points of the decision:
1. **Individual Changelog Files:**
   - Each pull request or change will include its own changelog file stored in a specific `changelogs` directory in the repository.
   - The file name should include a unique identifier (e.g., issue number, date, or meaningful descriptor) to avoid conflicts.

2. **Structure of Changelog Files:**
   - Files should follow a standardized format, e.g., category (`Added`, `Changed`, `Deprecated`, `Removed`, `Fixed`, or `Security`) along with a concise description of the change.

3. **Linking to Jira Issues:**
   - Developers will reference any relevant Jira ticket IDs or commit references in the changelog files to connect the development state with the issue state.

4. **Release Process:**
   - During the release process, individual changelog files will be aggregated into a release-specific changelog.

### Advantages:
- **Reduces Merge Conflicts:** Individual files eliminate the likelihood of conflicts in a single changelog file.
- **Improved Release Management:** Changes can be associated with the intended release version during aggregation, resolving version uncertainty beforehand.
- **Enhanced Traceability:** Clear links between changelog files, code changes, and Jira tasks ensure better tracking throughout the development lifecycle.
- **Maintains Flexibility:** The approach accommodates trunk-based development and branching workflows seamlessly.

### Next Steps:
- Define the format and directory structure for the individual changelog files.
- Communicate the new workflow to all developers along with examples and guidelines.
- Adjust the release process to include aggregation of individual changelog files.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision 
## Decision

To handle the challenges associated with the `DelayAction` in Flow Builder, the following decisions have been made:

1. **Persist Business Event Data at the Time of Execution:**
   - When a `DelayAction` is triggered, take a snapshot of the Business Event's data at that moment.
   - This snapshot will persist all necessary event data in a serialized form so that it can be restored later.

2. **Reconstruct Event Context Post-Delay:**
   - After the delay period is over, reconstruct the original event context using the persisted snapshot data, ensuring that the event uses the state it had when the action was initiated.

3. **Reload and Re-Evaluate Rules:**
   - Before executing the delayed action, reload the latest version of the rules to ensure they use the most up-to-date definitions.
   - Re-evaluate the rules against the reconstructed event context to validate their applicability at the time of execution.

4. **Handle Missing or Changed Rules Gracefully:**
   - If a rule no longer exists after the delay, log a warning and skip the execution of the action associated with that rule.
   - If a rule has changed, apply the latest version of the rule to maintain consistency with current logic.

5. **Design System for Flexibility and Extensibility:**
   - The serialization and deserialization of event data should be flexible to accommodate evolving event schemas without breaking existing functionality.
   - Logging mechanisms should track issues like missing rules, updated rule evaluations, or discrepancies between old and current data.

By implementing these strategies, the `DelayAction` will be reliable, ensuring actions are executed with the correct context while adapting to changes that might occur during the delay period.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
## Decision

The app system will be integrated directly into the Shopware platform instead of continuing as a standalone plugin. This integration will:

- Ensure consistency across cloud and on-premise environments for both partners and app manufacturers.  
- Signal to partners, developers, and manufacturers that the app system is stable and fully supported.
- Align the app system with the Shopware 6 release lifecycle, providing partners and users the benefits of structured upgrades and streamlined process management.
- Eliminate the need for users to install an additional plugin, simplifying the setup and improving the overall user experience.

The standalone app-system plugin will no longer be maintained or updated after integration. All future development and improvements for the app system will happen directly within the platform.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision 
## Decision

Refactor the `FlowStorer` implementation to use a unified and generic interface for storing scalar values. The new interface will reduce boilerplate code and simplify the process of adding new storer implementations or bypassing specific events.

### Key Changes:
1. **Unified Storer Interface**: Introduce a single `FlowStorer` interface across all storer implementations with methods for storing data and optional restore logic. This simplifies the architecture by reducing specialized, disparate interfaces.
   ```go
   type FlowStorer interface {
       Store(event Event, value interface{}) error
       Restore(event Event) (interface{}, error) // Optional for storers with restore requirements
   }
   ```

2. **Generic Functionality for Scalar Data**: Create a base implementation for handling common scalar storage needs. This base implementation can be extended or reused by all specific storer classes.
   ```go
   type ScalarFlowStorer struct {
       storage map[string]interface{}
   }

   func (s *ScalarFlowStorer) Store(event Event, value interface{}) error {
       key := event.GetUniqueID()
       s.storage[key] = value
       return nil
   }

   func (s *ScalarFlowStorer) Restore(event Event) (interface{}, error) { 
       key := event.GetUniqueID()
       value, exists := s.storage[key]
       if !exists {
           return nil, fmt.Errorf(""event data not found"")
       }
       return value, nil
   }
   ```

3. **Pluggable Extensions**: Allow plugins to easily extend or bypass events by using the standardized interface. This can be achieved by applying decorators or middleware wrappers over the unified `FlowStorer`.

4. **Minimal Event Storage Checks**: Replace custom checks in storers with one centralized logic for determining whether a specific event type should be stored. This avoids unnecessary duplication across individual storer implementations.
   ```go
   type EventFilterFunc func(event Event) bool

   type FilteredFlowStorer struct {
       Filter EventFilterFunc
       BaseStorer FlowStorer
   }

   func (fs *FilteredFlowStorer) Store(event Event, value interface{}) error {
       if fs.Filter(event) {
           return fs.BaseStorer.Store(event, value)
       }
       return nil
   }
   ```

### Benefits:
- **Streamlined Developer Experience**: Developers can focus on business logic instead of implementing redundant interfaces and boilerplate code.
- **Modular and Reusable**: New storers can readily adopt the standardized interface with minimal effort.
- **Extensibility**: Plugins and extensions can easily integrate into the storer lifecycle.
- **Reduced Code Complexity**: Centralizing scalar storage logic and event filtering eliminates duplication and enhances maintainability.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision 
## Decision

We will replace the current `sw-text-editor` with a new text editor built on [TipTap](https://tiptap.dev/). TipTap is a modern, highly customizable WYSIWYG editor based on ProseMirror. It has a good feature set, is actively maintained, and provides flexibility for extending its functionality, making it a suitable replacement that addresses the stability and maintainability issues of the current editor.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision 
## Decision

We have decided to set the default salutation to ""not_specified"" in Shopware 6 for cases when the salutation is not explicitly provided by the customer or administrator. 

This decision ensures inclusivity and accommodates customers who prefer not to disclose their salutation or for situations where it is not relevant. The implementation will:

1. Update the default salutation value within the system to ""not_specified"".
2. Ensure that ""not_specified"" is visible in relevant interfaces and APIs to highlight its presence as the default option.
3. Remain backward-compatible by not affecting user records that already have a salutation configured.
4. Allow administrators to override the default salutation if needed while ensuring the inclusivity principle remains intact.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
