rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.65,0.123,0.206,0.007,0.105,0.919,0.849,0.882
0.365,0.197,0.256,0.0,0.099,0.857,0.83,0.843
0.429,0.311,0.36,0.021,0.157,0.833,0.83,0.831
0.593,0.218,0.319,0.0,0.119,0.884,0.84,0.861
0.774,0.096,0.171,0.0,0.062,0.857,0.788,0.821
0.133,0.502,0.21,0.0,0.2,0.81,0.819,0.814
0.652,0.244,0.355,0.015,0.135,0.865,0.842,0.853
0.504,0.215,0.301,0.0,0.12,0.858,0.862,0.86
0.111,0.688,0.191,0.013,0.226,0.805,0.842,0.823
0.492,0.538,0.514,0.094,0.312,0.889,0.886,0.887
0.375,0.237,0.29,0.0,0.143,0.833,0.821,0.827
0.588,0.135,0.22,0.0,0.1,0.895,0.837,0.865
0.698,0.263,0.383,0.033,0.198,0.888,0.863,0.875
0.283,0.471,0.354,0.0,0.209,0.834,0.829,0.832
0.485,0.184,0.267,0.01,0.12,0.857,0.822,0.839
0.43,0.367,0.396,0.0,0.189,0.849,0.84,0.845
0.342,0.342,0.342,0.0,0.203,0.851,0.869,0.86
0.864,0.086,0.157,0.0,0.066,0.91,0.809,0.856
0.372,0.482,0.42,0.0,0.241,0.811,0.844,0.827
0.422,0.266,0.327,0.0,0.15,0.793,0.831,0.811
0.408,0.326,0.362,0.0,0.174,0.851,0.819,0.835
0.435,0.258,0.324,0.0,0.129,0.858,0.839,0.848
0.563,0.204,0.299,0.0,0.103,0.879,0.833,0.855
0.183,0.526,0.272,0.032,0.26,0.767,0.863,0.812
0.168,0.418,0.24,0.0,0.201,0.773,0.838,0.804
0.376,0.195,0.257,0.0,0.11,0.861,0.819,0.839
0.408,0.376,0.391,0.0,0.178,0.766,0.82,0.792
0.444,0.479,0.461,0.074,0.267,0.843,0.87,0.856
0.375,0.077,0.128,0.0,0.072,0.875,0.818,0.846
0.711,0.109,0.189,0.0,0.058,0.88,0.773,0.823
0.13,0.49,0.205,0.0,0.239,0.793,0.882,0.835
0.756,0.134,0.227,0.0,0.1,0.89,0.826,0.857
0.331,0.505,0.4,0.042,0.199,0.84,0.868,0.853
0.46,0.283,0.351,0.0,0.169,0.823,0.828,0.825
0.57,0.253,0.35,0.0,0.127,0.847,0.817,0.832
0.569,0.236,0.333,0.021,0.146,0.884,0.842,0.863
0.177,0.365,0.238,0.0,0.172,0.846,0.851,0.849
0.412,0.219,0.286,0.041,0.127,0.847,0.857,0.852
0.523,0.184,0.272,0.0,0.103,0.894,0.842,0.867
0.556,0.321,0.407,0.036,0.159,0.838,0.818,0.828
0.472,0.205,0.286,0.043,0.194,0.892,0.876,0.884
0.431,0.283,0.342,0.0,0.126,0.839,0.83,0.834
0.889,0.114,0.203,0.001,0.125,0.938,0.851,0.892
0.376,0.232,0.287,0.0,0.103,0.816,0.822,0.819
0.183,0.162,0.172,0.0,0.09,0.838,0.848,0.843
0.245,0.123,0.164,0.0,0.071,0.756,0.824,0.789
0.432,0.513,0.469,0.0,0.217,0.825,0.846,0.835
0.604,0.277,0.38,0.0,0.133,0.84,0.821,0.83
0.027,0.15,0.045,0.0,0.086,0.788,0.833,0.81
0.299,0.5,0.375,0.0,0.234,0.852,0.876,0.864
0.333,0.369,0.35,0.0,0.167,0.823,0.847,0.835
0.311,0.461,0.371,0.0,0.248,0.808,0.877,0.841
0.356,0.373,0.364,0.0,0.17,0.799,0.838,0.818
0.429,0.429,0.429,0.0,0.185,0.851,0.873,0.862
0.321,0.436,0.37,0.0,0.203,0.815,0.834,0.825
0.503,0.246,0.33,0.0,0.136,0.836,0.764,0.798
0.157,0.607,0.249,0.025,0.282,0.812,0.873,0.841
0.275,0.512,0.358,0.0,0.225,0.831,0.871,0.85
0.432,0.278,0.338,0.048,0.176,0.813,0.841,0.827
0.395,0.266,0.318,0.0,0.134,0.868,0.85,0.859
0.206,0.407,0.273,0.0,0.161,0.817,0.843,0.83
0.258,0.251,0.255,0.0,0.13,0.797,0.814,0.805
0.454,0.331,0.383,0.023,0.138,0.803,0.83,0.816
0.327,0.196,0.245,0.0,0.071,0.739,0.816,0.776
0.362,0.198,0.256,0.0,0.122,0.848,0.853,0.85
0.429,0.21,0.282,0.0,0.137,0.854,0.847,0.851
0.589,0.14,0.227,0.0,0.054,0.815,0.796,0.805
0.3,0.497,0.374,0.0,0.261,0.821,0.854,0.838
0.455,0.175,0.252,0.0,0.09,0.829,0.804,0.816
0.633,0.133,0.219,0.0,0.077,0.85,0.8,0.824
0.381,0.203,0.265,0.0,0.124,0.828,0.81,0.819
0.296,0.549,0.385,0.022,0.277,0.831,0.867,0.848
0.354,0.142,0.203,0.0,0.095,0.811,0.816,0.814
0.336,0.262,0.294,0.0,0.139,0.827,0.802,0.814
0.48,0.245,0.324,0.0,0.092,0.873,0.873,0.873
0.32,0.232,0.269,0.0,0.129,0.843,0.836,0.84
0.515,0.118,0.192,0.0,0.069,0.837,0.778,0.807
0.394,0.486,0.435,0.027,0.223,0.841,0.862,0.852
0.388,0.474,0.427,0.0,0.255,0.841,0.842,0.842
0.332,0.339,0.335,0.0,0.177,0.822,0.827,0.825
0.366,0.155,0.217,0.0,0.092,0.832,0.806,0.819
0.49,0.159,0.24,0.0,0.07,0.807,0.789,0.798
0.357,0.357,0.357,0.0,0.184,0.83,0.83,0.83
0.567,0.257,0.353,0.0,0.155,0.855,0.822,0.838
0.404,0.287,0.336,0.0,0.167,0.862,0.854,0.858
0.464,0.175,0.254,0.0,0.107,0.838,0.811,0.824
0.195,0.271,0.227,0.0,0.155,0.815,0.845,0.83
0.452,0.219,0.295,0.0,0.099,0.855,0.821,0.837
0.507,0.396,0.444,0.0,0.214,0.831,0.833,0.832
0.611,0.118,0.198,0.0,0.084,0.889,0.824,0.855
0.322,0.313,0.317,0.0,0.158,0.843,0.832,0.837
0.362,0.352,0.357,0.029,0.173,0.815,0.836,0.825
0.597,0.1,0.172,0.0,0.054,0.849,0.798,0.823
0.71,0.073,0.132,0.0,0.042,0.85,0.775,0.811
0.282,0.495,0.359,0.0,0.192,0.817,0.842,0.829
0.39,0.241,0.298,0.0,0.135,0.833,0.835,0.834
0.604,0.193,0.292,0.0,0.094,0.851,0.811,0.831
0.425,0.228,0.297,0.0,0.149,0.852,0.841,0.846
0.223,0.466,0.302,0.0,0.183,0.797,0.809,0.803
0.253,0.637,0.362,0.018,0.28,0.836,0.833,0.835
