rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.75,0.132,0.224,0,0.105,0.894,0.832,0.862,
0.27,0.135,0.18,0,0.07,0.838,0.805,0.821,
0.371,0.231,0.285,0,0.131,0.828,0.822,0.825,
0.543,0.126,0.204,0.002,0.072,0.863,0.782,0.821,
0.806,0.154,0.259,0.002,0.102,0.871,0.805,0.837,
0.128,0.694,0.216,0.01,0.25,0.778,0.826,0.801,
0.674,0.132,0.221,0,0.057,0.889,0.823,0.854,
0.227,0.291,0.255,0,0.111,0.744,0.81,0.776,
0.197,0.634,0.301,0.039,0.331,0.79,0.827,0.808,
0.469,0.521,0.494,0,0.26,0.857,0.867,0.862,
0.41,0.331,0.366,0,0.179,0.831,0.816,0.824,
0.588,0.064,0.115,0,0.055,0.865,0.8,0.831,
0.841,0.338,0.482,0.064,0.248,0.9,0.866,0.883,
0.526,0.484,0.504,0.033,0.24,0.844,0.835,0.839,
0.433,0.231,0.301,0,0.138,0.856,0.841,0.848,
0.474,0.374,0.418,0,0.169,0.847,0.812,0.829,
0.382,0.197,0.26,0,0.12,0.839,0.827,0.833,
0.727,0.186,0.296,0.014,0.18,0.897,0.834,0.865,
0.351,0.549,0.428,0.058,0.268,0.789,0.846,0.816,
0.448,0.205,0.281,0,0.114,0.77,0.813,0.791,
0.347,0.335,0.341,0,0.15,0.844,0.792,0.817,
0.457,0.341,0.391,0,0.178,0.856,0.819,0.837,
0.592,0.233,0.334,0,0.126,0.873,0.834,0.853,
0.259,0.472,0.334,0.043,0.279,0.737,0.835,0.783,
0.445,0.369,0.403,0,0.181,0.856,0.846,0.851,
0.485,0.243,0.323,0,0.152,0.868,0.819,0.843,
0.404,0.514,0.452,0.072,0.244,0.71,0.816,0.759,
0.471,0.447,0.459,0,0.203,0.842,0.847,0.844,
0.25,0.042,0.072,0,0.024,0.862,0.778,0.818,
0.579,0.105,0.177,0.001,0.071,0.892,0.798,0.842,
0.389,0.641,0.484,0.07,0.339,0.795,0.86,0.826,
0.61,0.164,0.259,0,0.114,0.875,0.852,0.863,
0.319,0.675,0.433,0.081,0.311,0.828,0.878,0.853,
0.37,0.354,0.362,0.056,0.183,0.791,0.832,0.811,
