rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.5,0.025,0.048,0,0.023,0.836,0.754,0.793,
0.446,0.082,0.139,0.001,0.054,0.821,0.766,0.792,
0.436,0.152,0.226,0.007,0.082,0.808,0.78,0.793,
0.444,0.09,0.149,0,0.054,0.833,0.765,0.798,
0.548,0.042,0.079,0,0.026,0.821,0.758,0.789,
0.135,0.339,0.193,0,0.173,0.798,0.8,0.799,
0.37,0.042,0.076,0,0.03,0.817,0.765,0.79,
0.177,0.062,0.092,0,0.038,0.771,0.787,0.779,
0.298,0.294,0.296,0,0.183,0.802,0.806,0.804,
0.346,0.112,0.169,0,0.077,0.817,0.78,0.798,
0.319,0.115,0.169,0,0.086,0.808,0.796,0.802,
0.353,0.015,0.029,0,0.01,0.841,0.752,0.794,
0.349,0.055,0.095,0,0.029,0.784,0.786,0.785,
0.387,0.354,0.37,0,0.191,0.815,0.786,0.8,
0.443,0.107,0.173,0,0.066,0.828,0.77,0.798,
0.378,0.127,0.19,0,0.076,0.808,0.769,0.788,
0.5,0.095,0.159,0,0.061,0.809,0.767,0.787,
0.455,0.025,0.047,0,0.016,0.834,0.755,0.793,
0.288,0.204,0.239,0.019,0.117,0.783,0.804,0.794,
0.345,0.1,0.155,0,0.067,0.782,0.795,0.789,
0.451,0.239,0.313,0,0.129,0.826,0.808,0.817,
0.522,0.12,0.195,0,0.068,0.813,0.78,0.796,
0.447,0.115,0.183,0,0.073,0.822,0.801,0.812,
0.254,0.142,0.182,0.013,0.092,0.788,0.8,0.794,
0.266,0.182,0.216,0,0.117,0.767,0.788,0.777,
0.396,0.1,0.159,0,0.068,0.831,0.777,0.803,
0.283,0.187,0.225,0,0.11,0.788,0.793,0.79,
0.438,0.167,0.242,0,0.099,0.808,0.777,0.792,
0.562,0.022,0.043,0,0.014,0.845,0.754,0.797,
0.526,0.05,0.091,0,0.032,0.842,0.764,0.801,
0.28,0.135,0.182,0,0.089,0.766,0.785,0.775,
0.463,0.047,0.086,0,0.036,0.847,0.762,0.802,
0.337,0.137,0.195,0,0.077,0.766,0.789,0.778,
0.286,0.135,0.183,0,0.077,0.804,0.801,0.802,
0.328,0.105,0.159,0,0.073,0.799,0.782,0.79,
0.415,0.067,0.116,0,0.051,0.814,0.763,0.788,
0.323,0.105,0.158,0,0.075,0.817,0.77,0.793,
0.382,0.065,0.111,0.001,0.044,0.803,0.78,0.791,
0.432,0.047,0.085,0,0.036,0.822,0.76,0.79,
0.307,0.172,0.22,0.012,0.114,0.8,0.777,0.788,
0.444,0.04,0.073,0,0.022,0.83,0.778,0.803,
0.382,0.117,0.179,0,0.063,0.812,0.782,0.797,
0.444,0.01,0.02,0,0.007,0.841,0.745,0.79,
0.275,0.075,0.118,0,0.054,0.791,0.768,0.779,
0.333,0.05,0.087,0,0.031,0.804,0.762,0.783,
0.206,0.052,0.083,0,0.034,0.747,0.776,0.761,
0.351,0.162,0.222,0,0.098,0.782,0.797,0.789,
0.392,0.217,0.279,0,0.117,0.794,0.785,0.789,
0.384,0.107,0.168,0,0.061,0.811,0.777,0.794,
0.31,0.145,0.197,0,0.09,0.81,0.778,0.794,
0.257,0.092,0.136,0,0.054,0.794,0.795,0.795,
0.265,0.087,0.131,0,0.048,0.778,0.79,0.784,
0.316,0.14,0.194,0,0.079,0.795,0.798,0.796,
0.286,0.035,0.062,0,0.023,0.807,0.761,0.783,
0.265,0.212,0.235,0,0.125,0.769,0.792,0.78,
0.42,0.15,0.221,0,0.095,0.808,0.773,0.79,
0.252,0.217,0.233,0.016,0.127,0.781,0.799,0.79,
0.281,0.112,0.16,0,0.069,0.798,0.793,0.796,
0.321,0.065,0.108,0,0.037,0.788,0.783,0.786,
0.372,0.04,0.072,0,0.027,0.786,0.758,0.772,
0.308,0.165,0.215,0,0.094,0.78,0.782,0.781,
0.281,0.125,0.173,0,0.079,0.783,0.775,0.779,
0.574,0.155,0.244,0.003,0.079,0.784,0.789,0.786,
0.182,0.025,0.044,0,0.013,0.772,0.776,0.774,
0.383,0.045,0.08,0,0.029,0.806,0.756,0.78,
0.371,0.065,0.11,0,0.041,0.808,0.763,0.785,
0.326,0.077,0.125,0,0.046,0.77,0.761,0.766,
0.333,0.2,0.25,0,0.121,0.798,0.8,0.799,
0.314,0.095,0.146,0,0.058,0.782,0.778,0.78,
0.443,0.087,0.146,0,0.05,0.823,0.774,0.798,
0.397,0.125,0.19,0,0.077,0.808,0.766,0.786,
0.329,0.249,0.284,0,0.147,0.805,0.788,0.796,
0.292,0.047,0.082,0,0.029,0.781,0.769,0.775,
0.448,0.15,0.224,0,0.092,0.813,0.77,0.791,
0.52,0.065,0.115,0,0.026,0.793,0.766,0.78,
0.39,0.097,0.156,0,0.056,0.819,0.783,0.8,
0.333,0.055,0.094,0,0.038,0.799,0.761,0.779,
0.266,0.232,0.248,0,0.136,0.804,0.812,0.808,
0.343,0.279,0.308,0,0.164,0.798,0.783,0.791,
0.294,0.175,0.219,0,0.106,0.799,0.788,0.794,
0.354,0.072,0.12,0,0.045,0.808,0.767,0.787,
0.327,0.085,0.135,0,0.045,0.776,0.766,0.771,
0.339,0.097,0.151,0,0.055,0.787,0.766,0.776,
0.365,0.095,0.15,0,0.071,0.829,0.779,0.803,
0.281,0.04,0.07,0,0.026,0.815,0.771,0.793,
0.391,0.067,0.115,0,0.037,0.803,0.766,0.784,
0.297,0.145,0.195,0,0.071,0.784,0.772,0.778,
0.387,0.09,0.146,0,0.052,0.818,0.763,0.79,
