rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.45,0.2,0.277,0.081,0.199,0.887,0.876,0.881
0.162,0.333,0.218,0.0,0.165,0.843,0.846,0.844
0.143,0.408,0.212,0.03,0.259,0.794,0.86,0.826
0.16,0.382,0.226,0.0,0.26,0.841,0.801,0.821
0.548,0.37,0.442,0.0,0.248,0.877,0.851,0.864
0.039,0.78,0.074,0.0,0.138,0.743,0.857,0.796
0.457,0.404,0.429,0.0,0.248,0.848,0.882,0.865
0.071,0.204,0.105,0.0,0.115,0.694,0.829,0.756
0.083,0.702,0.149,0.025,0.285,0.788,0.854,0.819
0.285,0.771,0.416,0.0,0.328,0.871,0.912,0.891
0.069,0.455,0.12,0.0,0.237,0.798,0.83,0.814
0.529,0.209,0.3,0.0,0.207,0.891,0.853,0.872
0.111,0.7,0.192,0.0,0.188,0.782,0.812,0.797
0.112,0.788,0.196,0.0,0.255,0.782,0.849,0.814
0.186,0.419,0.257,0.0,0.224,0.838,0.863,0.85
0.193,0.5,0.278,0.0,0.223,0.803,0.847,0.824
0.0,0.0,0.0,0.0,0.057,0.77,0.844,0.805
0.5,0.786,0.611,0.254,0.754,0.937,0.954,0.945
0.14,0.8,0.239,0.044,0.344,0.779,0.862,0.818
0.147,0.327,0.202,0.0,0.204,0.745,0.839,0.79
0.131,0.609,0.216,0.0,0.237,0.821,0.848,0.834
0.304,0.549,0.392,0.0,0.331,0.851,0.88,0.865
0.01,1.0,0.019,0.0,0.146,0.749,0.931,0.83
0.138,0.62,0.226,0.022,0.279,0.732,0.88,0.799
0.0,0.0,0.0,0.0,0.018,0.701,0.823,0.757
0.178,0.419,0.25,0.0,0.267,0.85,0.85,0.85
0.136,0.679,0.226,0.021,0.297,0.692,0.863,0.768
0.19,0.644,0.293,0.072,0.283,0.812,0.874,0.842
0.312,0.116,0.169,0.0,0.119,0.882,0.847,0.864
0.184,0.135,0.156,0.0,0.093,0.849,0.833,0.841
0.109,0.875,0.194,0.037,0.408,0.783,0.912,0.843
0.0,0.0,0.0,0.0,0.098,0.794,0.848,0.82
0.172,0.933,0.29,0.065,0.398,0.82,0.915,0.865
0.18,0.723,0.288,0.067,0.327,0.78,0.885,0.829
0.203,0.667,0.311,0.0,0.227,0.851,0.9,0.875
0.0,0.0,0.0,0.0,0.064,0.767,0.877,0.819
0.115,0.395,0.179,0.04,0.184,0.823,0.849,0.836
0.147,0.204,0.171,0.0,0.215,0.802,0.864,0.832
0.341,0.429,0.38,0.0,0.401,0.84,0.854,0.847
0.0,0.0,0.0,0.0,0.021,0.74,0.828,0.782
