rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.7,0.039,0.075,0,0.027,0.864,0.775,0.817,
0.486,0.097,0.162,0.001,0.058,0.838,0.782,0.809,
0.407,0.158,0.228,0,0.089,0.82,0.793,0.806,
0.506,0.098,0.164,0,0.066,0.856,0.801,0.827,
0.484,0.046,0.084,0,0.035,0.844,0.762,0.801,
0.226,0.538,0.318,0,0.235,0.776,0.811,0.793,
0.478,0.06,0.106,0,0.036,0.857,0.786,0.82,
0.241,0.082,0.123,0,0.047,0.726,0.794,0.758,
0.303,0.322,0.312,0,0.152,0.806,0.801,0.803,
0.408,0.143,0.212,0,0.092,0.828,0.791,0.809,
0.431,0.207,0.28,0,0.121,0.844,0.809,0.826,
0.588,0.025,0.049,0,0.014,0.857,0.773,0.813,
0.349,0.074,0.122,0,0.044,0.829,0.803,0.816,
0.313,0.316,0.315,0,0.183,0.811,0.789,0.8,
0.464,0.117,0.188,0,0.072,0.844,0.795,0.819,
0.467,0.189,0.269,0,0.097,0.831,0.776,0.803,
0.395,0.093,0.151,0,0.072,0.827,0.761,0.793,
0.545,0.029,0.055,0,0.023,0.859,0.786,0.821,
0.372,0.355,0.363,0,0.186,0.823,0.82,0.821,
0.345,0.101,0.156,0,0.078,0.779,0.784,0.781,
0.46,0.257,0.33,0,0.153,0.827,0.801,0.813,
0.565,0.142,0.227,0,0.082,0.835,0.786,0.81,
0.437,0.117,0.184,0,0.073,0.845,0.801,0.822,
0.317,0.187,0.235,0.023,0.119,0.767,0.789,0.778,
0.336,0.306,0.32,0,0.177,0.829,0.825,0.827,
0.436,0.113,0.18,0,0.067,0.838,0.78,0.808,
0.343,0.228,0.274,0,0.13,0.799,0.804,0.801,
0.516,0.185,0.272,0,0.106,0.837,0.819,0.828,
0.625,0.024,0.047,0,0.017,0.861,0.777,0.817,
0.579,0.06,0.109,0,0.036,0.859,0.776,0.815,
0.503,0.269,0.35,0.027,0.152,0.816,0.806,0.811,
0.439,0.045,0.082,0,0.037,0.841,0.776,0.807,
0.436,0.248,0.316,0,0.133,0.831,0.816,0.823,
0.444,0.197,0.273,0,0.114,0.822,0.818,0.82,
0.492,0.15,0.23,0,0.076,0.819,0.811,0.815,
0.585,0.103,0.175,0,0.052,0.858,0.787,0.821,
0.323,0.118,0.173,0,0.081,0.833,0.79,0.811,
0.338,0.068,0.114,0,0.053,0.827,0.778,0.802,
0.568,0.064,0.115,0,0.046,0.844,0.787,0.814,
0.36,0.213,0.267,0,0.134,0.812,0.8,0.806,
1,0.103,0.187,0,0.106,0.888,0.803,0.843,
0.35,0.119,0.177,0,0.073,0.812,0.783,0.797,
0.556,0.013,0.025,0,0.011,0.874,0.766,0.817,
0.303,0.095,0.144,0,0.054,0.806,0.769,0.787,
0.317,0.054,0.092,0,0.051,0.826,0.79,0.807,
0.265,0.079,0.122,0,0.04,0.761,0.784,0.772,
0.449,0.224,0.299,0,0.112,0.813,0.803,0.808,
0.351,0.218,0.269,0.017,0.136,0.813,0.799,0.806,
0.348,0.094,0.148,0,0.05,0.818,0.8,0.809,
0.422,0.206,0.277,0,0.113,0.834,0.803,0.818,
0.451,0.157,0.233,0,0.079,0.793,0.803,0.798,
