context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision

We will implement native lazy loading for images and thumbnails in the Storefront. This approach leverages the `loading=""lazy""` attribute, which is now supported by most modern browsers. By using this native feature, we can improve page load times and reduce initial data usage without the need for a third-party extension.

### Rationale
- **Performance Improvement**: Native lazy loading will only load images as they enter or are about to enter the viewport, reducing the initial page load time and improving the overall performance of the Storefront.
- **Simplicity**: Using a built-in browser feature eliminates the need for additional dependencies and reduces the complexity of the codebase.
- **Browser Support**: The `loading=""lazy""` attribute is supported by all major browsers, including Chrome, Firefox, Safari, and Edge. For older or unsupported browsers, images will fall back to their default loading behavior, ensuring that the Storefront remains functional.
- **Cost-Effective**: Implementing native lazy loading is a cost-effective solution as it does not require any additional licensing or maintenance costs associated with third-party extensions.

### Implementation Steps
1. **Update HTML Templates**: Add the `loading=""lazy""` attribute to all `<img>` tags in the Storefront's HTML templates.
2. **Testing**: Conduct thorough testing across different browsers and devices to ensure that the lazy loading works as expected and does not introduce any new issues.
3. **Fallback Mechanism**: Ensure that a fallback mechanism is in place for browsers that do not support the `loading=""lazy""` attribute.
4. **Documentation**: Update the developer documentation to reflect the changes and provide guidance on how to use the new lazy loading feature.

### Monitoring and Evaluation
- **Performance Metrics**: Monitor the impact of lazy loading on page load times and user experience using tools like Lighthouse and Google Analytics.
- **User Feedback**: Collect feedback from users to ensure that the change has a positive impact on their experience.
- **Ongoing Support**: Continuously monitor browser updates and adjust the implementation if necessary to take advantage of new features or address any deprecated functionality.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision

We will deprecate and eventually remove the `autoload` parameter for `OneToOneAssociationField` and `ManyToOneAssociationField` associations. Instead, we will encourage the use of explicit loading strategies such as lazy loading or eager loading based on the specific needs of each query.

### Rationale:
- **Performance Optimization**: By removing the `autoload` feature, we prevent unnecessary data transfer, reduce the number of SQL joins, and minimize the overhead of hydrating and processing unused data.
- **Flexibility**: Explicit loading strategies allow developers to fine-tune their queries, ensuring that only the necessary data is loaded, which can lead to more efficient and performant applications.
- **Best Practices**: Lazy loading (loading associated data only when needed) and eager loading (loading associated data in a single query) are well-established patterns in ORM (Object-Relational Mapping) that provide better control over data retrieval and performance.

### Implementation Steps:
1. **Deprecation Notice**: Add a deprecation notice to the documentation and codebase for the `autoload` parameter, indicating that it will be removed in a future release.
2. **Documentation Update**: Update the documentation to guide users on how to use lazy loading and eager loading effectively.
3. **Code Refactoring**: Provide tools and scripts to help users migrate their existing code to use the new loading strategies.
4. **Removal Timeline**: Set a clear timeline for the removal of the `autoload` parameter, allowing users sufficient time to update their applications.
5. **Testing and Validation**: Ensure that the changes do not break existing functionality and that the new loading strategies meet the performance and usability requirements.

By making this change, we aim to improve the overall performance and maintainability of the application.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision
To address the different approaches to searching for ADRs and improve the overall user experience, we will implement a multi-faceted solution that includes both organizational and technological improvements:

1. **Maintain Area-Based Folders**: Continue to organize ADRs into area-based folders to facilitate easy access for users looking for ADRs in specific areas (case 3).

2. **Implement a Centralized Index File**: Create a centralized index file (e.g., `adr-index.md`) at the root of the ADR repository. This file will list all ADRs with their titles, brief descriptions, and links to the full ADR documents. The index will be updated whenever a new ADR is added or an existing one is modified.

3. **Add a Search Tool**: Integrate a search tool or script (e.g., using a simple Python or JavaScript script) that allows users to search for ADRs by keyword, title, or content. This tool will provide a more refined search experience and reduce duplicate matches.

4. **Automate the Latest ADRs List**: Implement a script that automatically generates a list of the latest ADRs (e.g., the last 10 ADRs) and updates it regularly. This list can be included in the `adr-index.md` file or in a separate `latest-adrs.md` file.

5. **Enhance Git History Access**: Provide clear documentation on how to access the git history for those who prefer to use shell or IDE. Additionally, consider integrating a web-based interface (e.g., a GitHub Action or a custom web app) that allows users to view the commit history and latest ADRs directly from a web browser.

By implementing these changes, we aim to support all the different use cases for searching and accessing ADRs, making the process more efficient and user-friendly.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision

Given the context and the challenges identified, we have decided to **not proceed with the proposed native Vue 3 approach for the plugin extension system**. Instead, we will continue to use the existing Component Factory and Twig.JS template compilation, while exploring alternative solutions that can address the limitations without compromising on the update safety and maintainability of the system.

### Rationale

1. **Update Safety**: The proposed solution relies on internal Vue logic, which is not guaranteed to be stable across Vue updates. This could lead to significant maintenance overhead and potential breakages in the future.

2. **Complexity in Data Merging**: The difficulty in merging data and passing it to the block system would require extensive custom workarounds, which could introduce bugs and reduce the overall quality of the system.

3. **Performance and Tooling**: While the current approach has some performance and tooling limitations, it provides a more stable and predictable environment for plugin developers. The benefits of using native Vue tools and better performance are outweighed by the risks and complexities introduced by the new approach.

### Next Steps

1. **Evaluate Alternative Solutions**: We will explore other ways to improve the current system, such as:
   - Investigating if there are any updates or changes in Vue 3 that can be leveraged to enhance the current system.
   - Researching third-party libraries or tools that can provide better static analysis and linting capabilities for our existing setup.

2. **Incremental Improvements**: We will focus on making incremental improvements to the current system, such as:
   - Optimizing the performance of the Component Factory and Twig.JS template compilation.
   - Enhancing the documentation and tooling support for plugin developers to make the current system more user-friendly.

3. **Community Feedback**: We will gather feedback from the community and plugin developers to understand their pain points and requirements better. This will help us prioritize the improvements and ensure that they align with the needs of our users.

By taking these steps, we aim to balance the need for a robust and flexible plugin extension system with the practical constraints of maintaining a stable and update-safe codebase.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision
We will adopt a decentralized changelog approach, where each pull request (PR) or feature branch includes its own changelog entry. This method aligns better with trunk-based development and reduces the issues identified in the current workflow. Here’s how it will work:

1. **Changelog Entries per PR/Feature Branch:**
   - Each developer will be responsible for adding a changelog entry to their PR or feature branch. The entry should include a summary of the changes, any breaking changes, and upgrade instructions if necessary.
   - Changelog entries will be stored in a `changelogs` directory within the repository, with each entry named after the PR or feature branch (e.g., `changelogs/PR-123.md`).

2. **Automated Changelog Aggregation:**
   - A script or CI/CD pipeline step will aggregate all the changelog entries from merged PRs into a single, versioned changelog file during the release process.
   - This aggregated changelog will be included in the release notes and tagged with the appropriate version number.

3. **Versioning and Tagging:**
   - The version number will be determined by the release process, ensuring that the changelog entries are associated with the correct version.
   - Tags will be created in the repository to mark the release, and the aggregated changelog will be updated accordingly.

4. **Jira Integration:**
   - To address the discrepancy between Jira and code state, we will integrate Jira with our CI/CD pipeline. This integration will automatically update the Jira issue status based on the PR's merge status.
   - Developers will be required to link their PRs to the corresponding Jira issues, ensuring that the Jira board accurately reflects the state of the codebase.

5. **Documentation and Training:**
   - We will provide clear documentation and training sessions for developers to ensure they understand the new changelog process.
   - Best practices and templates for writing changelog entries will be provided to maintain consistency.

By adopting this decentralized and automated approach, we aim to reduce merge conflicts, ensure accurate versioning, and maintain a consistent state between Jira and the codebase.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision

To address the issues with the `DelayAction` in Flow Builder, we will implement a mechanism to ensure that the data and rules are up-to-date when the delayed action is executed. The solution involves the following steps:

1. **Data Snapshot on Delay**: When an action is set to be delayed, we will create a snapshot of the current state of the data. This snapshot will be stored along with the delayed action. This ensures that the data used in the action is consistent with the state at the time the delay was initiated.

2. **Rule Versioning and Re-evaluation**:
   - **Versioning**: Each rule will have a version number. When a rule is updated or deleted, its version number will change.
   - **Re-evaluation on Execution**: When the delayed action is executed, we will re-fetch the latest version of the relevant rules. If the rule has been updated, the new version will be used. If the rule has been deleted, the action will either fail gracefully or be skipped, depending on the configuration.

3. **Data Refresh Mechanism**:
   - **Data Refresh API**: Implement an API that can refresh the data snapshot with the latest data from the source. This API will be called before the delayed action is executed to update the snapshot with the most recent data.
   - **Conditional Data Refresh**: Provide a configuration option to decide whether the data should be refreshed before executing the delayed action. This allows for flexibility based on the use case.

4. **Error Handling and Logging**:
   - **Error Handling**: Implement robust error handling to manage cases where the data or rules cannot be refreshed or reloaded. This includes logging the errors and providing fallback mechanisms.
   - **Logging**: Log the execution of the delayed action, including any data and rule updates, to help with debugging and auditing.

By implementing these steps, we ensure that the `DelayAction` in Flow Builder operates with the most up-to-date and consistent data and rules, thereby reducing the risk of using outdated information.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision

We will integrate the app system directly into the Shopware 6 platform as a core feature, rather than maintaining it as a separate plugin. This integration will be done in a way that ensures compatibility and consistency across both cloud and on-premises environments. 

### Rationale
- **Stability and Reliability**: By integrating the app system into the core, we signal to partners and potential app manufacturers that the app system is stable and a key part of the platform.
- **Release Cycle Alignment**: Partners and app manufacturers can rely on the established release cycle and upgrade process of Shopware 6, ensuring they have a predictable and consistent development environment.
- **Simplified User Experience**: Users will no longer need to install an additional plugin to use apps, making the process more seamless and reducing the overhead for them.

### Implementation Steps
1. **Code Integration**: Migrate the app system codebase from the plugin repository to the main Shopware 6 repository.
2. **Testing and Validation**: Conduct thorough testing to ensure the app system works seamlessly within the core platform, including compatibility with existing features and plugins.
3. **Documentation and Communication**: Update documentation to reflect the new integrated app system and communicate the changes to the community, partners, and users.
4. **Release and Support**: Plan the release of the integrated app system in a future version of Shopware 6, ensuring it aligns with the platform's release schedule and support processes.

### Implications
- **Development Effort**: The initial effort to integrate the app system into the core will require significant development and testing resources.
- **User Impact**: Users will benefit from a more streamlined and integrated experience, but there may be a transition period as they adapt to the new system.
- **Community and Partner Engagement**: Clear communication and support will be essential to ensure a smooth transition and to build confidence in the integrated app system.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision
To address the current issues with the `FlowStorer` implementations, we will introduce a more generic and flexible approach. We will create a unified `FlowStorer` interface that all storer implementations will adhere to. This interface will include methods for storing and restoring data, as well as a method to determine if the storer should be applied to a given event.

### Key Changes:
1. **Unified Interface**: Define a common `FlowStorer` interface with the following methods:
   - `boolean shouldStore(Event event)`: Determines if the storer should store the data for the given event.
   - `void store(Event event, Object data)`: Stores the data associated with the event.
   - `Object restore(Event event)`: Restores the data associated with the event (if applicable).

2. **Generic Storer Implementation**: Create a default implementation of the `FlowStorer` interface for scalar values that do not require any specific restore logic. This will reduce boilerplate code for simple cases.

3. **Plugin-Friendly Design**: Allow plugins to easily bypass or extend the behavior of the storer by providing a mechanism to register custom `FlowStorer` implementations. This can be done through a service registry or a similar pattern.

4. **Configuration and Discovery**: Implement a configuration-driven approach to manage which `FlowStorer` implementations are active. This can be done via a configuration file or a dynamic discovery mechanism.

### Benefits:
- **Reduced Boilerplate**: By using a common interface and a default implementation, the amount of boilerplate code required for new storer implementations will be significantly reduced.
- **Flexibility**: The unified interface and plugin-friendly design will make it easier to add, remove, or modify storer implementations without changing the core logic.
- **Maintainability**: A more structured and consistent approach will make the codebase easier to maintain and understand.

### Example:
```java
public interface FlowStorer {
    boolean shouldStore(Event event);
    void store(Event event, Object data);
    Object restore(Event event);
}

public class ScalarFlowStorer implements FlowStorer {
    @Override
    public boolean shouldStore(Event event) {
        // Logic to determine if this storer should store the data
    }

    @Override
    public void store(Event event, Object data) {
        // Logic to store the data
    }

    @Override
    public Object restore(Event event) {
        // Default no-op for scalar values
        return null;
    }
}
```

This decision will streamline the management of `FlowStorer` implementations and make the system more extensible and maintainable.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision
We will replace the current sw-text-editor with a modern, well-maintained, and widely-used WYSIWYG editor such as TinyMCE or CKEditor. These editors are known for their robust feature sets, ease of maintenance, and flexibility in terms of customization and extension. 

### Rationale
- **Stability and Reliability**: Both TinyMCE and CKEditor have a strong track record of stability and reliability, which will help to reduce the number of low-level bugs experienced with the current editor.
- **Ease of Maintenance**: These editors are well-documented and have large, active communities, making it easier for our development team to maintain and update the editor.
- **Feature Set**: They offer a comprehensive set of features out-of-the-box, including rich text editing, media embedding, and collaboration tools, which meet our requirements for a good feature set.
- **Flexibility and Extensibility**: Both editors provide APIs and plugins that allow for easy extension and customization, ensuring that we can adapt the editor to our specific needs.
- **Community and Support**: The active community and commercial support options available for both editors will be beneficial for long-term maintenance and troubleshooting.

### Implementation Plan
1. **Evaluation and Selection**: Conduct a detailed evaluation of TinyMCE and CKEditor to determine which one best fits our specific needs.
2. **Integration**: Integrate the selected editor into the administration system, ensuring that all existing features are supported and any new features are added as needed.
3. **Testing**: Perform thorough testing to ensure that the new editor is stable, reliable, and meets all functional and non-functional requirements.
4. **Training and Documentation**: Provide training and documentation for the development team to ensure they are comfortable with the new editor and can maintain it effectively.
5. **Rollout and Monitoring**: Roll out the new editor to the production environment and monitor its performance and user feedback to make any necessary adjustments.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
We will update the default salutation setting in Shopware 6 to ""not_specified"" for any cases where a salutation is not provided by the customer or administrator. This change aims to ensure that all users, regardless of their preference or oversight in selection, are addressed appropriately and inclusively within the platform. The ""not_specified"" option will be seamlessly integrated into the system, ensuring it does not disrupt existing user experiences or data processing workflows. Additionally, we will provide clear documentation and guidelines on how this new default can be customized or managed by administrators if needed.","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
