rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.75,0.046,0.086,0.0,0.043,0.901,0.792,0.843
0.486,0.136,0.212,0.005,0.082,0.849,0.81,0.829
0.429,0.207,0.279,0.0,0.122,0.827,0.82,0.824
0.642,0.149,0.242,0.0,0.098,0.88,0.813,0.846
0.71,0.067,0.123,0.0,0.04,0.865,0.788,0.825
0.178,0.545,0.268,0.0,0.22,0.807,0.818,0.812
0.826,0.125,0.217,0.0,0.07,0.867,0.809,0.837
0.482,0.187,0.27,0.0,0.106,0.836,0.828,0.832
0.359,0.466,0.405,0.0,0.216,0.822,0.834,0.828
0.431,0.577,0.493,0.078,0.32,0.879,0.894,0.886
0.576,0.249,0.348,0.0,0.131,0.838,0.82,0.829
0.765,0.056,0.104,0.0,0.029,0.886,0.807,0.845
0.683,0.162,0.262,0.0,0.067,0.859,0.835,0.847
0.455,0.43,0.442,0.0,0.216,0.84,0.831,0.836
0.588,0.15,0.239,0.003,0.096,0.871,0.807,0.838
0.481,0.406,0.441,0.0,0.213,0.851,0.851,0.851
0.368,0.35,0.359,0.0,0.221,0.852,0.872,0.862
0.864,0.103,0.184,0.0,0.07,0.921,0.825,0.87
0.523,0.363,0.429,0.0,0.202,0.82,0.837,0.828
0.517,0.131,0.209,0.004,0.076,0.778,0.807,0.793
0.531,0.289,0.374,0.0,0.167,0.854,0.81,0.832
0.63,0.224,0.33,0.0,0.109,0.847,0.816,0.831
0.641,0.168,0.267,0.005,0.085,0.872,0.823,0.847
0.455,0.421,0.438,0.055,0.221,0.756,0.849,0.8
0.361,0.406,0.382,0.0,0.208,0.808,0.837,0.822
0.545,0.112,0.186,0.0,0.067,0.86,0.799,0.828
0.426,0.394,0.409,0.033,0.197,0.796,0.825,0.81
0.399,0.469,0.431,0.0,0.226,0.843,0.868,0.855
0.625,0.065,0.118,0.0,0.043,0.887,0.822,0.853
0.763,0.083,0.15,0.0,0.053,0.906,0.791,0.845
0.44,0.301,0.358,0.03,0.169,0.815,0.827,0.821
0.707,0.228,0.345,0.022,0.166,0.912,0.877,0.894
0.38,0.437,0.407,0.0,0.219,0.823,0.863,0.842
0.45,0.299,0.359,0.048,0.164,0.822,0.84,0.831
0.648,0.211,0.319,0.0,0.116,0.857,0.847,0.852
0.554,0.142,0.226,0.0,0.099,0.883,0.833,0.857
0.438,0.292,0.351,0.0,0.142,0.862,0.84,0.851
0.456,0.122,0.193,0.0,0.078,0.826,0.829,0.828
0.659,0.074,0.133,0.0,0.037,0.886,0.801,0.841
0.609,0.374,0.464,0.04,0.201,0.844,0.829,0.837
0.5,0.074,0.129,0.0,0.041,0.828,0.777,0.802
0.545,0.186,0.277,0.0,0.095,0.834,0.813,0.823
0.889,0.025,0.048,0.0,0.024,0.905,0.774,0.835
0.413,0.136,0.205,0.005,0.079,0.818,0.826,0.822
0.483,0.107,0.176,0.0,0.051,0.848,0.812,0.829
0.304,0.086,0.134,0.0,0.053,0.757,0.809,0.782
0.459,0.351,0.398,0.026,0.18,0.838,0.839,0.838
0.595,0.265,0.367,0.01,0.137,0.838,0.828,0.833
0.098,0.212,0.134,0.0,0.097,0.795,0.833,0.813
0.567,0.285,0.379,0.0,0.156,0.848,0.836,0.842
0.639,0.234,0.343,0.0,0.126,0.837,0.821,0.829
0.583,0.232,0.332,0.014,0.12,0.866,0.847,0.857
0.497,0.193,0.278,0.0,0.1,0.815,0.823,0.819
0.673,0.087,0.154,0.0,0.048,0.834,0.782,0.807
0.47,0.393,0.428,0.022,0.191,0.8,0.821,0.81
0.49,0.297,0.369,0.0,0.18,0.836,0.828,0.832
0.194,0.638,0.298,0.024,0.264,0.81,0.863,0.836
0.4,0.346,0.371,0.0,0.185,0.834,0.855,0.844
0.494,0.167,0.25,0.011,0.097,0.802,0.838,0.819
0.628,0.314,0.419,0.0,0.113,0.873,0.867,0.87
0.547,0.342,0.421,0.0,0.174,0.844,0.822,0.833
0.444,0.227,0.3,0.014,0.111,0.813,0.825,0.819
0.333,0.4,0.364,0.055,0.209,0.773,0.863,0.815
0.309,0.165,0.215,0.0,0.088,0.71,0.809,0.756
0.511,0.074,0.129,0.0,0.049,0.838,0.798,0.817
0.5,0.106,0.175,0.0,0.075,0.838,0.803,0.82
0.2,0.244,0.22,0.0,0.114,0.795,0.844,0.819
0.338,0.357,0.347,0.0,0.186,0.829,0.846,0.838
0.471,0.215,0.295,0.0,0.115,0.822,0.831,0.827
0.57,0.119,0.197,0.0,0.072,0.85,0.803,0.826
0.381,0.205,0.267,0.0,0.106,0.827,0.818,0.823
0.414,0.496,0.452,0.026,0.238,0.833,0.856,0.844
0.354,0.084,0.136,0.0,0.048,0.795,0.806,0.8
0.433,0.17,0.244,0.0,0.102,0.827,0.745,0.784
0.46,0.211,0.289,0.0,0.11,0.815,0.851,0.832
0.28,0.329,0.303,0.0,0.208,0.843,0.864,0.853
0.485,0.126,0.201,0.0,0.07,0.844,0.804,0.824
0.474,0.356,0.407,0.034,0.167,0.842,0.861,0.851
0.477,0.481,0.479,0.031,0.249,0.844,0.842,0.843
0.429,0.251,0.316,0.0,0.134,0.822,0.811,0.816
0.39,0.133,0.198,0.0,0.09,0.833,0.81,0.822
0.413,0.153,0.223,0.0,0.079,0.807,0.799,0.803
0.496,0.213,0.298,0.0,0.123,0.839,0.82,0.829
0.615,0.163,0.258,0.0,0.11,0.859,0.822,0.84
0.614,0.119,0.199,0.0,0.073,0.856,0.805,0.83
0.435,0.25,0.317,0.0,0.165,0.852,0.845,0.849
0.354,0.259,0.299,0.0,0.131,0.815,0.833,0.824
0.484,0.124,0.198,0.0,0.065,0.847,0.785,0.815
0.563,0.308,0.399,0.0,0.169,0.829,0.818,0.823
0.75,0.071,0.13,0.0,0.04,0.875,0.787,0.829
0.425,0.269,0.33,0.0,0.15,0.847,0.832,0.84
0.427,0.35,0.384,0.0,0.171,0.821,0.833,0.827
0.61,0.086,0.151,0.0,0.048,0.844,0.806,0.825
0.613,0.043,0.081,0.0,0.027,0.853,0.788,0.819
0.31,0.434,0.362,0.0,0.186,0.821,0.837,0.829
0.524,0.193,0.282,0.0,0.119,0.83,0.808,0.818
0.635,0.211,0.317,0.0,0.107,0.861,0.835,0.848
0.562,0.227,0.324,0.017,0.118,0.856,0.846,0.851
0.179,0.499,0.263,0.0,0.185,0.79,0.809,0.8
0.251,0.592,0.353,0.019,0.277,0.847,0.847,0.847
