rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.85,0.059,0.111,0.0,0.044,0.899,0.792,0.842
0.446,0.145,0.219,0.008,0.086,0.855,0.807,0.83
0.493,0.245,0.327,0.022,0.139,0.83,0.828,0.829
0.519,0.146,0.228,0.0,0.092,0.873,0.796,0.833
0.677,0.044,0.082,0.0,0.03,0.855,0.777,0.814
0.172,0.507,0.257,0.0,0.218,0.806,0.817,0.811
0.783,0.082,0.149,0.0,0.049,0.864,0.807,0.834
0.418,0.227,0.294,0.0,0.123,0.863,0.845,0.854
0.482,0.416,0.447,0.023,0.208,0.823,0.837,0.83
0.638,0.336,0.44,0.038,0.183,0.892,0.857,0.874
0.521,0.236,0.325,0.0,0.134,0.843,0.819,0.831
0.824,0.043,0.082,0.0,0.027,0.888,0.804,0.844
0.73,0.206,0.322,0.014,0.154,0.883,0.859,0.871
0.496,0.47,0.483,0.035,0.25,0.849,0.832,0.84
0.557,0.169,0.259,0.006,0.111,0.868,0.817,0.841
0.526,0.306,0.387,0.0,0.16,0.841,0.842,0.841
0.474,0.108,0.176,0.0,0.065,0.843,0.809,0.826
0.818,0.062,0.115,0.0,0.042,0.908,0.801,0.851
0.505,0.456,0.479,0.0,0.229,0.812,0.845,0.828
0.448,0.175,0.252,0.0,0.107,0.78,0.82,0.8
0.516,0.261,0.346,0.0,0.157,0.852,0.81,0.83
0.641,0.173,0.273,0.0,0.104,0.845,0.808,0.826
0.699,0.151,0.249,0.003,0.089,0.879,0.834,0.856
0.509,0.304,0.381,0.033,0.151,0.803,0.83,0.816
0.427,0.332,0.374,0.03,0.18,0.829,0.825,0.827
0.574,0.13,0.212,0.0,0.074,0.877,0.81,0.842
0.43,0.361,0.392,0.0,0.186,0.784,0.811,0.797
0.627,0.267,0.374,0.0,0.147,0.841,0.829,0.835
0.625,0.035,0.066,0.0,0.02,0.866,0.79,0.826
0.789,0.056,0.105,0.0,0.04,0.911,0.802,0.853
0.487,0.37,0.421,0.0,0.207,0.824,0.839,0.831
0.854,0.064,0.12,0.0,0.043,0.892,0.801,0.844
0.54,0.333,0.412,0.0,0.163,0.851,0.837,0.844
0.492,0.228,0.312,0.0,0.143,0.845,0.838,0.842
0.656,0.211,0.319,0.007,0.117,0.851,0.842,0.846
0.615,0.135,0.221,0.003,0.077,0.869,0.826,0.847
0.569,0.223,0.32,0.0,0.111,0.86,0.801,0.829
0.529,0.11,0.182,0.0,0.066,0.823,0.813,0.818
0.591,0.1,0.171,0.0,0.048,0.869,0.791,0.828
0.649,0.292,0.403,0.023,0.166,0.843,0.814,0.828
0.583,0.043,0.081,0.0,0.024,0.837,0.772,0.803
0.577,0.158,0.249,0.003,0.091,0.84,0.812,0.826
0.778,0.02,0.038,0.0,0.016,0.887,0.771,0.825
0.44,0.135,0.207,0.0,0.072,0.816,0.821,0.818
0.533,0.098,0.166,0.0,0.048,0.84,0.799,0.819
0.304,0.094,0.143,0.0,0.062,0.748,0.812,0.779
0.503,0.327,0.397,0.029,0.189,0.841,0.842,0.841
0.572,0.281,0.377,0.0,0.139,0.842,0.823,0.832
0.054,0.207,0.085,0.0,0.083,0.789,0.828,0.808
0.545,0.284,0.374,0.0,0.157,0.847,0.832,0.839
0.604,0.179,0.276,0.0,0.085,0.834,0.821,0.828
0.538,0.256,0.347,0.016,0.128,0.877,0.852,0.864
0.514,0.208,0.296,0.0,0.097,0.817,0.825,0.821
0.633,0.072,0.13,0.0,0.042,0.83,0.797,0.813
0.477,0.38,0.423,0.03,0.186,0.818,0.834,0.826
0.51,0.215,0.302,0.0,0.131,0.832,0.752,0.79
0.435,0.573,0.494,0.046,0.27,0.837,0.855,0.846
0.475,0.353,0.405,0.0,0.199,0.848,0.845,0.847
0.568,0.176,0.269,0.011,0.096,0.83,0.824,0.827
0.698,0.077,0.139,0.0,0.037,0.861,0.807,0.833
0.509,0.305,0.382,0.0,0.156,0.845,0.827,0.836
0.545,0.208,0.301,0.007,0.089,0.816,0.817,0.816
0.639,0.173,0.273,0.003,0.095,0.789,0.811,0.8
0.273,0.084,0.129,0.0,0.054,0.717,0.796,0.755
0.532,0.163,0.25,0.0,0.083,0.851,0.838,0.844
0.414,0.137,0.206,0.0,0.08,0.848,0.831,0.84
0.516,0.121,0.196,0.0,0.052,0.813,0.803,0.808
0.467,0.292,0.36,0.0,0.158,0.824,0.832,0.828
0.463,0.201,0.28,0.0,0.106,0.822,0.823,0.822
0.456,0.136,0.21,0.0,0.095,0.85,0.817,0.833
0.476,0.145,0.223,0.0,0.091,0.824,0.796,0.81
0.441,0.447,0.444,0.03,0.23,0.832,0.848,0.84
0.431,0.087,0.145,0.0,0.048,0.806,0.798,0.802
0.455,0.169,0.246,0.0,0.106,0.825,0.793,0.809
0.6,0.091,0.158,0.0,0.038,0.826,0.794,0.809
0.32,0.264,0.29,0.0,0.165,0.834,0.846,0.84
0.455,0.117,0.186,0.0,0.065,0.83,0.811,0.821
0.414,0.394,0.404,0.0,0.178,0.842,0.856,0.849
0.532,0.482,0.506,0.027,0.264,0.843,0.841,0.842
0.429,0.197,0.269,0.0,0.1,0.818,0.813,0.815
0.402,0.119,0.183,0.0,0.087,0.834,0.802,0.818
0.471,0.129,0.202,0.0,0.062,0.804,0.794,0.799
0.504,0.179,0.264,0.0,0.094,0.839,0.812,0.825
0.548,0.161,0.248,0.004,0.097,0.857,0.819,0.838
0.561,0.102,0.173,0.0,0.062,0.849,0.799,0.823
0.623,0.122,0.204,0.0,0.071,0.843,0.805,0.824
0.374,0.254,0.303,0.0,0.124,0.817,0.83,0.823
0.473,0.12,0.192,0.0,0.067,0.847,0.773,0.808
0.549,0.356,0.432,0.026,0.203,0.834,0.841,0.837
0.75,0.077,0.14,0.0,0.041,0.878,0.795,0.834
0.454,0.234,0.309,0.0,0.136,0.847,0.827,0.837
0.416,0.326,0.365,0.0,0.17,0.821,0.839,0.83
0.623,0.094,0.163,0.0,0.045,0.844,0.807,0.825
0.548,0.046,0.084,0.0,0.039,0.844,0.781,0.811
0.332,0.356,0.344,0.0,0.144,0.819,0.804,0.812
0.581,0.172,0.265,0.0,0.102,0.83,0.812,0.821
0.51,0.179,0.266,0.0,0.081,0.85,0.823,0.836
0.55,0.116,0.191,0.0,0.067,0.854,0.811,0.832
0.22,0.483,0.302,0.0,0.176,0.796,0.814,0.805
0.328,0.627,0.431,0.021,0.314,0.854,0.844,0.849
