rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.6,0.113,0.19,0.005,0.096,0.908,0.836,0.871
0.5,0.111,0.182,0.0,0.064,0.845,0.777,0.81
0.514,0.154,0.237,0.0,0.08,0.826,0.8,0.813
0.605,0.166,0.26,0.0,0.097,0.883,0.819,0.85
0.806,0.061,0.113,0.0,0.031,0.855,0.762,0.806
0.188,0.537,0.278,0.0,0.226,0.811,0.818,0.814
0.674,0.23,0.343,0.012,0.137,0.866,0.851,0.858
0.532,0.162,0.248,0.0,0.111,0.859,0.871,0.865
0.149,0.628,0.241,0.02,0.292,0.798,0.854,0.825
0.623,0.391,0.481,0.057,0.219,0.89,0.86,0.875
0.528,0.212,0.302,0.0,0.119,0.85,0.821,0.835
0.706,0.056,0.103,0.0,0.049,0.884,0.807,0.843
0.762,0.227,0.35,0.019,0.164,0.881,0.857,0.869
0.458,0.397,0.425,0.0,0.194,0.837,0.814,0.825
0.485,0.102,0.169,0.0,0.063,0.863,0.79,0.825
0.444,0.02,0.038,0.0,0.026,0.85,0.713,0.775
0.526,0.235,0.325,0.017,0.14,0.847,0.846,0.847
0.864,0.047,0.089,0.0,0.036,0.901,0.73,0.807
0.453,0.433,0.443,0.033,0.23,0.815,0.843,0.829
0.526,0.139,0.22,0.003,0.079,0.783,0.804,0.793
0.484,0.199,0.282,0.0,0.124,0.854,0.814,0.833
0.674,0.122,0.207,0.0,0.074,0.849,0.8,0.824
0.67,0.146,0.24,0.003,0.083,0.868,0.829,0.848
0.415,0.454,0.434,0.053,0.249,0.767,0.853,0.808
0.358,0.51,0.421,0.035,0.27,0.834,0.853,0.843
0.446,0.127,0.198,0.0,0.074,0.854,0.794,0.823
0.453,0.34,0.388,0.0,0.166,0.789,0.813,0.801
0.575,0.289,0.385,0.0,0.166,0.843,0.833,0.838
0.375,0.027,0.05,0.0,0.017,0.872,0.799,0.834
0.789,0.057,0.107,0.0,0.04,0.905,0.786,0.842
0.487,0.416,0.449,0.0,0.219,0.826,0.847,0.836
0.756,0.084,0.15,0.0,0.05,0.874,0.789,0.829
0.675,0.365,0.474,0.03,0.16,0.873,0.854,0.864
0.519,0.213,0.302,0.022,0.146,0.845,0.833,0.839
0.625,0.212,0.316,0.01,0.096,0.836,0.772,0.803
0.615,0.188,0.288,0.0,0.128,0.881,0.839,0.86
0.577,0.208,0.305,0.0,0.11,0.857,0.804,0.83
0.426,0.085,0.141,0.0,0.06,0.828,0.8,0.814
0.636,0.112,0.19,0.0,0.068,0.897,0.81,0.851
0.631,0.263,0.372,0.025,0.152,0.84,0.824,0.832
0.889,0.097,0.174,0.0,0.074,0.91,0.8,0.852
0.528,0.162,0.248,0.0,0.089,0.831,0.815,0.823
0.889,0.053,0.1,0.0,0.053,0.917,0.816,0.863
0.422,0.131,0.2,0.0,0.061,0.821,0.793,0.807
0.4,0.212,0.277,0.0,0.125,0.846,0.84,0.843
0.569,0.149,0.236,0.003,0.081,0.792,0.81,0.801
0.465,0.354,0.402,0.028,0.178,0.842,0.85,0.846
0.536,0.231,0.323,0.0,0.122,0.838,0.816,0.827
0.089,0.217,0.127,0.0,0.089,0.794,0.835,0.814
0.481,0.352,0.406,0.0,0.189,0.848,0.833,0.84
