rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.8,0.042,0.079,0.0,0.026,0.881,0.785,0.83
0.486,0.108,0.176,0.0,0.05,0.838,0.779,0.808
0.564,0.154,0.242,0.0,0.089,0.848,0.807,0.827
0.679,0.068,0.123,0.0,0.04,0.867,0.785,0.824
0.774,0.044,0.083,0.0,0.023,0.846,0.76,0.801
0.159,0.334,0.216,0.0,0.134,0.801,0.795,0.798
0.826,0.083,0.15,0.0,0.048,0.88,0.793,0.834
0.397,0.149,0.217,0.0,0.073,0.826,0.804,0.815
0.414,0.336,0.371,0.0,0.177,0.821,0.813,0.817
0.492,0.413,0.449,0.064,0.192,0.883,0.859,0.871
0.569,0.183,0.277,0.0,0.096,0.845,0.811,0.827
0.706,0.028,0.054,0.0,0.019,0.865,0.777,0.819
0.825,0.086,0.155,0.0,0.052,0.893,0.833,0.862
0.463,0.341,0.393,0.0,0.171,0.838,0.815,0.826
0.608,0.121,0.201,0.0,0.058,0.863,0.777,0.818
0.615,0.172,0.269,0.0,0.078,0.84,0.809,0.824
0.447,0.097,0.159,0.0,0.054,0.836,0.799,0.817
0.682,0.115,0.197,0.002,0.057,0.899,0.82,0.858
0.688,0.287,0.405,0.0,0.147,0.831,0.838,0.835
0.655,0.174,0.275,0.0,0.077,0.801,0.815,0.808
0.474,0.205,0.286,0.0,0.115,0.851,0.794,0.821
0.533,0.152,0.237,0.0,0.074,0.844,0.786,0.814
0.699,0.17,0.274,0.0,0.086,0.868,0.822,0.844
0.433,0.244,0.312,0.014,0.105,0.797,0.806,0.802
0.387,0.257,0.309,0.013,0.142,0.818,0.817,0.817
0.604,0.088,0.153,0.0,0.042,0.851,0.787,0.818
0.475,0.288,0.359,0.0,0.143,0.856,0.822,0.839
0.686,0.216,0.328,0.006,0.111,0.845,0.807,0.826
0.5,0.021,0.04,0.0,0.009,0.857,0.769,0.811
0.921,0.06,0.112,0.0,0.027,0.876,0.775,0.822
0.513,0.242,0.329,0.0,0.137,0.826,0.829,0.827
0.732,0.097,0.172,0.0,0.056,0.871,0.776,0.821
0.589,0.209,0.309,0.0,0.085,0.845,0.82,0.832
0.614,0.175,0.272,0.009,0.106,0.829,0.822,0.825
0.664,0.136,0.226,0.001,0.064,0.844,0.823,0.834
0.692,0.107,0.185,0.0,0.053,0.862,0.792,0.825
0.477,0.23,0.311,0.0,0.132,0.857,0.806,0.83
0.338,0.136,0.194,0.0,0.078,0.841,0.823,0.832
0.636,0.069,0.125,0.0,0.031,0.873,0.784,0.826
0.649,0.199,0.305,0.005,0.101,0.836,0.807,0.821
0.472,0.049,0.088,0.0,0.022,0.835,0.785,0.809
0.512,0.182,0.268,0.0,0.081,0.829,0.786,0.807
1.0,0.018,0.035,0.0,0.013,0.882,0.769,0.822
0.45,0.112,0.18,0.0,0.05,0.814,0.792,0.803
0.433,0.131,0.202,0.0,0.072,0.845,0.82,0.832
