context,decision,predicted_decision
"## Context

* Currently, the images/thumbnails inside the Storefront are not making use of any lazy loading mechanism. 
* Without a third-party extension which includes something like ""lazysizes"" it is not possible to get lazy loading images.
* Native lazy loading of images is available in current browsers, see: https://caniuse.com/?search=loading","## Decision  
We will implement native browser lazy loading for images and thumbnails in the Storefront by utilizing the standard HTML `loading=""lazy""` attribute on `<img>` tags.

This decision is based on the following rationale:

- **Simplicity and Maintainability**: Native lazy loading requires no additional JavaScript libraries or third-party dependencies, reducing bundle size, complexity, and potential points of failure.
- **Browser Support**: Modern browsers (including Chrome, Firefox, Edge, and Safari) support the `loading` attribute on `<img>` and `<iframe>` elements. According to caniuse.com, support covers over 95% of global users, which is sufficient for our current target audience.
- **Performance Gains**: Lazy loading defers the loading of offscreen images, improving initial page load time, reducing memory usage, and minimizing bandwidth consumption—especially beneficial on mobile devices and slow connections.
- **Progressive Enhancement**: For older browsers that do not support `loading=""lazy""`, the images will still load normally without any degradation in functionality (graceful degradation).
- **Alignment with Web Standards**: Using native features aligns with our goal of relying on standardized, future-proof web platform capabilities rather than external tools when feasible.

### Implementation Guidelines:
- All product images, thumbnails, and other offscreen or below-the-fold images in the Storefront must include `loading=""lazy""` unless there is a specific reason to load them immediately (e.g., hero images or images critical to above-the-fold content).
- Critical above-the-fold images should use `loading=""eager""` explicitly or omit the attribute to ensure timely loading.
- The implementation will be applied consistently across all relevant templates and components.

If future requirements demand more granular control (e.g., custom placeholders, intersection tracking), we may revisit this decision and consider lightweight enhancements—but only if justified by measurable user impact. For now, native lazy loading meets our needs effectively and efficiently.","## Decision

* We want to make use of native lazy loading for images in the Storefront without adding additional JavaScript logic."
"## Context

When using the `OneToOneAssociationField` & `ManyToOneAssociationField` associations it is possible to specify the parameter `autoload` as `true`. This causes the association to be loaded with every query, regardless of whether the data is used or not.

This is a performance issue due to unnecessary data transfer, it slows down SQL queries with extra joins, slows the application down with hydrating and data processing and finally, API payloads are larger than they need to be.","## Decision  
We will deprecate the use of `autoload: true` in `OneToOneAssociationField` and `ManyToOneAssociationField` associations by default, and discourage its usage in new code.

Rationale:
- **Performance Impact**: Enabling `autoload: true` results in implicit joins on every query, increasing database load, query latency, and memory usage.
- **Unintended Data Transfer**: Entities are eagerly loaded even when not needed, leading to unnecessary hydration and serialization overhead.
- **Poor API Efficiency**: Automatically including associated data inflates API response sizes, harming client performance and bandwidth usage.
- **Lack of Explicitness**: Autoloading hides data-fetching behavior from developers, reducing transparency and making it harder to reason about performance.

Instead, we adopt the following patterns:
1. **Explicit Loading**: Associations should be explicitly fetched only when required, using dedicated query methods or eager loading mechanisms (e.g., via query hints or explicit join declarations).
2. **Use of DTOs or Projections**: For API responses, use tailored data transfer objects or repository projections to select only the fields needed.
3. **Lazy Loading Where Appropriate**: Where supported and performant, prefer lazy loading with proper fetch planning to avoid overfetching.

Migration Plan:
- Log a deprecation warning when `autoload: true` is used.
- Update documentation to reflect recommended alternatives.
- Provide automated migration scripts or linting rules to detect and flag existing uses.
- Target removal of `autoload` in the next major version.

This decision supports our broader goals of performance, transparency, and intentional design.","## Decision

We will deprecate the usage of autoload === true in the core codebase in version 6.5. All usages in entity definitions should be removed by the time 6.6 is released.

We have introduced a new PHPStan rule which will check for any usages of autoload === true and fail if it finds any. The failures are currently ignored in the `phpstan.neon.dist` file until they can be fixed by the respective teams."
"## Context
Currently, our ADRs are grouped into folders according to different areas. We have added this structure to help people find their way around when they are looking for specific ADRs.

However, there are different approaches when searching for ADRs:
1) I am looking for an ADR and I know the headline.
2) I would like to read the latest ADRs
3) I would like to see ADRs for a specific area.
4) ...

The structuring by areas is good for case 3, but not for the other two. In the first case, the user can easily use the search via the directory to use the appropriate ADR, but will also get duplicate matches. Depending on the keyword the result can be quite long.

In the second case, I would like to read the latest ADRs, the user would have to go to git history, which is only possible via shell or IDE.","## Decision  
We will maintain the current folder-based organization of ADRs by area, as it supports domain-specific navigation and provides valuable context for contributors exploring decisions within a particular subsystem.

However, to improve discoverability and support alternative access patterns, we will introduce a centralized `README.md` file at the root of the ADR directory that serves as a dynamic index. This index will be manually curated (and updated with every new ADR) to include:

1. **A chronological list of all ADRs**, ordered by creation date (newest first), including:
   - Title
   - Date created
   - Status (proposed, accepted, rejected)
   - Area/Module
   - Link to the ADR file

2. **A searchable table of contents** organized by area, mirroring the folder structure but providing direct links.

3. **A section for recently accepted ADRs** (e.g., last 5) to highlight recent changes.

Additionally, we will adopt a consistent naming convention for ADR files:  
`<area>-<YYYYMMDD>-<short-slug>.md` (e.g., `core-20250405-routing-middleware-execution-order.md`)

This ensures:
- Easy identification from git history or filesystem listing
- Chronological sorting via filename
- Clear scoping to a module/area
- Improved searchability without duplication issues

We will also add frontmatter (YAML or equivalent) to each ADR containing metadata such as:
```yaml
status: accepted
area: core
created: 2025-04-05
modified: 2025-04-07
authors: [Alice Dev, Bob Architect]
related: [core-20250315-http-pipeline-design.md]
```

This metadata enables potential tooling in the future for generating reports, dashboards, or changelogs.

The combination of structured folders, a human-readable index, standardized naming, and embedded metadata satisfies all primary use cases:
- Known-title lookup → fast via search or index
- Browse by area → supported by folders and TOC
- See latest ADRs → visible in chronological list and ""recently accepted"" section
- Automation-friendly access → enabled by naming and metadata

All ADRs must be registered in the central index upon creation. Failure to do so will result in the PR being blocked.","## Decision

We will remove the area structure on directory level and introduce front matter in our ADRs as we already do in our changelog files. This makes it possible to extract metadata from content. Additionally, it can be used as groundwork, if we want to release our ADRs in different front-ends (handbook, dev-docs) and use the front-end's search functionalities.
With front matter and the flat file structure, you can solve all three problems described in this ADR. An example of this specific ADR would be:

```markdown
---
title: Unstructured ADRs
date: 2023-02-23
area: Product Operation #I added prod-ops because this is a workflow topic
tags: [ADR, file structure, workflow]
---
```

We also hope that this will make it easier for people to submit ADRs without being confused about which folder to put the file in."
"## Context
Our current plugin extension system for the administration is based on our Component Factory. This factory generates native Vue components at runtime based on a base Shopware component which can be extended or overwritten by plugins. This approach offers flexibility to plugin developers to modify every component. For the template part, we use Twig.JS and compile the Vue template in the client at runtime.

However, this approach has its drawbacks. We cannot use the full power of Vue and its ecosystem because everything related to Vue is wrapped with our factories and generated at runtime. We cannot use Vue tools without custom modifications, like linting template files, providing good static analysis, and more. The other downside is that upgrading Vue is challenging, and the performance suffers because we cannot precompile components.

To address these issues, we aimed to test a new idea with Vue 3, which includes all the features of the existing plugin approach, but developed using only native Vue tools. This would offer several benefits, like using the full power of Vue, better performance, better static analysis, and more.

Our main idea for the template part was to use native Vue components named sw-block that can replace the Twig.JS template part. Plugin developers can extend or overwrite the sw-block component as needed.

```html
<sw-block name=""sw-hello-world"">
<div>Hello World</div>
</sw-block>
```

For the script and logic part, we aimed to use the Composition API. Before returning all the component data and methods, we would provide a hook point for plugins so they could modify or inject everything they want.

```js
// The original component
<script setup lang=""ts"">
// Hook for providing extensibility
useExtensibility();
</script>

// The plugin component
<script lang=""ts"">
    import SwOrignal from './sw-original.vue';
    // use our extensibility helpers
    import { useComponentExtender, getPropsFromComponent } from 'sw-vue-extensbiles';
    
    const myCustomData = ref('test');
    
    export default {
        name: 'sw-extended-component',
        props: {
            ...getPropsFromComponent(SwOrignal)
        },
        setup(props, context) {
            return {
                ...useComponentExtender(SwOrignal, props, context),
                myCustomData
            }   
        }
}
</script>
```

However, during the evaluation and testing, we realized that this approach was not feasible due to several reasons. The most critical challenges were that it was hard to merge data because the Vue compiler optimizes many parts of the component, and it was not easy to pass all the data of the component to the block system to give plugin developers full access to the original component's data.

To solve these problems, we would need to use internal Vue logic, which is not update-safe and could break with every Vue update.","## Decision
We will retain the current Component Factory-based plugin extension system for the administration, despite its limitations, and instead focus on incremental improvements to mitigate its drawbacks.

The native Vue-only approach using `sw-block` and Composition API hooks was found to be infeasible due to fundamental technical constraints:
- The Vue 3 compiler's optimizations make it difficult to reliably extract and merge component internals (e.g., setup state, computed properties, lifecycle hooks).
- Achieving full extensibility would require reliance on Vue’s internal APIs, which are not part of the public contract and subject to breaking changes with any update—violating our need for stability and upgrade safety.

Instead, we will pursue the following path forward:

1. **Improve Tooling Around Runtime Generation**: Invest in enhanced developer tooling that provides better static analysis, linting, and type checking for factory-generated components. This includes developing custom ESLint plugins and IDE extensions tailored to our runtime component model.

2. **Precompile Where Possible**: Introduce build-time precompilation of component templates wherever feasible, reducing client-side compilation overhead while maintaining compatibility with dynamic plugin overrides.

3. **Stabilize and Document Extension Contracts**: Define clear, versioned extension interfaces (slots, props, events) for core components to reduce the need for deep component overriding and improve plugin compatibility across versions.

4. **Explore Hybrid Approaches for Future Versions**: Continue researching alternative architectures—such as module federation or compile-time macro systems—that could enable true native Vue component extension without sacrificing safety or performance, targeting potential adoption in future major releases.

This decision prioritizes long-term maintainability, framework upgrade resilience, and ecosystem compatibility over idealized developer experience trade-offs that carry unacceptable technical risk.","## Decision
After considering the challenges we faced with the proposed solution, we concluded that we couldn't find solutions without using internal Vue logic. Given this situation, we did not see any significant benefits to adopting a native Vue solution over our current plugin system, which, despite its challenges, has proven to work well for our use case.

Therefore, we decided to stick with our current plugin system for the administration until new possibilities arise in Vue that solve our problems."
"## Context
The current workflow for writing technical changelog is not very suited for a trunk based development and branching process. There are some major issues with the current workflow of using one file with a fixed version number:

*  Unnecessary merge conflicts in the changelog file
*  Uncertainty about the correct release version of the change
*  Differences between the issue state in Jira and the code state

To tackle these issues the technique for writing technical changelog and upgrade information, should be changed to a single solution, which is easy to understand and maintain by developers.","## Decision  
We will adopt a **fragment-based changelog** workflow to address the limitations of maintaining a single monolithic changelog file under trunk-based development.

Instead of editing a central `CHANGELOG.md` directly, contributors will create small, atomic changelog fragments for each change they make. These fragments will be stored in a dedicated directory (e.g., `changelog.d/`) and named using the convention: `<issue-id>.<change-type>.md`, where:

- `<issue-id>` corresponds to the tracking identifier (e.g., Jira ticket ID)
- `<change-type>` is one of:
  - `added`
  - `changed`
  - `deprecated`
  - `removed`
  - `fixed`
  - `security`

Each fragment should contain a concise, user-focused description of the change written in Markdown, suitable for inclusion in a release note.

At release time, a tool will automatically aggregate these fragments into a structured `CHANGELOG.md`, grouped by version and change type, and remove consumed fragments (or archive them) after processing.

This approach provides the following benefits:
- Eliminates merge conflicts on the main changelog file
- Decouples writing change descriptions from knowing the final release version
- Ensures every change is documented with a traceable link to its issue tracker
- Supports automation of changelog generation and cleanup
- Maintains clarity and consistency for both developers and users

To support this workflow, we will provide:
- A template for new fragments
- CLI tooling or build integration to validate, collect, and render fragments
- Clear contribution guidelines explaining when and how to add fragments

This decision applies to all Arachne modules and core projects.","## Decision
The changelog and upgrade files for a release should be autogenerated in the build process of the release. Developers should write technical changelog and upgrade information in separate markdown files."
"## Context

The actions in Flow Builder are listening for Business Events. We want to implement the flow DelayAction in Flow Builder,
that means the actions can be delayed, and will be executed after  a set amount of time.
But we have some problems after the action was delayed:
* Events may contain old data, that data may be updated during the delay, and currently we don't have any way to restore
    the data.
* After a delay the rules have to be re-evaluated, but the data in the rules could be outdated or changed, so the rules
    have to be reloaded as well. Or the rules do not exist anymore.","## Decision  
We will implement the `DelayAction` in Flow Builder by decoupling the execution context from the original event data and instead capturing a snapshot of relevant data and rules at the time of delay initiation. This ensures that delayed actions operate on consistent, versioned information rather than potentially stale or missing runtime state.

The solution consists of the following components:

1. **Execution Context Snapshotting**:  
   When a `DelayAction` is triggered, the system will create a serialized snapshot of:
   - The relevant portion of the event data required by downstream actions.
   - The specific business rules and conditions associated with the flow at that moment.
   - Metadata including schema versions, rule identifiers, timestamps, and TTL for the snapshot.

   This snapshot will be stored externally in a durable, transient storage layer (e.g., a time-to-live-enabled store like Redis or a persistent queue with retention).

2. **Rule and Data Versioning**:  
   Business rules must be versioned immutably. Each rule evaluation reference within the snapshot will include a rule version identifier. This prevents failures due to deleted or modified rules during the delay period.

3. **Rehydration at Execution Time**:  
   Upon expiration of the delay:
   - The system retrieves the snapshot.
   - It validates the integrity and freshness of the data and rules against current schemas (using version compatibility checks).
   - If validation passes, the flow resumes using the snapshot’s data and rules.
   - If validation fails (e.g., incompatible schema changes), the action is not executed and an alert is raised for manual review or automated fallback handling.

4. **Eventual Consistency & Observability**:  
   A monitoring mechanism will track delayed actions, their snapshots, and final dispatch status. Operators can inspect, retry, or cancel pending delayed executions.

5. **Developer Transparency**:  
   Flow designers must explicitly opt into data inclusion for delayed actions, promoting awareness of what data is being captured and for how long—supporting both performance and privacy considerations.

This approach maintains consistency, avoids reliance on volatile runtime state, and aligns with principles of predictable, auditable workflow execution. Future extensions may allow dynamic data refresh policies (e.g., ""merge latest customer data before executing""), but the default behavior will prioritize deterministic repeatability over live data.","## Decision

We would need to detach the Event System and the Flow System from each other, thus removing the dependency on the runtime objects within an event.
Meaning the Actions must not have access to the original Events.

We would create a class `StorableFlow`, that can store the data in the original event as scalar values, and restore the original data based on this stored data.
```php
class StorableFlow
{
    // contains the scalar values based on the original events
    // $store can be serialized and used to restore the object data
    protected array $store = [];
    
    // contains the restored object data like the data we defined in the `availableData` in original events 
    // $data can not be serialized, but can be restored from $store
    protected array $data = [];
      
    public function __construct(array $store = [], array $data = [])
    {
        $this->store = $store;
        $this->data = $data;
    }
    
    // This method will be called in each `Storer` to store the representation of data
    public function setStore(string $key, $value) {
        $this->store[$key] = $value;
    }
    
    public function getStore(string $key) {
        return $this->store[$key];
    }
    
    // After we restored the data in `Storer`, we can set the data, we'll use `$this->data` instead getter data on original event
    public function setData(string $key, $value) {
        $this->data[$key] = $value;
    }
    
    public function getData(string $key) {
        return $this->data[$key];
    }
}
```

The `StorableFlow` class will be use on Flow Builder:

Before:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // Currently, dispatch on Flow Builder use the original event to execute the Flow 
        $this->callFlowExecutor($event);
        ...
    }
}
```

After:

```php
class FlowDispatcher 
{
    public function dispatch(Event $event) {
        ...
        // The `FlowFactory` will create/restore the `StorableFlow` from original event
        $flow = $this->flowFactory->create($event);
        // use the `StorableFlow` to execute the flow builder actions instead of the original events
        $this->execute($flow);
        ...
    }
}
```

* Flow Builder actions may no longer access the original event.
* Each Aware Interface gets its own `Storer` class to restore the data of Aware, so we have many `Storer` like `OrderStorer`, `MailStorer`, `CustomerStorer` ...
* The main task of a `Storer` is to restore the data from a scalar storage.
* The `Storer` provides a store function, in order to store itself the data, in order restore the object
* The `Storer` provides a restore function to restore the object using the store data.

```php
interface FlowStorer {}
```
Example for `OrderStorer`:

```php
class OrderStorer implements FlowStorer
{
    // This function to check the original event is the instanceof Aware interface, and store the representation.
    public function store(FlowEventAware $event, array $storedData): array 
    {
        if ($event instanceof OrderAware) {
            $storedData['orderId'] = $event->getOrderId();
        }
        
        return $storedData;
    }
    
    // This function is restore the data based on representation in `storedData`
    public function restore(StorableFlow $flow): void
    {
        if ($flow->hasStore('orderId')) {
            // allows to provide a closure for lazy data loading
            // this opens the opportunity to have lazy loading for big data
            // When we load the entity, we need to add the necessary associations for each entity
            $flow->lazy('order', [$this, 'load']);    
        }
        ...
    }
}
```

About the additional data defined in `availableData` in original events, that aren't defined in any Aware Interfaces and we can't restore that data in the `Storer`.
To cover the additional data from original events, we will have another `store` `AdditionalStorer` to store those data.
```php
class AdditionalStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $storedData)
    {
        ...
        // based on the `getAvailableData` in the original event to get the type of additional data
        $additionalDataTypes = $event::getAvailableData()->toArray();
        
        foreach ($additionalDataTypes as $key => $eventData) {
            // Check if the type of data is Entity or EntityCollection
            // in the $storedData, we only store the presentation like ['id' => id, 'entity' => entity], we'll restore the data in `AdditionalStorer::restore`
            if ($eventData['type'] === 'Entity' || 'EntityCollection') {
                $storedData[$key] = [
                    'id' => $event->getId(),
                    'entity' => Entity                 
                ];
            }
            
            // Check if the type of data is ScalarValueType
            if ($eventData['type'] === ScalarValueType) {
                $storedData[$key] = value
            }
            
            // start to implement /Serializable for ObjectType
            if ($eventData['type'] === ObjectType) {
                $storedData[$key] = value->serialize()
            }
            
            ...
        }
        
        ... 
        
        return $storedData;
    }
      
    // this function  make sure we can restore the additional data from original data are not covered in `Storer`
    // The additional data can be other entity, because the entities we defined in Aware interface like `order`, `customer` ... covered be `Storer`
    public function restore(StorableFlow $flow): void
    {
        if (type === entity) {
            // About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this
            $flow->setData($key, $this->load());
        } else {
            $flow->setData($key, $flow->getStore($key));
        }
        ...
    }
}
```

About the associations for entity data, mostly the additional entity data is the base entity, we don't need to add associations for this.
About the `ObjectType` data, we enforce all values used in ObjectType implement /Serializable, and serialize the object before store to `$storedData`.

* Flow Builder actions only work with the `StorableFlow` instead of the `FlowEvent`. The `StorableFlow` will restore the data from original events via `Storer`,
  and the Actions can get the data via `getData($key)` from `StorableFlow` instead of `getAvailableData` from original events.

Before, in the flow actions still dependency Aware interfaces:

```php
    public function handle(StorableFlow $event) {
        ...
        $baseEvent = $event->getEvent();
    
        if ($baseEvent instanceof CustomerAware) {
            $customerId= $baseEvent->getCustomerId();
        }
        ...
    }
```
After in the flow actions:
```php
    public function handle(StorableFlow $event) {
        ...
        if ($event->hasStore('customerId') {
            $customerId= $event->getStore('customerId');
        }
        ...
    }
```

* `getAvailableData` must NOT be responsible for the access of the data.
* To create new or restore the `StorableFlow` by on the existing stored data, we need to provider the `FlowFactory`.
```php
class FlowFactory
{    
    ...
    public function create(FlowEventAware $event)
    {
        $storedData = [];
        foreach ($this->storer as $storer) {
            // Storer are responsible to move the corresponding 
            // data from the original event 
            $storer->store($event, $storedData);
        }
        
        return $this->restore($storedData);
    }
  
    public function restore(array $stored = [], array $data = [])
    {
        $flow = new StorableFlow($stored, $data);
      
        foreach ($this->storer as $storer) {
            $storer->restore($flow);
        }
  
        return $flow;
    }
    ...
}
```
But when executing a delayed actions, we won't have a `StorableFlow`, we just have the `$stored` from the previously stored `StorableFlow`,
and based on the `$stored`, we can restore a new `StorableFlow`.

Example in Delay Actions:

```php
// In handler delay actions -> put the actions to `queue`
$stored = json_encode($flow->stored());

$connection->executeStatement('INSERT INTO `swag_delay_action` (store) VALUES (:stored)...', ['stored' => $stored]);
```

```php
// In handler execute delay actions
$stored = 'SELECT store FROM `swag_delay_action` .... ';

$flow = $this->flowFactory->restore(json_decode($stored));
```"
"## Context

We need a different extension mechanism besides the well known plugins, that works in cloud and on-prem environments in the same way.
That's why we envisioned the app system, currently publicly available as a [plugin](https://github.com/shopware/app-system).
We were able to quickly develop the app system, gather feedback and iterate over ideas without being bound to the strict release workflow of the shopware platform.
That was the reason why we started working on the app system as a plugin in the first place.

Now as the app system matured, it is time to integrate the app system back into the platform.
This has the following benefits:
* It sends the signal to partners and potential app manufacturers that the app system is stable
* Partners / app manufacturers can rely on the shopware 6 release cycle and the according upgrade process
* Users don't need to install an extra plugin in order to use apps","## Decision 
We will integrate the app system directly into the Shopware 6 platform core, deprecating its previous distribution as a standalone plugin.

This integration ensures that the app system is universally available across all deployment environments—cloud and on-premises—without requiring additional installation steps. By embedding the app system into the core platform, we reinforce its status as a first-class, stable extension mechanism and align it with the standard release, upgrade, and support cycles of Shopware 6.

The migration path will include:
1. Full incorporation of the app system’s codebase into the main platform repository under a dedicated module namespace.
2. Deprecation of the standalone app-system plugin, with clear end-of-life communication to existing users.
3. Backward-compatible interfaces during transition, ensuring existing apps continue to function without modification.
4. Documentation updates to reflect the app system as a native platform feature, including developer guides and onboarding materials.

This decision supports long-term maintainability, improves developer and user experience, and strengthens ecosystem confidence in the app system as the primary extensibility model for Shopware.","## Decision

We will migrate the existing app system from the [plugin](https://github.com/shopware/app-system) into the platform. The app system will be part of the core bundle, analogous to the plugin system.
It will be moved to the `Shopware\Core\Framework\App` namespace."
"## Context
At the moment we have a bunch of different `FlowStorer` implementations. Most of them are used to store scalar values without any restore logic. Each of the Storer class has an own interface which is used to identify if the data of the event should be stored. This leads to much boilerplate code when adding new storer implementations or when plugins want to bypass some for events.","## Decision  
We will consolidate all `FlowStorer` implementations into a single, unified interface with a pluggable strategy pattern for storage and restoration behavior. Instead of requiring a unique interface per storer type, we will define one core `FlowStorer` interface that supports:

- Storing scalar values and structured data
- Optional restore logic (with a default no-op implementation)
- Metadata-driven registration so plugins can conditionally apply or bypass storers based on event type, context, or configuration

The new design will include:
1. A central registry of storer strategies, each identified by a keyword or type tag.
2. A generic `store` method that dispatches based on the registered strategy and associated predicates.
3. Default lightweight wrappers for simple scalar storage (eliminating boilerplate for common cases).
4. Extension points allowing plugins to register new strategies or modify application rules without inheritance or interface proliferation.

This reduces redundancy, improves extensibility, and enables declarative control over storage behavior through configuration rather than code. New storers can be added without changing core interfaces, and plugins gain fine-grained control over which events are handled by which storers.","## Decision

We introduce a generic `ScalarValuesAware` interface which can be used to store simple values which should be simply stored and restored one to one:

```php
interface ScalarValuesAware
{
    public const STORE_VALUES = 'scalar_values';
    
    /** @return array<string, scalar|null|array> */
    public function getValues(): array;
}
```

This event can be used in different events which needs a simple storage logic:

```php
class SomeFlowAwareEvent extends Event implements ScalarStoreAware, FlowEventAware
{
    public function __construct(private readonly string $url) { }

    public function getValues(): array
    {
        return ['url' => $this->url];
    }
}
```

To store and restore this data, we provide a simple `FlowStorer` implementation:

```php

class ScalarValuesStorer extends FlowStorer
{
    public function store(FlowEventAware $event, array $stored): array
    {
        if (!$event instanceof ScalarValuesAware) return $stored

        $stored[ScalarValuesAware::STORE_VALUES] = $event->getValues();

        return $stored;
    }

    public function restore(StorableFlow $storable): void
    {
        $values = $storable->getStore(ScalarValuesAware::STORE_VALUES);
        foreach ($values as $key => $value) {
            $storable->setData($key, $value);
        }
    }
}
```"
"## Context
The current sw-text-editor in the administration has numerous low-level bugs in basic WYSIWYG features. It is built in a
way that is difficult to maintain and understand. Therefore, we require a new text editor that is easy to maintain, has
a good feature set, is flexible to extend and more stable.","## Decision  
We will replace the current `sw-text-editor` in the administration interface with a modern, well-maintained WYSIWYG editor framework that is built on a solid architectural foundation, actively supported, and designed for extensibility and stability.

After evaluating several candidates (including **Slate.js**, **ProseMirror**, **Tiptap**, and **Quill**), we have chosen **Tiptap** as the basis for the new text editor. Tiptap offers the following advantages:

- **Modular architecture**: Built on ProseMirror, it provides a reliable and semantically correct document model while exposing a plugin-based system that allows us to compose functionality cleanly.
- **Excellent maintainability**: The codebase is well-documented, widely adopted, and actively maintained by a dedicated team.
- **Extensibility**: Custom nodes, marks, and commands can be implemented in a declarative, composable way—aligning well with functional programming principles.
- **Stability**: It avoids direct DOM manipulation, instead using a structured document model which reduces bugs related to contenteditable inconsistencies.
- **Developer experience**: Strong TypeScript support, clear API, and extensive documentation make it easier for new contributors to understand and extend.
- **Integration flexibility**: Runs in standard browser environments without requiring special build steps or non-standard runtimes, making it compatible with our existing frontend stack.

The new editor will:
- Be implemented as a modular component, allowing reuse across different parts of the administration UI.
- Represent editable content and configuration as structured data where possible, enabling introspection and alignment with Arachne’s “everything is data” philosophy.
- Avoid tight coupling to global state or Clojure runtime constructs; instead, it will communicate via well-defined interfaces and data payloads.

During implementation, an Architecture Decision Record (ADR) will be created to formalize this decision, document alternatives considered, and record the rationale. This ADR will be proposed, reviewed by the steering group, and accepted before any major implementation work begins.

Additionally, we will design an abstraction layer between the ClojureScript application logic and the Tiptap instance to minimize direct JavaScript interop and allow for future replacement if needed. This maintains transparency, supports hot reloading, and prevents entanglement with the Clojure runtime.","## Decision
Building a new text editor from scratch is not a viable option. Therefore, we have evaluated various existing text 
editors and narrowed down our options to the following:

    - CKEditor 5
    - TinyMCE
    - QuillJS
    - Prosemirror
    - TipTap V2
    - Lexical

We have decided to skip CKEditor 5 and TinyMCE because they require a license for our use case and are not 100% open
source. Prosemirror was also ruled out because it provides only a low-level API and requires much more implementation 
time than the other editors. Additionally, Lexical is not a valid option for us since it is specialized for React 
environments and has no official support for VueJS.

The remaining two editors are TipTap V2 and QuillJS. Both have similar feature sets and APIs, but we have found some 
major differences between them. The first difference is that TipTap is a headless editor, which means that it only
provides the editor logic and requires a UI implementation. QuillJS, on the other hand, is a fully featured editor that
provides a UI out of the box. In our case, it is better to use a headless editor like TipTap because we can implement 
the UI to fit our needs, especially for several edge cases that are hard to implement in QuillJS.

The second major difference is in extensibility. TipTap's API is more flexible, allowing us to implement our own
features using the existing TipTap and ProseMirror plugins or build our own plugins. In most cases, the powerful main
TipTap API can already solve most of our use cases. QuillJS, on the other hand, is not as flexible as TipTap, and its
extension system is more complicated to use.

The third big difference is in stability. We found that TipTap is more stable than QuillJS, probably because TipTap is 
built on top of ProseMirror, which is a very stable and well-tested editor. Although QuillJS is also generally stable,
other developers have reported some issues with it in the past.

Our main decision driver was the extensibility of the editor. We want a text editor that is easy to extend and allows us
to implement our own features. TipTap provides a powerful extension system that is easy to use, and we can implement our
design without overwriting an existing design of other editors. Therefore, we have decided to use TipTap as the base of
our new text editor."
"## Context
The current implementation of the salutation in Shopware 6 needs to handle cases where the salutation is not specified by the customer or administrator. To address this requirement and promote inclusivity, we have updated the default salutation to ""not_specified"" for unspecified salutations in our Shopware 6 platform.","## Decision
We will update the default salutation in Shopware 6 to ""not_specified"" to explicitly represent cases where the customer or administrator does not provide a salutation. This change supports inclusivity by avoiding assumptions about gender, title, or form of address, and ensures data integrity by clearly distinguishing unspecified salutations from other values.

The ""not_specified"" value will be treated as a first-class salutation option throughout the system, including in:
- Customer registration and profile forms
- Admin backend user interfaces
- Email templating and communication systems
- API responses and payloads
- Database schema and migrations

Existing implementations must gracefully handle this new default, particularly in frontend templates and third-party integrations. Documentation and developer guides will be updated to reflect this change, and translation files will include appropriate localized labels for ""not_specified"" in all supported languages.

Custom themes and plugins are expected to support this value through conditional logic or generic addressing (e.g., using the customer's first name only when salutation is ""not_specified"").","## Decision
We have modified the existing salutation handling in Shopware 6 to update the default value to ""not_specified"" when the salutation is null. This decision was made based on the following considerations:

* Inclusivity: By offering a default salutation of ""not_specified"" for null values, we promote inclusivity and ensure that all customers are appropriately addressed, even when salutation data is missing.
* Customer Experience: Providing a default salutation ensures consistency in customer communications and prevents any confusion or misinterpretation when a salutation is not explicitly specified.
* Non-Deletable Default Salutation: It has been decided that the ""not_specified"" salutation, being the default value for unspecified salutations, should not be deletable by the shop owner. This ensures that there is always a fallback option available, guaranteeing a consistent experience for customers."
