rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.889,0.101,0.182,0.001,0.103,0.941,0.838,0.886
1.0,0.015,0.03,0.0,0.038,0.928,0.755,0.833
1.0,0.005,0.009,0.0,0.01,0.914,0.739,0.817
0.257,0.298,0.276,0.0,0.142,0.809,0.834,0.821
0.054,0.4,0.095,0.0,0.126,0.765,0.858,0.809
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.317,0.218,0.259,0.0,0.13,0.844,0.85,0.847
0.235,0.176,0.202,0.0,0.123,0.756,0.834,0.793
0.286,0.515,0.368,0.0,0.218,0.816,0.858,0.836
0.273,0.443,0.338,0.0,0.253,0.843,0.86,0.851
1.0,0.009,0.018,0.0,0.01,0.933,0.771,0.844
0.382,0.42,0.4,0.0,0.213,0.803,0.85,0.826
0.318,0.467,0.378,0.0,0.189,0.811,0.878,0.843
0.592,0.287,0.387,0.0,0.179,0.849,0.851,0.85
0.252,0.453,0.324,0.0,0.198,0.82,0.84,0.83
0.21,0.345,0.261,0.0,0.248,0.824,0.842,0.833
1.0,0.011,0.023,0.0,0.025,0.927,0.773,0.843
1.0,0.011,0.022,0.0,0.024,0.877,0.776,0.823
1.0,0.011,0.023,0.0,0.026,0.884,0.749,0.811
1.0,0.008,0.015,0.0,0.016,0.91,0.769,0.834
0.219,0.547,0.312,0.0,0.26,0.823,0.885,0.853
1.0,0.013,0.026,0.0,0.026,0.93,0.762,0.837
0.444,0.343,0.387,0.0,0.173,0.807,0.846,0.826
0.535,0.365,0.434,0.0,0.17,0.856,0.867,0.862
0.238,0.432,0.307,0.0,0.19,0.815,0.844,0.829
1.0,0.007,0.014,0.0,0.016,0.908,0.761,0.828
0.353,0.25,0.293,0.0,0.189,0.852,0.839,0.846
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.364,0.104,0.162,0.0,0.097,0.868,0.826,0.847
0.174,0.356,0.234,0.0,0.197,0.784,0.834,0.808
0.324,0.5,0.393,0.038,0.239,0.817,0.864,0.84
0.236,0.167,0.195,0.0,0.093,0.733,0.814,0.772
0.362,0.212,0.268,0.0,0.147,0.84,0.847,0.844
0.271,0.279,0.275,0.0,0.179,0.833,0.862,0.847
0.179,0.262,0.212,0.0,0.126,0.794,0.838,0.815
0.154,0.474,0.233,0.0,0.211,0.801,0.849,0.824
0.248,0.309,0.275,0.0,0.207,0.818,0.842,0.83
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0,0.0,0.0,0.0,0.0
0.38,0.326,0.351,0.0,0.191,0.858,0.853,0.856
0.169,0.145,0.156,0.0,0.082,0.797,0.84,0.818
0.538,0.184,0.275,0.0,0.151,0.865,0.847,0.856
0.286,0.18,0.221,0.0,0.102,0.846,0.831,0.838
0.217,0.085,0.122,0.0,0.093,0.831,0.848,0.839
0.241,0.1,0.141,0.0,0.09,0.865,0.843,0.854
0.328,0.188,0.239,0.0,0.138,0.853,0.835,0.844
0.643,0.167,0.265,0.0,0.103,0.884,0.834,0.859
0.286,0.1,0.148,0.0,0.076,0.871,0.855,0.863
0.254,0.296,0.273,0.0,0.167,0.823,0.82,0.822
0.188,0.074,0.106,0.0,0.064,0.833,0.839,0.836
0.483,0.146,0.224,0.0,0.101,0.847,0.838,0.842
0.217,0.055,0.088,0.0,0.058,0.837,0.824,0.83
0.478,0.12,0.191,0.0,0.076,0.837,0.822,0.829
0.522,0.154,0.238,0.0,0.088,0.857,0.831,0.844
0.6,0.241,0.344,0.061,0.201,0.887,0.867,0.877
0.556,0.066,0.118,0.001,0.049,0.854,0.78,0.816
0.2,0.102,0.135,0.0,0.074,0.825,0.816,0.821
0.526,0.179,0.267,0.0,0.133,0.849,0.749,0.796
0.353,0.109,0.167,0.0,0.122,0.843,0.826,0.835
0.588,0.192,0.29,0.0,0.186,0.878,0.843,0.86
0.571,0.267,0.364,0.0,0.129,0.882,0.852,0.867
0.308,0.125,0.178,0.0,0.079,0.832,0.82,0.826
0.375,0.135,0.198,0.0,0.093,0.811,0.831,0.821
0.5,0.269,0.35,0.0,0.135,0.853,0.835,0.844
0.19,0.345,0.245,0.0,0.226,0.839,0.861,0.85
0.409,0.231,0.295,0.0,0.177,0.848,0.825,0.836
0.231,0.058,0.092,0.0,0.065,0.873,0.83,0.851
1.0,0.012,0.024,0.0,0.031,0.921,0.759,0.833
0.457,0.195,0.274,0.0,0.1,0.867,0.845,0.856
0.421,0.148,0.219,0.0,0.102,0.859,0.834,0.846
0.28,0.074,0.117,0.0,0.056,0.822,0.826,0.824
0.594,0.124,0.205,0.0,0.075,0.851,0.815,0.832
0.267,0.287,0.277,0.0,0.125,0.842,0.85,0.846
0.383,0.286,0.327,0.0,0.152,0.821,0.828,0.825
0.457,0.153,0.229,0.0,0.096,0.829,0.814,0.821
0.494,0.206,0.291,0.0,0.109,0.861,0.834,0.847
0.19,0.574,0.285,0.0,0.264,0.832,0.856,0.844
0.155,0.552,0.243,0.0,0.244,0.805,0.855,0.829
0.232,0.297,0.26,0.0,0.166,0.848,0.852,0.85
0.298,0.282,0.29,0.0,0.171,0.809,0.833,0.821
0.224,0.39,0.284,0.0,0.173,0.846,0.844,0.845
0.417,0.32,0.362,0.0,0.154,0.855,0.833,0.844
0.385,0.339,0.36,0.0,0.2,0.851,0.855,0.853
0.421,0.182,0.254,0.0,0.139,0.874,0.839,0.856
0.391,0.29,0.333,0.0,0.18,0.851,0.846,0.849
0.19,0.378,0.253,0.0,0.16,0.825,0.837,0.831
0.462,0.262,0.335,0.0,0.159,0.855,0.822,0.838
0.239,0.515,0.327,0.0,0.231,0.819,0.857,0.837
0.155,0.36,0.217,0.0,0.168,0.833,0.857,0.845
0.161,0.592,0.254,0.0,0.245,0.784,0.864,0.822
0.291,0.258,0.274,0.0,0.113,0.81,0.84,0.824
0.494,0.178,0.262,0.0,0.095,0.854,0.833,0.844
0.548,0.224,0.318,0.0,0.16,0.879,0.852,0.865
0.142,0.646,0.233,0.0,0.226,0.772,0.862,0.814
0.229,0.338,0.273,0.0,0.209,0.828,0.865,0.846
0.458,0.308,0.368,0.0,0.16,0.868,0.848,0.858
0.236,0.349,0.282,0.0,0.173,0.856,0.85,0.853
0.25,0.294,0.27,0.0,0.192,0.832,0.835,0.833
