context,decision,predicted_decision
"## Context

Primer React components was originally released without TypeScript type definitions, making it difficult for engineers to consume the library in TypeScript applications. In [July 2019](https://github.com/primer/react/commit/2983c935ea9ad600c04078adb25e40c3624c11fa#diff-7aa4473ede4abd9ec099e87fec67fd57afafaf39e05d493ab4533acc38547eb8), we created an [ambient declaration](https://www.geeksforgeeks.org/typescript-ambients-declaration/) file (`index.d.ts`) file to provide type definitions for TypeScript applications without having to rewrite Primer React components in TypeScript.

`index.d.ts` has been an effective stopgap, enabling teams to build complex applications with Primer React components and TypeScript. However, because `index.d.ts` is disconnected from the implementation code, we've struggled to keep the type definitions up-to-date and accurate, as evidenced by [many](https://github.com/primer/react/issues/906) [TypeScript](https://github.com/primer/react/issues/540) [bug](https://github.com/primer/react/issues/520) [reports](https://github.com/primer/react/issues/534). As the library continues to grow in size and complexity, manually maintaining type definitions will become unsustainable.","## Decision 
## Decision

We will migrate Primer React components to TypeScript by incrementally rewriting the source files from JavaScript to TypeScript. This approach ensures that type definitions are co-located with implementation code, improving accuracy, maintainability, and developer confidence.

The migration will follow these principles:

1. **Incremental Adoption**: Components will be converted file-by-file to minimize risk and allow for continuous integration. Each converted file will include explicit types for props, state, and return values.
2. **Type Safety First**: During conversion, we will prioritize correct and comprehensive typing over syntactic cleanliness, ensuring public APIs are accurately represented.
3. **Remove Ambient Declarations**: Once all components are migrated, the standalone `index.d.ts` file will be removed in favor of generated type declaration files (`*.d.ts`) from the TypeScript compiler.
4. **Enforce Type Checks in CI**: The build process will enforce type checking, preventing new type-related regressions.
5. **Support Mixed Codebase During Transition**: The build system will be configured to handle both `.js` and `.ts/.tsx` files during the transition period using tools like `tsc` with `allowJs: true`.

This decision ensures long-term sustainability of the library in a TypeScript-first ecosystem while reducing the maintenance burden caused by out-of-sync type definitions.","## Decision

We will rewrite Primer React components in TypeScript."
"## Context

Throughout the last few years folks from the Design Infrastructure, Web Systems, and UI Platform teams have discussed the idea of using custom elements for behaviors in Primer React. The main goal of using custom elements in Primer React is to be able to author behaviors once and reuse them in any framework. Several experiments have been conducted which are listed above.","## Decision 
We will use custom elements for behaviors in Primer React to enable framework-agnostic reuse of interactive behaviors. This approach allows us to author behavior once as a custom element and integrate it consistently across different frameworks, improving maintainability and ensuring uniform user experience. We will formalize patterns for creating and consuming these custom elements within Primer React components.",## Decision
"## Context

Our component prop APIs have, at times been a bit of a mess. We've seen:

- Implicit conventions not documented anywhere but consistently reflected in our code (e.g., the type of the `sx` prop)
- Explicit plans to change some of those (e.g., the deprecation of Styled System props)
- Inconsistencies in our implementation (e.g., when components accept a `ref` prop)

This ADR aims to unify some of these conversations about prop APIs, codify our decisions, and sequence the work to get there.","## Decision 
## Decision

We standardize component prop APIs with the following guidelines:

- **Use explicit, documented prop interfaces**: All component props must be explicitly typed and documented in a shared TypeScript definition file or interface.
- **Deprecate Styled System props**: We formally deprecate the use of Styled System shorthand props (e.g., margin, padding props as strings) in favor of explicit `sx` or `style` objects that align with CSS-in-JS best practices.
- **Standardize `sx` prop typing**: The `sx` prop must conform to a unified `SxProps` type that supports theme-aware, responsive, and accessible styling across all components.
- **Ref forwarding via `ref`**: Only stateful or container components (e.g., `Input`, `Modal`) should accept a `ref` prop, and it must be implemented using React’s `forwardRef`. Stateless components should not expose `ref`.
- **Enforce consistency via linting**: Introduce ESLint rules to flag non-compliant prop usage and deprecated patterns.

These decisions will be rolled out in phases, starting with documentation updates, followed by codemods for deprecation warnings, and eventual removal of legacy patterns in the next major version.",## Decision
"## Context

In Primer React and consuming applications, we use many different patterns for creating React components. Two common patterns are:

1. Creating components with styled-components

   ```tsx
   const Avatar = styled.img.attrs<StyledAvatarProps>(props => ({
     height: props.size,
     width: props.size,
   }))<StyledAvatarProps>`
     display: inline-block;
     overflow: hidden;
     line-height: ${get('lineHeights.condensedUltra')};
     border-radius: ${props => getBorderRadius(props)};
     ${sx}
   `
   ```

   [Show full code example ÃÂ¡ÃÂº](https://github.com/primer/react/pull/2019/files?diff=split&w=0)

2. Creating components with Box

   ```tsx
   const Avatar: React.FC<AvatarProps> = ({size = 20, alt = '', square = false, sx = {}, ...props}) => {
     const styles: BetterSystemStyleObject = {
       display: 'inline-block',
       overflow: 'hidden',
       lineHeight: 'condensedUltra',
       borderRadius: getBorderRadius({size, square}),
     }

     return (
       <Box
         as=""img""
         alt={alt}
         sx={merge<BetterSystemStyleObject>(styles, sx)} // styles needs to merge with props.sx
         {...props}
       />
     )
   }
   ```

   [Show full code example ÃÂ¡ÃÂº](https://github.com/primer/react/pull/2019/files?diff=split&w=0)

&nbsp;","## Decision 
## Decision

We will standardize on using **Box with `sx` prop** as the preferred pattern for creating React components in Primer React and consuming applications.

### Rationale:
- **Consistency**: Using Box provides a uniform API across components, making code easier to read and maintain.
- **Theming Support**: The `sx` prop integrates seamlessly with our design system and theme object, enabling consistent spacing, typography, and responsive styles.
- **Flexibility**: Box supports the `as` prop, allowing us to change the underlying HTML element without rewriting styling logic.
- **Reduced Complexity**: Avoids the need for styled-components' template literals and attribute forwarding, reducing cognitive load and potential bugs.
- **Easier Composition**: Merging styles via `merge` or direct `sx` object composition is more predictable than CSS-in-JS cascade behavior.

### Migration Plan:
- New components will be implemented using the Box pattern.
- Existing styled-components will be migrated incrementally during component updates or refactors.
- Documentation and component templates will reflect the new standard.

Styled-components usage will be discouraged for new development unless there is a compelling reason (e.g., complex dynamic styling not feasible with `sx`).","## Decision

Prefer using method #2: Creating components with Box for the following reasons:

- Better authoring experience with Typescript. With Box, we can improve the API and autocomplete for consuming primitives. [See research](https://github.com/github/primer/discussions/755#discussioncomment-2318144)
- The styling library (i.e. styled-components) becomes an implementation detail and can be changed later with minimal breaking changes for consumers. (Avoids leaky abstractions)
- We have had issues with exporting types, we can increase confidence by keeping the exported types close to what we author.

See diff for moving Avatar from approach 1 to 2: https://github.com/primer/react/pull/2019/files?diff=split&w=0"
,Please provide the context for which you'd like me to generate an Architecture Decision Record (ADR) or decision.,"## Decision:

1. Prefer using children for ÃÂ¡ÃÂ°contentÃÂ¡ÃÂ±

2. For composite components, the API should be decided by how much customisation is available for children.

For components that have design decisions baked in, should use strict props. For example, the color of the icon inside a Button component is decided by the `variant` prop on the Button. The API does not allow for changing that.

```jsx
<Button variant=""danger"" leadingIcon={TrashIcon}>
  Delete branch
</Button>
```

On the other hand, if we want consumers to have more control over children, a composite API is the better choice.

```jsx
<ActionList.Item>
  <ActionList.LeadingVisual>
    <Avatar src=""https://github.com/mona.png"" />
  <ActionList.LeadingVisual>
  mona
</ActionList.Item>
```"
"## Context

As we work on maturity of our components, we will sometimes need to build components in a parallel track/bundle without breaking existing components. Eventually, the new components would replace the old ones in the main bundle.","## Decision  
## Decision

We will adopt a dual-bundle development strategy to enable parallel evolution of components without disrupting existing functionality. New or refactored components will be developed and shipped in a separate, opt-in bundle (e.g., `components-next` or `experimental`). This allows teams to adopt matured components incrementally while the stable main bundle remains unchanged.

The experimental bundle will:
- Coexist with the main component bundle
- Be versioned independently but aligned with the main release cycle
- Include clear documentation and deprecation warnings when components are marked for promotion
- Be built and tested using the same tooling and quality gates as the main bundle

Once components reach sufficient maturity, stability, and adoption, they will be promoted into the main bundle with proper deprecation cycles for the legacy versions. This approach ensures backward compatibility, reduces risk, and supports a smooth migration path.",
"## Context

`Drafts` were introduced in [ADR-006](./adrs/adr-006-drafts.md) as a way of creating components outside of the root bundle of `@primer/react`. This helps us create, test and maintain multiple versions of the same component in parallel.

Example:

```js
// default version of component exported from root of package
import {UnderlineNav} from '@primer/react'

// new version of component exported from /drafts
import {UnderlineNav} from '@primer/react/drafts'
```

We have also used this method for components that are still a work in progress and we don't want developers to start using them in production without collaborating with us first.

Example:

```js
// this component only exists in drafts and not in the roof of the package
import {TreeView} from '@primer/react/drafts'
```","## Decision 
## Decision

We will continue using the `drafts` directory to:

1. Develop and test new versions of existing components in parallel with the stable versions.
2. Host experimental or work-in-progress components that are not yet ready for public production use.

Access to components within `@primer/react/drafts` is intended for internal development, early feedback, and collaboration only. These components are not considered part of the public API and may change or be removed without following semver.

We will document the purpose and instability of the `drafts` directory clearly in the project README and contribution guidelines to set appropriate expectations.","## Decision

We should drop the `draft` label and use `experimental` instead.

While not completely accurate (UnderlineNav2 is much more polished than `experimental` maturity), the lack of confusion makes it a good trade-off.

Fine-grained information about component maturity, useful for maintainers, is also communicated by the [status checklist in the component documentation](https://primer.style/react/drafts/UnderlineNav2#status)."
"## Context

[Snapshot testing](https://jestjs.io/docs/snapshot-testing) is a strategy that allows a developer to ""snapshot"" a given value within a test suite. This value could be a primitive within JavaScript, an Array, an object, or the resulting HTML of rendering a component in React. The snapshot of the value is stored within the repo and is then compared against future test runs.

When a change is detected to a snapshot, the test will fail with a diff between the currently stored snapshot and the new snapshot. Within the space of React components, this may happen when a class name changes or the markup of a component changes. Is is then up to the developer to decide if the change is intentional and whether or not to accept this new snapshot as the baseline for future test runs.

A common practice is to snapshot a React component which will capture the HTML output of rendering a component. For example:

```jsx
import renderer from 'react-test-renderer'
import Link from '../Link'

it('renders correctly', () => {
  const tree = renderer.create(<Link page=""http://www.facebook.com"">Facebook</Link>).toJSON()
  expect(tree).toMatchSnapshot()
})
```

```js
exports[`renders correctly 1`] = `
<a
  className=""normal""
  href=""http://www.facebook.com""
  onMouseEnter={[Function]}
  onMouseLeave={[Function]}
>
  Facebook
</a>
`
```

[Source](https://jestjs.io/docs/snapshot-testing#snapshot-testing-with-jest)

As the number of snapshots within a project grows, there are a couple of challenges that emerge:

- Components with wide or deep trees emit large snapshots
- Debugging what change lead to a broken snapshot can be difficult
- It is unclear what the intent may be of a snapshot test when something does fail, in other words it does not always answer the question: what is this testing?","## Decision  
## Decision  
We will limit the use of snapshot testing to cases where the intent is clear and the output is stable, predictable, and concise. Snapshot tests should not be used as a default testing strategy for components or complex objects.

Instead, we prefer explicit assertions that test specific behavior or output, as they are more maintainable, easier to understand, and clearly communicate the expected outcome.

When snapshot testing is used:
- It must be justified by a clear need (e.g. verifying structure of configuration objects, ensuring no unintended regressions in public API shape).
- Snapshots must be small and focused—avoid capturing large or deeply nested structures.
- Component snapshots (e.g. rendered HTML) should only be used sparingly and never replace functional or behavioral tests.

Developers are responsible for reviewing and understanding every change to a snapshot before committing it. Blindly updating snapshots (`-u`) is discouraged and subject to review.","## Decision

- Avoid using ""catch-all"" snapshot tests for React components
- Snapshots may be used for static objects which have a clear signal as to what to do if they are modified (such as the exports of a package)

<table>
<thead><tr><th>Unpreferred</th><th>Preferred</th></tr></thead>
<tbody>
<tr><td>

```tsx
it('renders correctly', () => {
  const tree = renderer.create(<Link page=""http://www.github.com"">GitHub</Link>).toJSON()
  expect(tree).toMatchSnapshot()
})
```

</td><td>

```tsx
it('renders an element with role=""link""', () => {
  render(<Link page=""http://www.github.com"">GitHub</Link>)
  expect(screen.getByRole('link', {name: 'GitHub'})).toBeInTheDocument()
})
```

</td></tr>
</tbody></table>"
"## Context

There are situations where we would like to provide warnings to developers who
use `@primer/react` that something may be deprecated, unsupported, etc. Often,
these will be emitted using `console.warn()`. When using `console.warn()` by
itself, we run into a situation where code that is only meant for development
is included in production code. As a result, it would be helpful to establish
patterns around how to provide warnings to developers in order to make sure
that:

- Calls to `console.warn()` do not appear in production
- Code related to development checks, warnings, or messages are removed from
  production code","## Decision 
## Decision
We will use the `tiny-warning` npm package to conditionally emit warnings during development while ensuring that warning code is stripped out in production builds. This approach guarantees that:

- Warnings are only shown in development mode.
- All warning-related code, including condition checks and `console.warn()` calls, is completely removed from production bundles via dead code elimination (e.g., through webpack/UglifyJS/Terser).
- Developers receive informative feedback when using deprecated or unsupported features without impacting production bundle size or performance.","## Decision

Code that is meant for development-only warnings or checks **must** be wrapped within a
`__DEV__` block.

```tsx
function ExampleComponent() {
  if (__DEV__) {
    // This code only runs in development
  }
}
```

Under-the-hood, the `__DEV__` block will be compiled to a `NODE_ENV` check so
that it is stripped when `NODE_ENV` is set to `'production'`.

> **Note**
> Contributors may wrap hooks within a `__DEV__` block even though hooks are not
> meant to be called conditionally. This is because the `__DEV__` check can be
> considered constant in that it will always be true or false for the
> environment (development or production).

When a contributor would like to communicate a warning to a developer, they
should use the `warning()` helper.

```ts
warning(condition, 'This is the message that is logged when condition is truth-y')
```

This helper allows you to provide a `condition`. When the condition is truth-y
it will emit the message provided. This helper is automatically wrapped in a
`__DEV__` block and will be removed from production builds.

For more complex conditions, a contributor may combine `console.warn()` with
`__DEV__` when `warning()` does not suffice."
"## Context

Our testing infrastructure consists of Jest ""unit"" tests and automatic Chromatic visual testing. Both of these are super useful but we have been experiencing a few setbacks.
Unofficially we test more complex interactive scenarios using our storybooks setup.

1. Repeated markup in storybooks and jest tests - Since there is not automation of interaction in storybooks, we tend to test them out manually in stories and then transfer to jest. This results in us constructing similar test case scenarios in storybooks and in tests.

2. Debugging complex jest tests - There is no visual aspect to jest tests. Mostly everything is CLI based. This makes it hard to debug broken tests. Visibility into these tests is also low for people who want to enhance them.","## Decision 
## Decision

We decided to adopt Playwright for end-to-end and component testing to unify our testing approach and improve developer experience. Playwright allows us to:

- Reuse component stories as test fixtures, reducing duplication between Storybook and Jest tests.
- Run interactive, browser-based tests that validate both functionality and appearance, enabling automated testing of complex user flows previously only testable manually.
- Visually debug tests through built-in capabilities like live debugging, screenshots, videos, and trace recordings.
- Replace brittle or overly complex Jest DOM tests with more resilient, human-readable interaction patterns.
- Integrate with Chromatic for visual regression testing in a single pipeline.

This shift enables developers to write tests that are easier to understand, maintain, and verify visually—improving collaboration across engineering and design.","## Decisions

Going forward, we can use [storybook's play functions](https://storybook.js.org/docs/react/writing-stories/play-function) to write interaction tests for our components. Here's a document that describes [how to add and run these tests](../storybook-tests.md).
Guidelines to make this easier -

1. Create a new storybook file for your components and call them ""interactions"". Inside these files, we can import the stories from ""examples"" or ""fixtures"" and tack on play functions to them. This will create duplicate stories but with the added benefit of the tests appearing in the interactions add-on tab. This tab will let you step through your tests step by step, increasing visibility and debuggability.

2. Port complex jest tests onto interactive tests. This is up to developer discretion. My recommendation is to have basic ""unit"" tests like component existence and axe tests in jest. Anything that can benefit from a visual aspect to it can be moved to interaction tests.

3. Interaction tests are not perfect. Some aspects like mocking can be challenging and we will find solutions to these as when the need arises."
