rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.6,0.13,0.214,0.014,0.133,0.922,0.832,0.875
0.459,0.291,0.356,0.053,0.18,0.865,0.839,0.852
0.4,0.309,0.349,0.02,0.136,0.827,0.804,0.816
0.543,0.136,0.217,0.0,0.101,0.875,0.804,0.838
0.581,0.064,0.115,0.0,0.044,0.851,0.761,0.804
0.093,0.508,0.157,0.0,0.195,0.787,0.821,0.804
0.652,0.221,0.33,0.013,0.13,0.88,0.832,0.856
0.227,0.256,0.241,0.0,0.111,0.762,0.827,0.793
0.124,0.49,0.198,0.013,0.201,0.808,0.837,0.823
0.331,0.551,0.413,0.0,0.288,0.871,0.871,0.871
0.326,0.285,0.304,0.0,0.175,0.846,0.83,0.838
0.588,0.084,0.147,0.0,0.061,0.889,0.819,0.853
0.73,0.208,0.324,0.025,0.168,0.9,0.85,0.874
0.188,0.476,0.27,0.0,0.183,0.827,0.839,0.833
0.412,0.305,0.351,0.028,0.142,0.871,0.841,0.856
0.311,0.359,0.333,0.0,0.185,0.841,0.844,0.842
0.276,0.172,0.212,0.0,0.119,0.846,0.843,0.844
0.773,0.191,0.306,0.016,0.193,0.929,0.847,0.886
0.337,0.578,0.426,0.0,0.285,0.807,0.855,0.83
0.31,0.234,0.267,0.0,0.146,0.789,0.826,0.807
0.404,0.432,0.417,0.049,0.223,0.856,0.823,0.839
0.37,0.315,0.34,0.0,0.162,0.863,0.846,0.854
0.583,0.268,0.367,0.0,0.129,0.858,0.819,0.838
0.205,0.568,0.302,0.046,0.267,0.765,0.842,0.802
0.179,0.458,0.257,0.0,0.245,0.775,0.842,0.807
0.376,0.159,0.224,0.0,0.088,0.866,0.79,0.826
0.385,0.421,0.402,0.0,0.227,0.737,0.821,0.777
0.301,0.362,0.329,0.036,0.221,0.841,0.84,0.84
0.375,0.077,0.128,0.0,0.08,0.881,0.833,0.856
0.579,0.18,0.275,0.013,0.138,0.903,0.828,0.864
0.207,0.465,0.287,0.0,0.254,0.793,0.853,0.822
0.756,0.151,0.252,0.003,0.102,0.89,0.809,0.848
0.35,0.452,0.394,0.0,0.192,0.827,0.852,0.839
0.434,0.434,0.434,0.064,0.268,0.854,0.859,0.857
0.5,0.266,0.347,0.0,0.127,0.847,0.836,0.841
0.492,0.176,0.259,0.019,0.111,0.882,0.817,0.848
0.238,0.449,0.312,0.0,0.211,0.852,0.851,0.851
0.515,0.227,0.315,0.0,0.133,0.849,0.826,0.837
0.455,0.171,0.248,0.0,0.081,0.89,0.814,0.85
0.427,0.365,0.393,0.029,0.185,0.838,0.828,0.833
0.806,0.177,0.29,0.017,0.164,0.925,0.829,0.875
0.39,0.193,0.258,0.0,0.108,0.827,0.81,0.818
0.778,0.08,0.146,0.0,0.087,0.938,0.827,0.879
0.394,0.221,0.283,0.0,0.105,0.82,0.773,0.796
0.367,0.247,0.295,0.0,0.12,0.843,0.846,0.844
0.265,0.175,0.211,0.0,0.109,0.763,0.834,0.797
0.265,0.398,0.318,0.0,0.204,0.844,0.856,0.85
0.514,0.485,0.499,0.06,0.247,0.841,0.863,0.852
0.027,0.2,0.047,0.0,0.044,0.787,0.834,0.81
0.321,0.4,0.356,0.0,0.178,0.833,0.842,0.838
0.354,0.295,0.322,0.0,0.149,0.818,0.833,0.825
0.326,0.531,0.404,0.0,0.25,0.826,0.888,0.856
0.362,0.328,0.344,0.0,0.124,0.817,0.829,0.823
0.51,0.352,0.417,0.0,0.174,0.854,0.85,0.852
0.377,0.504,0.431,0.0,0.242,0.837,0.842,0.839
0.392,0.279,0.326,0.0,0.166,0.833,0.801,0.817
0.206,0.559,0.301,0.028,0.222,0.816,0.856,0.835
0.319,0.486,0.385,0.0,0.241,0.837,0.856,0.846
0.42,0.358,0.386,0.046,0.192,0.817,0.852,0.834
0.488,0.228,0.311,0.0,0.13,0.862,0.837,0.85
0.15,0.405,0.218,0.0,0.176,0.805,0.848,0.826
0.174,0.301,0.221,0.0,0.14,0.788,0.821,0.804
0.398,0.229,0.291,0.0,0.117,0.787,0.823,0.804
0.309,0.111,0.163,0.0,0.063,0.736,0.784,0.759
0.362,0.37,0.366,0.0,0.226,0.851,0.872,0.861
0.4,0.142,0.21,0.0,0.1,0.847,0.82,0.834
0.389,0.169,0.236,0.0,0.08,0.819,0.814,0.816
0.342,0.39,0.364,0.0,0.226,0.821,0.842,0.831
0.306,0.28,0.292,0.0,0.164,0.829,0.838,0.834
0.57,0.176,0.269,0.0,0.102,0.858,0.815,0.836
0.341,0.222,0.269,0.0,0.149,0.835,0.823,0.829
0.273,0.503,0.354,0.0,0.224,0.835,0.86,0.847
0.354,0.156,0.217,0.0,0.068,0.832,0.816,0.824
0.321,0.259,0.287,0.0,0.162,0.83,0.807,0.818
0.46,0.17,0.249,0.0,0.063,0.836,0.817,0.826
0.21,0.28,0.24,0.0,0.186,0.837,0.849,0.843
0.47,0.168,0.247,0.0,0.097,0.842,0.82,0.831
0.317,0.505,0.389,0.0,0.221,0.821,0.848,0.834
0.284,0.47,0.354,0.0,0.252,0.838,0.84,0.839
0.282,0.337,0.307,0.0,0.183,0.815,0.829,0.822
0.415,0.173,0.244,0.0,0.11,0.847,0.813,0.829
0.346,0.196,0.25,0.0,0.116,0.808,0.816,0.812
0.496,0.449,0.471,0.046,0.282,0.856,0.86,0.858
0.433,0.22,0.291,0.0,0.129,0.857,0.828,0.842
0.456,0.145,0.22,0.0,0.097,0.857,0.817,0.837
0.667,0.243,0.357,0.0,0.131,0.866,0.827,0.846
0.308,0.353,0.329,0.0,0.171,0.829,0.849,0.839
0.366,0.246,0.294,0.0,0.163,0.857,0.825,0.84
0.427,0.391,0.408,0.039,0.234,0.833,0.836,0.835
0.528,0.167,0.253,0.0,0.13,0.897,0.84,0.868
0.241,0.311,0.272,0.0,0.158,0.844,0.842,0.843
0.269,0.421,0.328,0.0,0.182,0.814,0.84,0.827
0.571,0.186,0.281,0.0,0.104,0.856,0.828,0.842
0.516,0.093,0.158,0.0,0.075,0.856,0.806,0.83
0.254,0.591,0.355,0.0,0.249,0.804,0.85,0.827
0.324,0.248,0.281,0.0,0.142,0.834,0.837,0.835
0.385,0.245,0.3,0.0,0.147,0.868,0.851,0.86
0.263,0.309,0.284,0.0,0.175,0.834,0.857,0.846
0.151,0.532,0.236,0.0,0.186,0.801,0.809,0.805
0.179,0.646,0.28,0.0,0.264,0.851,0.853,0.852
