rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.4,0.235,0.296,0,0.217,0.879,0.881,0.88,
0.081,0.353,0.132,0,0.123,0.833,0.835,0.834,
0.121,0.654,0.205,0,0.216,0.807,0.877,0.841,
0.086,0.241,0.127,0,0.191,0.844,0.81,0.827,
0.29,0.45,0.353,0,0.347,0.866,0.874,0.87,
0.038,0.826,0.072,0,0.138,0.715,0.856,0.779,
0.196,0.6,0.295,0,0.215,0.871,0.923,0.896,
0.177,0.676,0.281,0,0.237,0.708,0.862,0.778,
0.051,0.714,0.094,0.018,0.187,0.779,0.854,0.815,
0.192,0.676,0.299,0,0.328,0.834,0.873,0.853,
0.139,0.645,0.229,0,0.201,0.801,0.846,0.823,
0.412,0.194,0.264,0,0.122,0.866,0.83,0.847,
0.222,0.56,0.318,0,0.414,0.765,0.884,0.821,
0.087,0.64,0.153,0.013,0.208,0.8,0.858,0.828,
0.113,0.314,0.167,0,0.189,0.819,0.844,0.832,
0.126,0.447,0.197,0,0.198,0.815,0.847,0.831,
0.132,0.312,0.185,0,0.154,0.825,0.849,0.837,
0.591,0.5,0.542,0.187,0.477,0.916,0.883,0.899,
0.116,0.733,0.2,0.031,0.314,0.771,0.856,0.811,
0.155,0.462,0.232,0,0.202,0.754,0.861,0.804,
0.08,0.607,0.141,0,0.145,0.807,0.851,0.828,
0.239,0.512,0.326,0,0.273,0.829,0.856,0.842,
0.155,0.421,0.227,0,0.181,0.809,0.838,0.823,
0.058,0.565,0.105,0,0.213,0.71,0.833,0.767,
0.088,0.585,0.152,0,0.218,0.755,0.853,0.801,
0.208,0.5,0.294,0,0.219,0.843,0.864,0.854,
0.113,0.652,0.193,0,0.297,0.693,0.84,0.76,
0.15,0.622,0.242,0,0.247,0.817,0.881,0.848,
0.125,0.059,0.08,0,0.037,0.854,0.85,0.852,
0.368,0.341,0.354,0.104,0.281,0.899,0.878,0.888,
0.073,0.56,0.128,0,0.185,0.771,0.851,0.809,
0.317,0.765,0.448,0,0.404,0.88,0.933,0.906,
0.055,0.692,0.102,0.043,0.274,0.776,0.88,0.825,
0.122,0.548,0.199,0,0.193,0.767,0.848,0.805,
0.195,0.714,0.307,0,0.21,0.809,0.881,0.844,
0.277,0.514,0.36,0,0.216,0.849,0.867,0.858,
0.062,0.381,0.106,0,0.131,0.816,0.822,0.819,
0.059,0.19,0.09,0,0.098,0.79,0.803,0.796,
0.182,0.267,0.216,0,0.064,0.834,0.85,0.842,
0.084,0.679,0.15,0,0.228,0.799,0.874,0.835,
0.194,0.194,0.194,0,0.105,0.821,0.847,0.834,
0.146,0.643,0.238,0,0.254,0.8,0.876,0.836,
0.667,0.143,0.235,0,0.121,0.889,0.855,0.872,
0.083,0.562,0.144,0,0.143,0.785,0.86,0.821,
0.15,0.346,0.209,0,0.112,0.818,0.85,0.834,
0.137,0.35,0.197,0,0.137,0.736,0.848,0.788,
0.092,0.63,0.16,0,0.207,0.764,0.865,0.811,
0.045,0.714,0.085,0,0.216,0.771,0.872,0.819,
0,0,0,0,0.015,0.774,0.742,0.758,
0.112,0.568,0.188,0,0.21,0.813,0.838,0.825,
0.188,0.794,0.303,0.02,0.29,0.779,0.884,0.828,
0.098,0.448,0.161,0,0.163,0.751,0.847,0.796,
0.056,0.357,0.098,0,0.072,0.759,0.841,0.798,
0.082,0.25,0.123,0,0.106,0.808,0.812,0.81,
0.087,0.737,0.156,0,0.235,0.741,0.862,0.797,
0.021,0.167,0.037,0,0.022,0.784,0.799,0.791,
0.041,0.609,0.076,0,0.063,0.772,0.864,0.816,
0.144,0.742,0.241,0,0.249,0.789,0.881,0.833,
0.148,0.667,0.242,0,0.253,0.775,0.902,0.834,
0.14,0.286,0.187,0,0.152,0.778,0.846,0.811,
0.009,0.25,0.018,0,0,0.754,0.776,0.765,
0.096,0.472,0.159,0,0.202,0.771,0.834,0.801,
0.102,0.344,0.157,0,0.168,0.743,0.845,0.79,
0.055,0.25,0.09,0,0.092,0.678,0.829,0.746,
0.191,0.265,0.222,0,0.161,0.835,0.863,0.849,
0.171,0.522,0.258,0,0.263,0.82,0.877,0.847,
0.179,0.459,0.258,0,0.196,0.781,0.85,0.814,
0.037,0.429,0.069,0,0.052,0.782,0.852,0.815,
0.091,0.262,0.135,0,0.125,0.776,0.831,0.802,
0.19,0.357,0.248,0,0.158,0.835,0.85,0.843,
0.048,0.3,0.082,0,0.087,0.799,0.835,0.817,
0.056,0.654,0.103,0,0.144,0.779,0.874,0.824,
0.138,0.3,0.189,0,0.096,0.799,0.856,0.827,
0.097,0.464,0.16,0,0.242,0.812,0.845,0.828,
0.22,0.324,0.262,0,0.218,0.79,0.856,0.821,
0.1,0.588,0.171,0,0.285,0.825,0.864,0.844,
0.197,0.448,0.274,0,0.176,0.819,0.841,0.83,
0.069,0.6,0.123,0,0.175,0.779,0.854,0.815,
0.089,0.592,0.154,0,0.208,0.792,0.845,0.818,
0.071,0.415,0.122,0,0.142,0.801,0.849,0.824,
0.098,0.348,0.152,0,0.185,0.809,0.828,0.818,
0.135,0.5,0.212,0,0.295,0.821,0.862,0.841,
0.165,0.594,0.259,0,0.21,0.814,0.869,0.84,
0.106,0.324,0.159,0,0.147,0.815,0.859,0.836,
0.105,0.158,0.126,0,0.092,0.82,0.824,0.822,
0.174,0.316,0.224,0,0.146,0.819,0.844,0.832,
0.092,0.439,0.153,0,0.187,0.765,0.846,0.803,
0.129,0.364,0.19,0,0.141,0.834,0.843,0.838,
0.131,0.636,0.218,0,0.285,0.79,0.842,0.815,
0.389,0.359,0.373,0.145,0.33,0.883,0.877,0.88,
0.103,0.45,0.168,0,0.182,0.808,0.831,0.819,
0.079,0.647,0.141,0,0.157,0.761,0.851,0.804,
0.182,0.341,0.237,0,0.183,0.822,0.859,0.84,
0.032,0.031,0.032,0,0.013,0.826,0.792,0.808,
0.053,0.864,0.1,0,0.178,0.758,0.855,0.804,
0.171,0.391,0.238,0,0.21,0.82,0.854,0.837,
0.073,0.269,0.115,0,0.067,0.79,0.798,0.794,
0.15,0.414,0.22,0,0.176,0.805,0.835,0.82,
0.024,0.676,0.046,0,0.08,0.742,0.824,0.781,
0.038,0.75,0.072,0,0.175,0.77,0.848,0.807,
0.14001,0.46779,0.18824,0.00561,0.18546,0.79924,0.85114,0.82379,0.435207
