rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.35,0.159,0.219,0,0.136,0.852,0.853,0.853,
0.122,0.205,0.153,0,0.124,0.815,0.84,0.827,
0.15,0.477,0.228,0,0.217,0.79,0.836,0.813,
0.173,0.318,0.224,0,0.167,0.834,0.843,0.838,
0.226,0.159,0.187,0,0.087,0.822,0.839,0.83,
0.02,0.455,0.038,0,0.089,0.709,0.833,0.766,
0.152,0.159,0.156,0,0.098,0.808,0.841,0.824,
0.078,0.25,0.119,0,0.135,0.688,0.816,0.747,
0.048,0.432,0.086,0,0.143,0.766,0.837,0.8,
0.1,0.295,0.149,0,0.14,0.802,0.84,0.82,
0.097,0.318,0.149,0,0.188,0.785,0.836,0.81,
0.176,0.068,0.098,0,0.065,0.839,0.836,0.838,
0.063,0.091,0.075,0,0.059,0.746,0.828,0.785,
0.063,0.523,0.112,0,0.156,0.779,0.83,0.804,
0.124,0.273,0.17,0,0.15,0.818,0.842,0.83,
0.126,0.386,0.19,0,0.182,0.796,0.833,0.814,
0.132,0.227,0.167,0,0.179,0.806,0.838,0.822,
0.182,0.091,0.121,0,0.064,0.847,0.84,0.844,
0.049,0.318,0.085,0,0.126,0.747,0.826,0.784,
0.078,0.205,0.113,0,0.151,0.745,0.827,0.784,
0.085,0.409,0.14,0,0.176,0.794,0.842,0.817,
0.12,0.25,0.162,0,0.12,0.803,0.834,0.818,
0.126,0.295,0.177,0,0.157,0.791,0.844,0.817,
0.062,0.318,0.104,0,0.114,0.709,0.832,0.766,
0.058,0.364,0.101,0,0.15,0.739,0.831,0.782,
0.139,0.318,0.193,0,0.191,0.823,0.842,0.832,
0.053,0.318,0.091,0,0.126,0.678,0.818,0.741,
0.105,0.364,0.162,0,0.181,0.794,0.837,0.815,
0.25,0.091,0.133,0,0.078,0.848,0.838,0.843,
0.211,0.182,0.195,0,0.169,0.841,0.84,0.84,
0.057,0.25,0.093,0,0.15,0.743,0.824,0.781,
0.22,0.205,0.212,0,0.122,0.853,0.848,0.85,
0.104,0.386,0.164,0,0.207,0.737,0.823,0.777,
0.069,0.295,0.112,0,0.15,0.751,0.827,0.787,
0.102,0.295,0.151,0,0.153,0.78,0.837,0.808,
0.154,0.227,0.183,0,0.126,0.81,0.837,0.823,
0.108,0.318,0.161,0,0.179,0.812,0.844,0.828,
0.118,0.182,0.143,0,0.114,0.796,0.845,0.82,
0.205,0.205,0.205,0,0.231,0.823,0.842,0.832,
0.08,0.409,0.134,0,0.143,0.783,0.832,0.807,
0.167,0.136,0.15,0,0.118,0.827,0.845,0.836,
0.098,0.273,0.144,0,0.121,0.797,0.841,0.818,
0.333,0.068,0.113,0,0.053,0.846,0.825,0.836,
0.073,0.182,0.105,0,0.12,0.783,0.834,0.808,
0.1,0.136,0.115,0,0.119,0.795,0.833,0.814,
0.078,0.182,0.11,0,0.123,0.729,0.84,0.78,
0.059,0.25,0.096,0,0.108,0.752,0.827,0.787,
0.072,0.364,0.12,0,0.145,0.768,0.833,0.8,
0.089,0.227,0.128,0,0.138,0.798,0.848,0.822,
0.091,0.386,0.147,0,0.175,0.789,0.823,0.806,
0.062,0.205,0.096,0,0.113,0.752,0.824,0.786,
0.076,0.227,0.114,0,0.122,0.742,0.833,0.785,
0.09,0.364,0.145,0,0.183,0.749,0.832,0.788,
0.143,0.159,0.151,0,0.097,0.805,0.832,0.818,
0.04,0.295,0.071,0,0.104,0.72,0.829,0.771,
0.077,0.25,0.118,0,0.128,0.786,0.824,0.805,
0.052,0.409,0.093,0,0.135,0.75,0.83,0.788,
0.069,0.25,0.108,0,0.105,0.771,0.834,0.801,
0.099,0.182,0.128,0,0.089,0.757,0.823,0.788,
0.093,0.091,0.092,0,0.085,0.776,0.822,0.799,
0.075,0.364,0.124,0,0.171,0.763,0.827,0.794,
0.067,0.273,0.108,0,0.124,0.761,0.824,0.791,
0.139,0.341,0.197,0,0.182,0.746,0.843,0.792,
0.055,0.068,0.061,0,0.06,0.681,0.812,0.741,
0.17,0.182,0.176,0,0.098,0.81,0.834,0.822,
0.157,0.25,0.193,0,0.169,0.814,0.844,0.828,
0.074,0.159,0.101,0,0.103,0.763,0.825,0.793,
0.071,0.386,0.12,0,0.19,0.779,0.837,0.807,
0.132,0.364,0.194,0,0.243,0.77,0.841,0.803,
0.152,0.273,0.195,0,0.157,0.819,0.841,0.83,
0.135,0.386,0.2,0,0.172,0.81,0.84,0.825,
0.056,0.386,0.098,0,0.138,0.782,0.845,0.813,
0.108,0.159,0.128,0,0.127,0.771,0.831,0.8,
0.119,0.364,0.18,0,0.178,0.802,0.828,0.814,
0.14,0.159,0.149,0,0.1,0.78,0.837,0.807,
0.12,0.273,0.167,0,0.16,0.814,0.841,0.827,
0.121,0.182,0.145,0,0.105,0.796,0.828,0.811,
0.043,0.341,0.076,0,0.125,0.763,0.829,0.795,
0.055,0.409,0.097,0,0.151,0.773,0.833,0.802,
0.063,0.341,0.106,0,0.174,0.781,0.83,0.805,
0.134,0.25,0.175,0,0.175,0.798,0.832,0.815,
0.077,0.182,0.108,0,0.125,0.765,0.823,0.793,
0.096,0.25,0.138,0,0.127,0.781,0.84,0.809,
0.115,0.273,0.162,0,0.159,0.809,0.837,0.823,
0.123,0.159,0.139,0,0.105,0.817,0.837,0.827,
0.101,0.159,0.124,0,0.103,0.789,0.831,0.809,
0.056,0.25,0.092,0,0.116,0.754,0.826,0.788,
0.129,0.273,0.175,0,0.163,0.817,0.84,0.828,
0.052,0.25,0.086,0,0.124,0.765,0.827,0.794,
0.222,0.182,0.2,0,0.111,0.843,0.844,0.844,
0.086,0.341,0.138,0,0.157,0.792,0.828,0.81,
0.065,0.409,0.111,0,0.155,0.756,0.837,0.795,
0.13,0.227,0.165,0,0.125,0.797,0.839,0.817,
0.194,0.136,0.16,0,0.1,0.814,0.834,0.824,
0.034,0.273,0.06,0,0.101,0.738,0.832,0.782,
0.133,0.318,0.188,0,0.182,0.792,0.837,0.814,
0.094,0.205,0.129,0,0.117,0.788,0.834,0.81,
0.163,0.295,0.21,0,0.194,0.816,0.847,0.831,
0.022,0.523,0.042,0,0.075,0.742,0.825,0.782,
0.025,0.409,0.047,0,0.09,0.756,0.831,0.791,
0.10999,0.2675,0.13663,0,0.13605,0.78301,0.83414,0.80739,0.3963665
