rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1
0.35,0.412,0.378,0.0,0.524,0.882,0.85,0.866
0.149,0.344,0.208,0.0,0.181,0.836,0.837,0.837
0.071,0.5,0.125,0.0,0.258,0.801,0.878,0.838
0.198,0.381,0.26,0.0,0.212,0.842,0.85,0.846
0.323,0.5,0.392,0.0,0.434,0.867,0.87,0.869
0.024,0.857,0.046,0.0,0.099,0.716,0.869,0.785
0.478,0.524,0.5,0.0,0.301,0.904,0.913,0.909
0.17,0.533,0.258,0.0,0.203,0.709,0.883,0.787
0.053,0.875,0.1,0.022,0.212,0.776,0.884,0.827
0.123,0.889,0.216,0.031,0.322,0.845,0.929,0.885
0.062,0.529,0.112,0.0,0.234,0.787,0.823,0.804
0.235,0.267,0.25,0.0,0.321,0.865,0.864,0.865
0.238,0.6,0.341,0.0,0.466,0.765,0.888,0.822
0.071,0.667,0.128,0.0,0.183,0.78,0.842,0.81
0.093,0.45,0.154,0.0,0.267,0.831,0.874,0.852
0.096,0.542,0.164,0.0,0.238,0.813,0.862,0.837
0.066,0.455,0.115,0.0,0.254,0.824,0.892,0.857
0.545,0.8,0.649,0.301,0.829,0.928,0.948,0.938
0.102,0.829,0.181,0.031,0.302,0.767,0.867,0.814
0.103,0.48,0.17,0.0,0.307,0.751,0.863,0.803
0.085,0.621,0.149,0.0,0.181,0.805,0.849,0.826
0.12,0.611,0.2,0.0,0.354,0.822,0.886,0.853
0.117,0.545,0.192,0.0,0.222,0.802,0.828,0.815
0.058,0.619,0.106,0.012,0.229,0.715,0.88,0.789
0.069,0.633,0.125,0.0,0.191,0.755,0.871,0.809
0.238,0.511,0.324,0.0,0.367,0.859,0.869,0.864
0.121,0.696,0.206,0.02,0.286,0.689,0.858,0.764
0.203,0.633,0.307,0.0,0.305,0.823,0.883,0.852
0.188,0.15,0.167,0.0,0.186,0.88,0.887,0.884
0.316,0.571,0.407,0.114,0.528,0.892,0.915,0.903
0.093,0.857,0.168,0.027,0.301,0.775,0.901,0.833
0.195,0.333,0.246,0.0,0.257,0.868,0.881,0.874
0.049,0.667,0.091,0.021,0.274,0.782,0.894,0.834
0.09,0.944,0.164,0.038,0.396,0.77,0.914,0.836
0.164,0.583,0.256,0.0,0.168,0.818,0.885,0.851
0.323,0.75,0.452,0.057,0.424,0.857,0.909,0.882
0.046,0.462,0.084,0.0,0.198,0.82,0.853,0.836
0.059,0.571,0.107,0.0,0.262,0.799,0.876,0.836
0.295,0.394,0.338,0.0,0.146,0.868,0.873,0.87
0.111,0.658,0.19,0.026,0.273,0.805,0.877,0.839
0.194,0.368,0.255,0.0,0.244,0.823,0.867,0.844
0.073,0.6,0.13,0.0,0.215,0.796,0.879,0.835
0.444,0.308,0.364,0.0,0.465,0.87,0.708,0.781
0.138,0.6,0.224,0.0,0.257,0.79,0.84,0.814
0.183,0.423,0.256,0.0,0.272,0.824,0.853,0.838
0.088,0.29,0.135,0.0,0.174,0.736,0.864,0.795
0.097,0.72,0.171,0.0,0.276,0.767,0.874,0.817
0.135,0.769,0.23,0.033,0.299,0.796,0.88,0.836
0.009,1.0,0.018,0.0,0.042,0.766,0.897,0.827
0.086,0.593,0.15,0.0,0.245,0.81,0.868,0.838
0.076,0.524,0.133,0.0,0.187,0.768,0.856,0.81
0.129,0.895,0.225,0.0,0.222,0.794,0.878,0.834
0.119,0.618,0.199,0.0,0.234,0.758,0.87,0.81
0.163,0.381,0.229,0.0,0.152,0.836,0.83,0.833
0.04,0.591,0.076,0.0,0.2,0.736,0.869,0.797
0.063,0.474,0.111,0.0,0.284,0.805,0.867,0.835
0.07,0.727,0.127,0.0,0.216,0.776,0.871,0.821
0.144,0.742,0.241,0.0,0.231,0.79,0.882,0.834
0.16,0.722,0.263,0.0,0.274,0.775,0.903,0.834
0.233,0.625,0.339,0.0,0.234,0.805,0.9,0.85
0.061,0.5,0.108,0.0,0.216,0.778,0.852,0.813
0.056,0.455,0.1,0.0,0.205,0.771,0.867,0.816
0.167,0.621,0.263,0.0,0.257,0.749,0.87,0.805
0.073,0.333,0.119,0.0,0.228,0.675,0.816,0.739
0.085,0.444,0.143,0.0,0.288,0.823,0.887,0.854
0.086,0.24,0.126,0.0,0.349,0.807,0.791,0.799
0.105,0.526,0.175,0.0,0.235,0.77,0.835,0.801
0.067,0.4,0.114,0.0,0.169,0.79,0.854,0.821
