rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.3,0.176,0.222,0,0.119,0.859,0.837,0.848,
0.108,0.5,0.178,0.04,0.294,0.819,0.807,0.813,
0.093,0.481,0.156,0,0.194,0.813,0.852,0.832,
0.123,0.217,0.157,0,0.101,0.837,0.836,0.837,
0.194,0.214,0.203,0,0.108,0.837,0.82,0.828,
0.022,0.579,0.042,0,0.1,0.729,0.828,0.775,
0.152,0.175,0.163,0,0.102,0.817,0.832,0.825,
0.057,0.32,0.096,0,0.115,0.709,0.819,0.76,
0.035,0.452,0.066,0,0.108,0.775,0.825,0.799,
0.069,0.45,0.12,0,0.145,0.797,0.829,0.813,
0.097,0.368,0.154,0,0.162,0.793,0.841,0.817,
0.353,0.15,0.211,0,0.119,0.85,0.817,0.833,
0.143,0.273,0.187,0,0.164,0.776,0.843,0.808,
0.052,0.442,0.093,0,0.158,0.785,0.818,0.801,
0.103,0.244,0.145,0,0.139,0.827,0.836,0.832,
0.074,0.323,0.12,0,0.178,0.807,0.844,0.825,
0.013,0.048,0.021,0,0.048,0.806,0.783,0.795,
0.227,0.2,0.213,0,0.18,0.858,0.838,0.848,
0.07,0.588,0.125,0,0.124,0.771,0.853,0.81,
0.121,0.311,0.174,0,0.143,0.756,0.834,0.793,
0.023,0.2,0.042,0,0.112,0.797,0.801,0.799,
0.109,0.303,0.16,0,0.163,0.825,0.833,0.829,
0.068,0.175,0.098,0,0.098,0.791,0.815,0.803,
0.054,0.24,0.088,0,0.081,0.716,0.796,0.754,
0.051,0.412,0.091,0,0.128,0.752,0.831,0.789,
0.109,0.324,0.163,0,0.143,0.83,0.823,0.826,
0.087,0.561,0.15,0,0.154,0.704,0.83,0.762,
0.105,0.364,0.162,0,0.189,0.799,0.838,0.818,
0.438,0.159,0.233,0,0.081,0.874,0.853,0.863,
0.158,0.188,0.171,0,0.116,0.85,0.832,0.841,
0.052,0.323,0.089,0,0.136,0.77,0.838,0.802,
0.195,0.195,0.195,0,0.128,0.851,0.847,0.849,
0.067,0.25,0.106,0,0.125,0.751,0.819,0.783,
0.111,0.477,0.18,0,0.218,0.761,0.834,0.796,
0.148,0.413,0.218,0,0.159,0.794,0.837,0.815,
0.154,0.294,0.202,0,0.149,0.83,0.832,0.831,
0.031,0.16,0.052,0,0.09,0.807,0.802,0.804,
0.118,0.182,0.143,0,0.137,0.807,0.847,0.826,
0.205,0.257,0.228,0,0.256,0.84,0.834,0.837,
0.04,0.29,0.07,0,0.128,0.778,0.822,0.799,
0.194,0.152,0.171,0,0.082,0.816,0.826,0.821,
0.049,0.231,0.081,0,0.087,0.791,0.814,0.802,
0.556,0.122,0.2,0,0.105,0.884,0.828,0.855,
0.138,0.341,0.196,0,0.161,0.789,0.843,0.815,
0.117,0.194,0.146,0,0.125,0.801,0.818,0.809,
0.088,0.209,0.124,0,0.145,0.734,0.821,0.775,
0.07,0.419,0.12,0,0.211,0.762,0.808,0.784,
0.068,0.357,0.114,0,0.155,0.775,0.808,0.791,
0.08,0.265,0.123,0,0.153,0.804,0.823,0.814,
0.07,0.419,0.119,0,0.15,0.806,0.832,0.819,
0.028,0.19,0.048,0,0.058,0.757,0.803,0.78,
0.098,0.406,0.159,0,0.18,0.752,0.838,0.792,
0.034,0.24,0.059,0,0.072,0.752,0.819,0.784,
0.184,0.31,0.231,0,0.134,0.828,0.823,0.825,
0.047,0.333,0.082,0,0.158,0.729,0.827,0.775,
0.098,0.368,0.155,0,0.145,0.803,0.839,0.821,
0.043,0.385,0.078,0,0.137,0.759,0.805,0.781,
0.094,0.385,0.151,0,0.183,0.772,0.812,0.791,
0.074,0.2,0.108,0,0.076,0.761,0.773,0.767,
0.116,0.172,0.139,0,0.116,0.786,0.811,0.798,
0.047,0.357,0.083,0,0.111,0.777,0.831,0.803,
0.067,0.324,0.112,0,0.174,0.77,0.813,0.791,
0.13,0.438,0.2,0,0.173,0.75,0.836,0.791,
0.073,0.103,0.085,0,0.086,0.704,0.794,0.746,
0.128,0.13,0.129,0,0.074,0.804,0.816,0.81,
0.057,0.148,0.082,0,0.108,0.789,0.769,0.779,
0.126,0.324,0.182,0,0.152,0.777,0.824,0.8,
0.067,0.364,0.113,0,0.153,0.78,0.823,0.801,
0.091,0.268,0.136,0,0.102,0.78,0.828,0.803,
0.114,0.243,0.155,0,0.105,0.825,0.825,0.825,
0.056,0.25,0.091,0,0.109,0.803,0.803,0.803,
0.062,0.422,0.109,0,0.151,0.769,0.806,0.787,
0.138,0.22,0.17,0,0.102,0.785,0.819,0.801,
0,0,0,0,0,0,0,0,
0.38,0.475,0.422,0,0.273,0.817,0.856,0.836,
0.09,0.29,0.137,0,0.185,0.817,0.81,0.813,
0.076,0.161,0.103,0,0.126,0.81,0.838,0.824,
0.034,0.261,0.061,0,0.09,0.766,0.814,0.789,
0.034,0.333,0.061,0,0.112,0.785,0.82,0.802,
0.063,0.417,0.109,0,0.129,0.8,0.843,0.821,
0.122,0.303,0.174,0,0.16,0.812,0.84,0.826,
0.029,0.103,0.045,0,0.062,0.782,0.817,0.799,
0.035,0.133,0.055,0,0.058,0.792,0.809,0.8,
0.048,0.238,0.08,0,0.076,0.81,0.791,0.801,
0.018,0.038,0.024,0,0.036,0.813,0.823,0.818,
0.087,0.207,0.122,0,0.123,0.805,0.805,0.805,
0.056,0.297,0.095,0,0.148,0.765,0.812,0.788,
0.097,0.214,0.133,0,0.135,0.837,0.841,0.839,
0.019,0.154,0.033,0,0.049,0.773,0.819,0.795,
0.25,0.273,0.261,0,0.216,0.84,0.812,0.826,
0.069,0.3,0.112,0,0.156,0.795,0.812,0.804,
0.054,0.357,0.093,0,0.157,0.758,0.825,0.79,
0.156,0.375,0.22,0,0.237,0.804,0.819,0.812,
0.032,0.027,0.029,0,0.026,0.821,0.831,0.826,
