rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.25,0.132,0.172,0,0.137,0.869,0.846,0.857,
0.135,0.256,0.177,0,0.104,0.83,0.846,0.838,
0.171,0.49,0.254,0,0.19,0.811,0.848,0.829,
0.074,0.316,0.12,0,0.096,0.827,0.769,0.797,
0.387,0.293,0.333,0,0.221,0.863,0.849,0.856,
0.04,0.816,0.075,0,0.139,0.723,0.851,0.782,
0.413,0.487,0.447,0,0.138,0.878,0.887,0.882,
0.106,0.385,0.167,0,0.145,0.706,0.838,0.767,
0.076,0.833,0.139,0.025,0.263,0.778,0.876,0.824,
0.254,0.75,0.379,0,0.307,0.867,0.904,0.885,
0.076,0.367,0.126,0,0.124,0.805,0.842,0.823,
0.353,0.146,0.207,0,0.154,0.873,0.837,0.855,
0.381,0.75,0.505,0,0.474,0.812,0.913,0.86,
0.068,0.595,0.122,0.011,0.187,0.792,0.83,0.811,
0.196,0.432,0.27,0,0.25,0.833,0.846,0.84,
0.104,0.424,0.167,0,0.195,0.818,0.845,0.831,
0.171,0.31,0.22,0,0.169,0.817,0.836,0.827,
0.5,0.688,0.579,0.232,0.637,0.922,0.923,0.922,
0.102,0.674,0.177,0.02,0.281,0.769,0.849,0.807,
0.155,0.4,0.224,0,0.22,0.756,0.836,0.794,
0.019,0.267,0.035,0,0.055,0.777,0.789,0.783,
0.217,0.476,0.299,0,0.251,0.826,0.847,0.836,
0.136,0.438,0.207,0,0.16,0.807,0.821,0.814,
0.094,0.553,0.16,0.013,0.195,0.73,0.851,0.786,
0.058,0.471,0.104,0,0.156,0.757,0.826,0.79,
0.208,0.488,0.292,0,0.241,0.848,0.856,0.852,
0.102,0.6,0.174,0,0.255,0.693,0.831,0.756,
0.17,0.591,0.264,0,0.222,0.81,0.854,0.831,
0.125,0.05,0.071,0,0.031,0.859,0.847,0.853,
0.474,0.429,0.45,0.102,0.369,0.895,0.863,0.879,
0.171,0.825,0.283,0.045,0.417,0.781,0.889,0.831,
0.415,0.405,0.41,0,0.249,0.883,0.879,0.881,
0.049,0.667,0.091,0.027,0.261,0.778,0.889,0.83,
0.116,0.512,0.19,0,0.187,0.769,0.854,0.809,
0.188,0.649,0.291,0,0.184,0.81,0.879,0.843,
0.215,0.4,0.28,0.046,0.211,0.849,0.868,0.858,
0.131,0.405,0.198,0,0.239,0.825,0.829,0.827,
0.103,0.179,0.131,0,0.099,0.817,0.846,0.832,
0.25,0.239,0.244,0,0.074,0.829,0.834,0.832,
0.107,0.533,0.178,0,0.225,0.799,0.848,0.823,
0.167,0.273,0.207,0,0.143,0.824,0.865,0.844,
0.146,0.4,0.214,0,0.189,0.798,0.836,0.816,
0.667,0.2,0.308,0.089,0.242,0.9,0.862,0.881,
0,0,0,0,0,0.782,0.758,0.77,
0.183,0.344,0.239,0,0.151,0.821,0.841,0.831,
0.108,0.297,0.158,0,0.14,0.737,0.832,0.782,
0.151,0.737,0.251,0,0.253,0.773,0.875,0.821,
0.027,0.222,0.048,0,0.105,0.771,0.791,0.78,
0.054,0.333,0.092,0,0.152,0.796,0.849,0.821,
0.096,0.514,0.162,0,0.256,0.808,0.869,0.837,
0.104,0.484,0.171,0,0.131,0.764,0.845,0.803,
0.083,0.786,0.151,0,0.088,0.782,0.857,0.818,
0.079,0.467,0.135,0,0.092,0.751,0.826,0.787,
0.143,0.318,0.197,0,0.107,0.834,0.825,0.829,
0.069,0.88,0.127,0,0.087,0.766,0.856,0.808,
0.007,0.062,0.013,0,0,0.782,0.774,0.778,
0.043,0.652,0.082,0,0.072,0.776,0.872,0.821,
0.106,0.81,0.188,0,0.13,0.782,0.885,0.83,
0.16,0.591,0.252,0,0.217,0.775,0.882,0.825,
0.256,0.355,0.297,0,0.136,0.795,0.834,0.814,
0.084,0.45,0.142,0,0.171,0.779,0.837,0.807,
0.067,0.353,0.113,0,0.108,0.77,0.835,0.801,
0.185,0.426,0.258,0,0.207,0.752,0.854,0.8,
0.109,0.3,0.16,0,0.128,0.679,0.833,0.748,
0.149,0.194,0.169,0,0.099,0.816,0.848,0.832,
0.243,0.378,0.296,0,0.184,0.82,0.845,0.832,
0.147,0.4,0.215,0,0.16,0.792,0.839,0.815,
0.017,0.19,0.031,0,0.052,0.771,0.8,0.785,
0.132,0.372,0.195,0,0.17,0.793,0.853,0.822,
0.228,0.462,0.305,0,0.195,0.838,0.852,0.845,
0.087,0.393,0.143,0,0.119,0.809,0.84,0.824,
0.089,0.643,0.156,0,0.207,0.777,0.832,0.803,
0.154,0.256,0.192,0,0.107,0.801,0.848,0.823,
0.045,0.4,0.081,0,0.147,0.807,0.843,0.824,
0.26,0.295,0.277,0,0.188,0.793,0.845,0.818,
0.1,0.588,0.171,0,0.276,0.825,0.859,0.842,
0.182,0.4,0.25,0,0.233,0.799,0.822,0.81,
0.063,0.537,0.113,0,0.153,0.771,0.837,0.803,
0.089,0.674,0.157,0,0.218,0.789,0.84,0.814,
0.097,0.5,0.162,0,0.196,0.793,0.833,0.813,
0.134,0.344,0.193,0,0.18,0.812,0.826,0.819,
0.115,0.375,0.176,0,0.166,0.799,0.828,0.813,
0.139,0.485,0.216,0,0.17,0.815,0.866,0.84,
0.202,0.412,0.271,0,0.263,0.827,0.834,0.831,
0.228,0.302,0.26,0,0.119,0.836,0.847,0.841,
0.116,0.216,0.151,0,0.107,0.806,0.819,0.813,
0.092,0.462,0.154,0,0.163,0.773,0.851,0.81,
0.161,0.375,0.226,0,0.208,0.846,0.851,0.849,
0.127,0.692,0.214,0,0.377,0.796,0.843,0.819,
0.361,0.283,0.317,0,0.205,0.862,0.844,0.853,
0.092,0.471,0.154,0,0.165,0.809,0.855,0.832,
0.086,0.615,0.151,0,0.137,0.756,0.849,0.8,
0.117,0.273,0.164,0,0.106,0.826,0.848,0.837,
0.161,0.167,0.164,0,0.089,0.833,0.846,0.839,
0.028,0.476,0.053,0,0.125,0.753,0.808,0.779,
0.124,0.302,0.176,0,0.157,0.797,0.83,0.813,
0.156,0.366,0.219,0,0.1,0.796,0.844,0.819,
0.1,0.4,0.16,0,0.215,0.797,0.837,0.816,
0.03,0.674,0.057,0,0.098,0.748,0.829,0.786,
0.017,0.667,0.033,0,0.11,0.754,0.816,0.784,
0.15122,0.44014,0.19599,0.0061,0.17781,0.80123,0.84471,0.82183,0.43367
