rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.15,0.065,0.091,0,0.034,0.843,0.83,0.836,
0.189,0.304,0.233,0,0.144,0.821,0.836,0.828,
0.114,0.348,0.172,0,0.154,0.797,0.834,0.815,
0.111,0.196,0.142,0,0.091,0.829,0.836,0.833,
0.258,0.174,0.208,0,0.09,0.834,0.839,0.836,
0.022,0.478,0.042,0,0.095,0.714,0.839,0.772,
0.239,0.239,0.239,0,0.152,0.818,0.844,0.831,
0.064,0.196,0.096,0,0.071,0.693,0.81,0.747,
0.045,0.391,0.081,0,0.123,0.765,0.819,0.791,
0.146,0.413,0.216,0,0.224,0.809,0.844,0.826,
0.125,0.391,0.189,0,0.181,0.787,0.83,0.808,
0.118,0.043,0.063,0,0.023,0.845,0.829,0.837,
0.175,0.239,0.202,0,0.146,0.754,0.832,0.791,
0.06,0.478,0.107,0,0.147,0.782,0.826,0.803,
0.144,0.304,0.196,0,0.146,0.822,0.834,0.828,
0.126,0.37,0.188,0,0.193,0.8,0.83,0.815,
0.171,0.283,0.213,0,0.152,0.814,0.842,0.828,
0.227,0.109,0.147,0,0.057,0.856,0.84,0.848,
0.07,0.435,0.121,0,0.147,0.754,0.831,0.791,
0.147,0.37,0.21,0,0.169,0.748,0.826,0.785,
0.108,0.5,0.178,0,0.203,0.798,0.84,0.818,
0.207,0.413,0.275,0,0.207,0.821,0.846,0.833,
0.165,0.37,0.228,0,0.208,0.794,0.839,0.816,
0.071,0.348,0.119,0,0.151,0.718,0.832,0.771,
0.062,0.37,0.106,0,0.14,0.742,0.816,0.777,
0.109,0.239,0.15,0,0.136,0.822,0.837,0.829,
0.075,0.435,0.129,0,0.147,0.685,0.828,0.75,
0.137,0.457,0.211,0,0.186,0.799,0.833,0.815,
0.25,0.087,0.129,0,0.073,0.857,0.84,0.848,
0.211,0.174,0.19,0,0.1,0.844,0.844,0.844,
0.088,0.37,0.142,0,0.19,0.752,0.83,0.789,
0.244,0.217,0.23,0,0.121,0.849,0.835,0.842,
0.092,0.326,0.144,0,0.162,0.743,0.815,0.778,
0.085,0.348,0.136,0,0.17,0.755,0.817,0.785,
0.117,0.326,0.172,0,0.159,0.782,0.829,0.805,
0.262,0.37,0.306,0,0.176,0.823,0.838,0.83,
0.054,0.152,0.08,0,0.082,0.803,0.826,0.815,
0.147,0.217,0.175,0,0.093,0.804,0.848,0.825,
0.136,0.13,0.133,0,0.077,0.823,0.832,0.828,
0.076,0.37,0.125,0,0.155,0.782,0.82,0.801,
0.194,0.152,0.171,0,0.088,0.821,0.836,0.829,
0.122,0.326,0.178,0,0.139,0.791,0.833,0.811,
0,0,0,0,0,0.847,0.82,0.833,
