rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.6,0.293,0.393,0,0.297,0.908,0.88,0.894,
0.149,0.344,0.208,0,0.181,0.836,0.837,0.837,
0.157,0.44,0.232,0,0.225,0.806,0.849,0.827,
0.185,0.405,0.254,0.044,0.316,0.856,0.854,0.855,
0.419,0.342,0.377,0,0.262,0.877,0.869,0.873,
0.039,0.78,0.074,0,0.141,0.726,0.859,0.787,
0.261,0.293,0.276,0,0.129,0.861,0.872,0.866,
0.177,0.543,0.267,0,0.209,0.709,0.881,0.786,
0.056,0.917,0.105,0.022,0.239,0.778,0.889,0.83,
0.123,1,0.219,0.035,0.343,0.841,0.935,0.886,
0.097,0.609,0.168,0,0.258,0.797,0.831,0.814,
0.412,0.241,0.304,0,0.217,0.873,0.839,0.856,
0.302,0.388,0.339,0,0.309,0.791,0.871,0.829,
0.076,0.622,0.136,0,0.194,0.796,0.846,0.82,
0.196,0.373,0.257,0,0.197,0.846,0.857,0.852,
0.163,0.629,0.259,0,0.306,0.807,0.861,0.833,
0.184,0.368,0.246,0,0.221,0.832,0.861,0.846,
0.545,0.857,0.667,0.232,0.811,0.926,0.945,0.936,
0.14,0.784,0.238,0.032,0.323,0.771,0.863,0.814,
0.138,0.333,0.195,0,0.192,0.752,0.847,0.796,
0.061,0.591,0.111,0,0.172,0.8,0.838,0.818,
0.261,0.6,0.364,0,0.317,0.85,0.88,0.865,
0.117,0.387,0.179,0,0.183,0.804,0.831,0.817,
0.058,0.619,0.106,0.012,0.229,0.715,0.88,0.789,
0.029,0.348,0.054,0,0.09,0.756,0.819,0.786,
0.267,0.562,0.362,0,0.393,0.86,0.873,0.866,
0.128,0.667,0.215,0.02,0.266,0.689,0.854,0.763,
0.078,0.667,0.14,0,0.266,0.8,0.876,0.836,
0.25,0.121,0.163,0,0.13,0.884,0.874,0.879,
0.368,0.333,0.35,0.102,0.226,0.895,0.858,0.876,
0.13,0.862,0.225,0.031,0.332,0.78,0.897,0.835,
0.293,0.226,0.255,0,0.159,0.87,0.863,0.867,
0.049,0.667,0.091,0.021,0.274,0.782,0.894,0.834,
0.127,0.558,0.207,0,0.226,0.769,0.857,0.811,
0.172,0.667,0.273,0,0.223,0.807,0.868,0.837,
0.338,0.579,0.427,0.068,0.377,0.852,0.877,0.864,
0.115,0.6,0.194,0,0.254,0.83,0.861,0.845,
0.118,0.25,0.16,0,0.159,0.814,0.877,0.844,
0.273,0.364,0.312,0,0.179,0.868,0.87,0.869,
0.133,0.612,0.219,0,0.274,0.802,0.858,0.829,
0.194,0.368,0.255,0,0.244,0.823,0.867,0.844,
0.138,0.548,0.221,0,0.244,0.805,0.864,0.834,
0.444,0.267,0.333,0,0.403,0.881,0.713,0.788,
0.101,0.478,0.167,0,0.167,0.793,0.819,0.806,
0.167,0.385,0.233,0,0.207,0.82,0.845,0.832,
0.088,0.29,0.135,0,0.188,0.74,0.832,0.783,
0.097,0.545,0.165,0,0.289,0.767,0.853,0.808,
0.108,0.686,0.187,0.031,0.286,0.794,0.839,0.816,
0.009,1,0.018,0,0.158,0.763,0.905,0.828,
0.134,0.581,0.217,0,0.245,0.821,0.856,0.838,
0.076,0.478,0.132,0,0.178,0.77,0.835,0.801,
0.129,0.773,0.221,0,0.215,0.79,0.879,0.832,
0.056,0.357,0.098,0,0.158,0.75,0.808,0.778,
0.265,0.371,0.31,0,0.216,0.86,0.879,0.87,
0.04,0.542,0.075,0,0.197,0.728,0.864,0.791,
0.07,0.312,0.114,0,0.225,0.802,0.822,0.812,
0.072,0.658,0.131,0,0.24,0.777,0.866,0.819,
0.181,0.569,0.275,0,0.232,0.783,0.864,0.822,
0.16,0.722,0.263,0,0.318,0.775,0.906,0.835,
0.326,0.438,0.373,0,0.176,0.817,0.883,0.849,
0.065,0.519,0.116,0,0.223,0.78,0.853,0.815,
0.062,0.458,0.109,0,0.224,0.771,0.868,0.817,
0.222,0.444,0.296,0,0.291,0.751,0.855,0.8,
0.127,0.35,0.187,0,0.204,0.677,0.832,0.746,
0.277,0.236,0.255,0,0.157,0.836,0.849,0.842,
0.086,0.24,0.126,0,0.349,0.807,0.791,0.799,
0.105,0.333,0.16,0,0.193,0.804,0.842,0.823,
0.1,0.615,0.172,0,0.2,0.793,0.874,0.832,
0.149,0.409,0.218,0,0.215,0.794,0.857,0.825,
0.203,0.432,0.276,0,0.207,0.839,0.848,0.844,
0.048,0.4,0.085,0,0.19,0.798,0.838,0.818,
