rouge1_precision,rouge1_recall,rouge1_fmeasure,bleu_score,meteor_score,bert_precision,bert_recall,bert_f1,
0.25,0.185,0.213,0,0.106,0.853,0.839,0.846,
0.149,0.355,0.21,0,0.152,0.821,0.831,0.826,
0.093,0.406,0.151,0,0.166,0.803,0.819,0.811,
0.148,0.279,0.194,0,0.162,0.834,0.836,0.835,
0.194,0.2,0.197,0,0.123,0.847,0.805,0.825,
0.029,0.604,0.055,0,0.113,0.722,0.818,0.767,
0.087,0.121,0.101,0,0.045,0.823,0.824,0.823,
0.064,0.214,0.098,0,0.104,0.699,0.824,0.757,
0.035,0.389,0.065,0,0.101,0.763,0.818,0.79,
0.1,0.406,0.16,0,0.156,0.797,0.822,0.809,
0.069,0.4,0.118,0,0.17,0.791,0.826,0.808,
0.118,0.083,0.098,0,0.06,0.853,0.811,0.832,
0.016,0.056,0.025,0,0.022,0.763,0.774,0.768,
0.014,0.185,0.025,0,0.047,0.774,0.787,0.78,
0.103,0.323,0.156,0,0.129,0.823,0.835,0.829,
0.141,0.388,0.207,0,0.169,0.802,0.821,0.812,
0.079,0.194,0.112,0,0.131,0.804,0.785,0.794,
0.318,0.167,0.219,0,0.122,0.87,0.846,0.858,
0.035,0.5,0.066,0,0.146,0.748,0.794,0.77,
0.086,0.27,0.131,0,0.132,0.753,0.825,0.787,
0.075,0.421,0.127,0,0.117,0.795,0.807,0.801,
0.065,0.194,0.098,0,0.08,0.81,0.815,0.813,
0.058,0.194,0.09,0,0.097,0.797,0.821,0.809,
0.009,0.1,0.016,0,0.031,0.714,0.787,0.749,
0.044,0.48,0.08,0,0.132,0.749,0.822,0.784,
0.099,0.455,0.163,0,0.128,0.811,0.793,0.802,
0.079,0.447,0.135,0,0.158,0.697,0.804,0.747,
0.105,0.41,0.167,0,0.191,0.8,0.841,0.82,
0.125,0.091,0.105,0,0.12,0.853,0.799,0.825,
0.158,0.194,0.174,0,0.159,0.845,0.824,0.834,
0.047,0.346,0.082,0,0.144,0.771,0.825,0.797,
0.171,0.149,0.159,0,0.08,0.841,0.828,0.835,
0.067,0.333,0.112,0,0.111,0.753,0.822,0.786,
0.116,0.564,0.193,0,0.242,0.764,0.834,0.797,
0.109,0.326,0.164,0,0.114,0.789,0.831,0.809,
0.092,0.273,0.138,0,0.127,0.827,0.839,0.833,
